filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-2396445328157966434	JRC_SS34215_Brain_20170418_31_E4_63x	female organism|adult brain|P{R78A06-GAL4.DBD} ∩ P{VT002033-p65.AD} expression pattern	JRC2018Unisex_c	SS34215|JRC_SS34215	FlyLightSplit:SS34215|FlyLightSplitSlideCode:20170418_31_E4|jrc_slide_code_api:20170418_31_E4|neuronbridge:SS34215	tile(s): 'left_dorsal, right_dorsal, ventral (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170418_31_E4', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2396445328451567714	JRC_SS34215_Brain_20170418_31_E6_63x	female organism|adult brain|P{R78A06-GAL4.DBD} ∩ P{VT002033-p65.AD} expression pattern	JRC2018Unisex_c	SS34215|JRC_SS34215	FlyLightSplit:SS34215|FlyLightSplitSlideCode:20170418_31_E6|jrc_slide_code_api:20170418_31_E6|neuronbridge:SS34215	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC', mounting protocol: 'DPX PBS Mounting', slide_code: '20170418_31_E6', age: 'Day 1-5'	expression pattern fragment
20x-Brain-2210356455582728290	JRC_SS02422_Brain_20141114_19_F1_20x	female organism|adult brain|P{VT029598-GAL4.DBD} ∩ P{VT046081-p65.AD} expression pattern	JRC2018Unisex_c	SS02422|BJD_SS02422|JRC_SS02422	FlyLightSplit:SS02422|FlyLightSplitSlideCode:20141114_19_F1|jrc_slide_code_api:20141114_19_F1|neuronbridge:SS02422	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_19_F1', age: 'Adult'	expression pattern fragment
20x-Brain-2078668657499570274	JRC_SS02422_Brain_20141114_19_F2_20x	female organism|adult brain|P{VT029598-GAL4.DBD} ∩ P{VT046081-p65.AD} expression pattern	JRC2018Unisex_c	SS02422|BJD_SS02422|JRC_SS02422	FlyLightSplit:SS02422|FlyLightSplitSlideCode:20141114_19_F2|jrc_slide_code_api:20141114_19_F2|neuronbridge:SS02422	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_19_F2', age: 'Adult'	expression pattern fragment
20x-Brain-2078668658535563362	JRC_SS02422_Brain_20141114_19_F3_20x	female organism|adult brain|P{VT029598-GAL4.DBD} ∩ P{VT046081-p65.AD} expression pattern	JRC2018Unisex_c	SS02422|BJD_SS02422|JRC_SS02422	FlyLightSplit:SS02422|FlyLightSplitSlideCode:20141114_19_F3|jrc_slide_code_api:20141114_19_F3|neuronbridge:SS02422	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_19_F3', age: 'Adult'	expression pattern fragment
20x-Brain-2078668660687241314	JRC_SS02422_Brain_20141114_19_F5_20x	female organism|adult brain|P{VT029598-GAL4.DBD} ∩ P{VT046081-p65.AD} expression pattern	JRC2018Unisex_c	SS02422|BJD_SS02422|JRC_SS02422	FlyLightSplit:SS02422|FlyLightSplitSlideCode:20141114_19_F5|jrc_slide_code_api:20141114_19_F5|neuronbridge:SS02422	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_19_F5', age: 'Adult'	expression pattern fragment
20x-Brain-2078668661819703394	JRC_SS02422_Brain_20141114_19_F6_20x	female organism|adult brain|P{VT029598-GAL4.DBD} ∩ P{VT046081-p65.AD} expression pattern	JRC2018Unisex_c	SS02422|BJD_SS02422|JRC_SS02422	FlyLightSplit:SS02422|FlyLightSplitSlideCode:20141114_19_F6|jrc_slide_code_api:20141114_19_F6|neuronbridge:SS02422	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_19_F6', age: 'Adult'	expression pattern fragment
20x-Brain-2078668662935388258	JRC_SS02422_Brain_20141114_19_F7_20x	female organism|adult brain|P{VT029598-GAL4.DBD} ∩ P{VT046081-p65.AD} expression pattern	JRC2018Unisex_c	SS02422|BJD_SS02422|JRC_SS02422	FlyLightSplit:SS02422|FlyLightSplitSlideCode:20141114_19_F7|jrc_slide_code_api:20141114_19_F7|neuronbridge:SS02422	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_19_F7', age: 'Adult'	expression pattern fragment
20x-Brain-2210356505247481954	JRC_SS02422_Brain_20141114_19_F8_20x	female organism|adult brain|P{VT029598-GAL4.DBD} ∩ P{VT046081-p65.AD} expression pattern	JRC2018Unisex_c	SS02422|BJD_SS02422|JRC_SS02422	FlyLightSplit:SS02422|FlyLightSplitSlideCode:20141114_19_F8|jrc_slide_code_api:20141114_19_F8|neuronbridge:SS02422	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_19_F8', age: 'Adult'	expression pattern fragment
20x-Brain-2078668674411004002	JRC_SS02436_Brain_20141114_19_I1_20x	female organism|adult brain|P{VT046081-GAL4.DBD} ∩ P{VT029598-p65.AD} expression pattern	JRC2018Unisex_c	SS02436|BJD_SS02436|JRC_SS02436	FlyLightSplit:SS02436|FlyLightSplitSlideCode:20141114_19_I1|jrc_slide_code_api:20141114_19_I1|neuronbridge:SS02436	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_19_I1', age: 'Adult'	expression pattern fragment
