anat_id	filename	label	AD	DBD	part_of	Template	comment
VFB_x0000000	BrainSPR8AD.Fru11.12DBD.FB1.1.NC82.Brain.40x.1.composite	SPR8-Fru11_SPRINs_brain	P{VT057286-p65.AD}	P{VT043695-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	Split GAL4 combination: SPR8 AD[VT057286-p65.AD (attP40)]; fru11/12 DBD[VT043695-GAL4.DBD (attP2)]; Reporter: UASFlybow 1.1 (myrGFP, 2nd); Antibody: primary: Mouse anti-NC82, Secondary: Goat anti-mouse 546; Tissue: Drosophila adult brain
VFB_x0000001	Brain_Fru11.12AD_FD6DBD_FB1.1_NC82_S1	Fru11-FD6 SPRINs_brain	P{VT043695-p65.AD}	P{VT003280-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	Split GAL4 combination: Fru11/12 AD [VT043695-p65.AD (attP40)]; FD6 DBD [VT003280-GAL4.DBD (attP2)]; Reporter: UASFlybow 1.1 (myrGFP, 2nd); Antibody: primary: Mouse anti-NC82, Secondary: Goat anti-mouse 546; Tissue: Drosophila adult brain
VFB_x0000002	Brain_SPR8AD.FD6DBD_FB1.1_nc82647_S1	SPR8-FD6 SPRINs_brain	P{VT057286-p65.AD}	P{VT003280-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	Split GAL4 combination: SPR8 AD[VT057286-p65.AD (attP40)]; FD6 DBD [VT003280-GAL4.DBD (attP2)]; Reporter: UASFlybow 1.1 (myrGFP, 2nd); Antibody: primary: Mouse anti-NC82, Secondary: Goat anti-mouse 546; Tissue: Drosophila adult brain
VFB_x0000003	Brain_SPR8AD.dsxDBD.FB1.1.Nc82.Brain.40x.3	SPR8-Dsx SPRINs_brain	P{VT057286-p65.AD}	TI{GAL4(DBD)::Zip-}dsx[GAL4-DBD]	female organism|adult brain	JRC2018Unisex_c	Split GAL4 combination: SPR8 AD[VT057286-p65.AD (attP40)]; dsx DBD (attP2); Reporter: UASFlybow 1.1 (myrGFP, 2nd); Antibody: primary: Mouse anti-NC82, Secondary: Goat anti-mouse 546; Tissue: Drosophila adult brain
VFB_x0000004	Fru11.12AD.dsxDBD.FB1.1.Brain.40x.8.composite	Fru11-Dsx SPRINs_brain	P{VT043695-p65.AD}	TI{GAL4(DBD)::Zip-}dsx[GAL4-DBD]	female organism|adult brain	JRC2018Unisex_c	Split GAL4 combination: Fru11/12 AD [VT043695-p65.AD (attP40)]; dsx DBD (attP2); Reporter: UASFlybow 1.1 (myrGFP, 2nd); Antibody: primary: Mouse anti-NC82, Secondary: Goat anti-mouse 546; Tissue: Drosophila adult brain
VFB_x0000005	VNC_Fru11.12AD.dsxDBD.FB1.1.Brain.40x.8.composite	Fru11-Dsx SPRINs_VNC	P{VT043695-p65.AD}	TI{GAL4(DBD)::Zip-}dsx[GAL4-DBD]	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	Split GAL4 combination: Fru11/12 AD [VT043695-p65.AD (attP40)]; dsx DBD (attP2); Reporter: UASFlybow 1.1 (myrGFP, 2nd); Antibody: primary: Mouse anti-NC82, Secondary: Goat anti-mouse 546; Tissue: Drosophila adult ventral nerve cord
VFB_x0000006	VNC_Fru11.12AD_FD6DBD_FB1.1_NC82_S1	Fru11-FD6 SPRINs_VNC	P{VT043695-p65.AD}	P{VT003280-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	Split GAL4 combination: Fru11/12 AD [VT043695-p65.AD (attP40)]; FD6 DBD [VT003280-GAL4.DBD (attP2)]; Reporter: UASFlybow 1.1 (myrGFP, 2nd); Antibody: primary: Mouse anti-NC82, Secondary: Goat anti-mouse 546; Tissue: Drosophila adult ventral nerve cord
VFB_x0000007	VNC_SPR8AD.FD6DBD_FB1.1_nc82647_S1	SPR8-FD6 SPRINs_VNC	P{VT057286-p65.AD}	P{VT003280-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	Split GAL4 combination: SPR8 AD[VT057286-p65.AD (attP40)]; FD6 DBD [VT003280-GAL4.DBD (attP2)]; Reporter: UASFlybow 1.1 (myrGFP, 2nd); Antibody: primary: Mouse anti-NC82, Secondary: Goat anti-mouse 546; Tissue: Drosophila adult ventral nerve cord
VFB_x0000008	VNC_SPR8AD.Fru11.12DBD.FB1.1.NC82.Brain.40x.1.composite	SPR8-Fru11_SPRINs_VNC	P{VT057286-p65.AD}	P{VT043695-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	Split GAL4 combination: SPR8 AD[VT057286-p65.AD (attP40)]; fru11/12 DBD[VT043695-GAL4.DBD (attP2)]; Reporter: UASFlybow 1.1 (myrGFP, 2nd); Antibody: primary: Mouse anti-NC82, Secondary: Goat anti-mouse 546; Tissue: Drosophila adult ventral nerve cord
VFB_x0000009	VNC_SPR8AD.dsxDBD.FB1.1.Nc82.Brain.40x.3	SPR8-Dsx SPRINs_VNC	P{VT057286-p65.AD}	TI{GAL4(DBD)::Zip-}dsx[GAL4-DBD]	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	Split GAL4 combination: SPR8 AD[VT057286-p65.AD (attP40)]; dsx DBD (attP2); Reporter: UASFlybow 1.1 (myrGFP, 2nd); Antibody: primary: Mouse anti-NC82, Secondary: Goat anti-mouse 546; Tissue: Drosophila adult ventral nerve cord
