filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-1966387988325728354	JRC_SS00849_Brain_20131213_20_A7_63x	female organism|adult brain|P{R43D05-GAL4.DBD} ∩ P{R14F03-p65.AD} expression pattern	JRC2018Unisex_c	SS00849|GMR_SS00849|JRC_SS00849	FlyLightRaw:SS00849|FlyLightRawSlideCode:20131213_20_A7|jrc_slide_code_api:20131213_20_A7	tile(s): 'left_dorsal, right_dorsal, right_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131213_20_A7', age: 'Adult'	expression pattern fragment
63x-Brain-2254911727772631077	JRC_SS00650_Brain_20140321_19_H5_63x	female organism|adult brain|P{R18H11-GAL4.DBD} ∩ P{R51H05-p65.AD} expression pattern	JRC2018Unisex_c	SS00650|GMR_SS00650|JRC_SS00650	FlyLightRaw:SS00650|FlyLightRawSlideCode:20140321_19_H5|jrc_slide_code_api:20140321_19_H5	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140321_19_H5', age: 'Adult'	expression pattern fragment
63x-Brain-2105977604635885666	JRC_SS00650_Brain_20140321_34_G7_63x	female organism|adult brain|P{R18H11-GAL4.DBD} ∩ P{R51H05-p65.AD} expression pattern	JRC2018Unisex_c	SS00650|GMR_SS00650|JRC_SS00650	FlyLightRaw:SS00650|FlyLightRawSlideCode:20140321_34_G7|jrc_slide_code_api:20140321_34_G7	tile(s): 'left_dorsal, right_dorsal, right_optic_lobe, ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140321_34_G7', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2006147577510101090	JRC_SS00849_Brain_20140507_32_F6_63x	female organism|adult brain|P{R43D05-GAL4.DBD} ∩ P{R14F03-p65.AD} expression pattern	JRC2018Unisex_c	SS00849|GMR_SS00849|JRC_SS00849	FlyLightRaw:SS00849|FlyLightRawSlideCode:20140507_32_F6|jrc_slide_code_api:20140507_32_F6	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140507_32_F6', age: 'Adult'	expression pattern fragment
63x-Brain-2340660593603641381	JRC_SS00849_Brain_20161111_27_A5_63x	female organism|adult brain|P{R43D05-GAL4.DBD} ∩ P{R14F03-p65.AD} expression pattern	JRC2018Unisex_c	SS00849|GMR_SS00849|JRC_SS00849	FlyLightRaw:SS00849|FlyLightRawSlideCode:20161111_27_A5|jrc_slide_code_api:20161111_27_A5	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil', mounting protocol: 'DPX PBS Mounting', slide_code: '20161111_27_A5', age: 'Adult'	expression pattern fragment
63x-Brain-2414145656294735970	JRC_SS00849_Brain_20170606_31_A1_63x	female organism|adult brain|P{R43D05-GAL4.DBD} ∩ P{R14F03-p65.AD} expression pattern	JRC2018Unisex_c	SS00849|GMR_SS00849|JRC_SS00849	FlyLightRaw:SS00849|FlyLightRawSlideCode:20170606_31_A1|jrc_slide_code_api:20170606_31_A1	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe (partial brain image, check tile names for imaged regions)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170606_31_A1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2414145656366039138	JRC_SS00849_Brain_20170606_31_A2_63x	female organism|adult brain|P{R43D05-GAL4.DBD} ∩ P{R14F03-p65.AD} expression pattern	JRC2018Unisex_c	SS00849|GMR_SS00849|JRC_SS00849	FlyLightRaw:SS00849|FlyLightRawSlideCode:20170606_31_A2|jrc_slide_code_api:20170606_31_A2	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe (partial brain image, check tile names for imaged regions)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170606_31_A2', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2414145656433148002	JRC_SS00849_Brain_20170606_31_A4_63x	female organism|adult brain|P{R43D05-GAL4.DBD} ∩ P{R14F03-p65.AD} expression pattern	JRC2018Unisex_c	SS00849|GMR_SS00849|JRC_SS00849	FlyLightRaw:SS00849|FlyLightRawSlideCode:20170606_31_A4|jrc_slide_code_api:20170606_31_A4	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe (partial brain image, check tile names for imaged regions)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170606_31_A4', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2414145656483479650	JRC_SS00849_Brain_20170606_31_A5_63x	female organism|adult brain|P{R43D05-GAL4.DBD} ∩ P{R14F03-p65.AD} expression pattern	JRC2018Unisex_c	SS00849|GMR_SS00849|JRC_SS00849	FlyLightRaw:SS00849|FlyLightRawSlideCode:20170606_31_A5|jrc_slide_code_api:20170606_31_A5	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe (partial brain image, check tile names for imaged regions)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil', mounting protocol: 'DPX PBS Mounting', slide_code: '20170606_31_A5', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2642944844531499106	JRC_SS01038_Brain_20190215_19_A2_63x	female organism|adult brain|P{R31C03-GAL4.DBD} ∩ P{R14F03-p65.AD} expression pattern	JRC2018Unisex_c	SS01038|GMR_SS01038|JRC_SS01038	FlyLightRaw:SS01038|FlyLightRawSlideCode:20190215_19_A2|jrc_slide_code_api:20190215_19_A2	tile(s): 'right_dorsal (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil', mounting protocol: 'DPX PBS Mounting', slide_code: '20190215_19_A2', age: 'Adult'	expression pattern fragment
