filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-1848695822204534882	JRC_MB291C_Brain_20130117_31_F1_63x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ PBac{ple-p65.AD} expression pattern	JRC2018Unisex_c	MB291C|GMR_MB291C|JRC_MB291C	FlyLightSplit:MB291C|FlyLightSplitSlideCode:20130117_31_F1|jrc_slide_code_api:20130117_31_F1|neuronbridge:MB291C	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130117_31_F1', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1848695822410055778	JRC_MB291C_Brain_20130117_31_F3_63x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ PBac{ple-p65.AD} expression pattern	JRC2018Unisex_c	MB291C|GMR_MB291C|JRC_MB291C	FlyLightSplit:MB291C|FlyLightSplitSlideCode:20130117_31_F3|jrc_slide_code_api:20130117_31_F3|neuronbridge:MB291C	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130117_31_F3', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1848695822544273506	JRC_MB291C_Brain_20130117_31_F4_63x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ PBac{ple-p65.AD} expression pattern	JRC2018Unisex_c	MB291C|GMR_MB291C|JRC_MB291C	FlyLightSplit:MB291C|FlyLightSplitSlideCode:20130117_31_F4|jrc_slide_code_api:20130117_31_F4|neuronbridge:MB291C	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130117_31_F4', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1848695822686879842	JRC_MB291C_Brain_20130117_31_F5_63x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ PBac{ple-p65.AD} expression pattern	JRC2018Unisex_c	MB291C|GMR_MB291C|JRC_MB291C	FlyLightSplit:MB291C|FlyLightSplitSlideCode:20130117_31_F5|jrc_slide_code_api:20130117_31_F5|neuronbridge:MB291C	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130117_31_F5', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1848695822816903266	JRC_MB291C_Brain_20130117_31_F6_63x	female organism|adult brain|P{R12G01-GAL4.DBD} ∩ PBac{ple-p65.AD} expression pattern	JRC2018Unisex_c	MB291C|GMR_MB291C|JRC_MB291C	FlyLightSplit:MB291C|FlyLightSplitSlideCode:20130117_31_F6|jrc_slide_code_api:20130117_31_F6|neuronbridge:MB291C	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130117_31_F6', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1844663997878501474	JRC_MB233B_Brain_20130117_32_B1_63x	female organism|adult brain|P{R21C11-GAL4.DBD} ∩ P{ple-p65.AD} expression pattern	JRC2018Unisex_c	MB233B|GMR_MB233B|JRC_MB233B	FlyLightSplit:MB233B|FlyLightSplitSlideCode:20130117_32_B1|jrc_slide_code_api:20130117_32_B1|neuronbridge:MB233B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130117_32_B1', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1844663998134354018	JRC_MB233B_Brain_20130117_32_B2_63x	female organism|adult brain|P{R21C11-GAL4.DBD} ∩ P{ple-p65.AD} expression pattern	JRC2018Unisex_c	MB233B|GMR_MB233B|JRC_MB233B	FlyLightSplit:MB233B|FlyLightSplitSlideCode:20130117_32_B2|jrc_slide_code_api:20130117_32_B2|neuronbridge:MB233B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130117_32_B2', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1844663998402789474	JRC_MB233B_Brain_20130117_32_B3_63x	female organism|adult brain|P{R21C11-GAL4.DBD} ∩ P{ple-p65.AD} expression pattern	JRC2018Unisex_c	MB233B|GMR_MB233B|JRC_MB233B	FlyLightSplit:MB233B|FlyLightSplitSlideCode:20130117_32_B3|jrc_slide_code_api:20130117_32_B3|neuronbridge:MB233B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130117_32_B3', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1844663998524424290	JRC_MB233B_Brain_20130117_32_B4_63x	female organism|adult brain|P{R21C11-GAL4.DBD} ∩ P{ple-p65.AD} expression pattern	JRC2018Unisex_c	MB233B|GMR_MB233B|JRC_MB233B	FlyLightSplit:MB233B|FlyLightSplitSlideCode:20130117_32_B4|jrc_slide_code_api:20130117_32_B4|neuronbridge:MB233B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130117_32_B4', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1844663998616698978	JRC_MB233B_Brain_20130117_32_B5_63x	female organism|adult brain|P{R21C11-GAL4.DBD} ∩ P{ple-p65.AD} expression pattern	JRC2018Unisex_c	MB233B|GMR_MB233B|JRC_MB233B	FlyLightSplit:MB233B|FlyLightSplitSlideCode:20130117_32_B5|jrc_slide_code_api:20130117_32_B5|neuronbridge:MB233B	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130117_32_B5', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1848695834690977890	JRC_MB245A_Brain_20130123_31_E1_63x	female organism|adult brain|P{R24E06-GAL4.DBD} ∩ P{Tdc2-p65.AD} expression pattern	JRC2018Unisex_c	MB245A|GMR_MB245A|JRC_MB245A	FlyLightSplit:MB245A|FlyLightSplitSlideCode:20130123_31_E1|jrc_slide_code_api:20130123_31_E1|neuronbridge:MB245A	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_31_E1', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1848695834900693090	JRC_MB245A_Brain_20130123_31_E2_63x	female organism|adult brain|P{R24E06-GAL4.DBD} ∩ P{Tdc2-p65.AD} expression pattern	JRC2018Unisex_c	MB245A|GMR_MB245A|JRC_MB245A	FlyLightSplit:MB245A|FlyLightSplitSlideCode:20130123_31_E2|jrc_slide_code_api:20130123_31_E2|neuronbridge:MB245A	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_31_E2', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1848695835039105122	JRC_MB245A_Brain_20130123_31_E3_63x	female organism|adult brain|P{R24E06-GAL4.DBD} ∩ P{Tdc2-p65.AD} expression pattern	JRC2018Unisex_c	MB245A|GMR_MB245A|JRC_MB245A	FlyLightSplit:MB245A|FlyLightSplitSlideCode:20130123_31_E3|jrc_slide_code_api:20130123_31_E3|neuronbridge:MB245A	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_31_E3', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1848695835324317794	JRC_MB251C_Brain_20130123_31_F1_63x	female organism|adult brain|P{R14E06-GAL4.DBD} ∩ PBac{R20C11-p65.AD} expression pattern	JRC2018Unisex_c	MB251C|GMR_MB251C|JRC_MB251C	FlyLightSplit:MB251C|FlyLightSplitSlideCode:20130123_31_F1|jrc_slide_code_api:20130123_31_F1|neuronbridge:MB251C	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_31_F1', age: 'Day 6-10'	expression pattern fragment
63x-Brain-1848695835517255778	JRC_MB251C_Brain_20130123_31_F2_63x	female organism|adult brain|P{R14E06-GAL4.DBD} ∩ PBac{R20C11-p65.AD} expression pattern	JRC2018Unisex_c	MB251C|GMR_MB251C|JRC_MB251C	FlyLightSplit:MB251C|FlyLightSplitSlideCode:20130123_31_F2|jrc_slide_code_api:20130123_31_F2|neuronbridge:MB251C	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_31_F2', age: 'Day 6-10'	expression pattern fragment
