filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-2604810281867542626	JRC_SS45323_Brain_20181109_24_E1_20x	female organism|adult brain|P{VT016254-GAL4.DBD} ∩ P{VT019330-p65.AD} expression pattern	JRC2018Unisex_c	SS45323|JRC_SS45323	FlyLightSplit:SS45323|FlyLightSplitSlideCode:20181109_24_E1|jrc_slide_code_api:20181109_24_E1|neuronbridge:SS45323	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_24_E1', age: 'Adult'	expression pattern fragment
20x-Brain-2604810282161143906	JRC_SS45323_Brain_20181109_24_E2_20x	female organism|adult brain|P{VT016254-GAL4.DBD} ∩ P{VT019330-p65.AD} expression pattern	JRC2018Unisex_c	SS45323|JRC_SS45323	FlyLightSplit:SS45323|FlyLightSplitSlideCode:20181109_24_E2|jrc_slide_code_api:20181109_24_E2|neuronbridge:SS45323	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_24_E2', age: 'Adult'	expression pattern fragment
20x-Brain-2604810282530242658	JRC_SS45323_Brain_20181109_24_E4_20x	female organism|adult brain|P{VT016254-GAL4.DBD} ∩ P{VT019330-p65.AD} expression pattern	JRC2018Unisex_c	SS45323|JRC_SS45323	FlyLightSplit:SS45323|FlyLightSplitSlideCode:20181109_24_E4|jrc_slide_code_api:20181109_24_E4|neuronbridge:SS45323	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_24_E4', age: 'Adult'	expression pattern fragment
20x-Brain-2604810283352326242	JRC_SS45323_Brain_20181109_24_E5_20x	female organism|adult brain|P{VT016254-GAL4.DBD} ∩ P{VT019330-p65.AD} expression pattern	JRC2018Unisex_c	SS45323|JRC_SS45323	FlyLightSplit:SS45323|FlyLightSplitSlideCode:20181109_24_E5|jrc_slide_code_api:20181109_24_E5|neuronbridge:SS45323	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_24_E5', age: 'Adult'	expression pattern fragment
20x-Brain-2604810283553652834	JRC_SS45323_Brain_20181109_24_E6_20x	female organism|adult brain|P{VT016254-GAL4.DBD} ∩ P{VT019330-p65.AD} expression pattern	JRC2018Unisex_c	SS45323|JRC_SS45323	FlyLightSplit:SS45323|FlyLightSplitSlideCode:20181109_24_E6|jrc_slide_code_api:20181109_24_E6|neuronbridge:SS45323	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_24_E6', age: 'Adult'	expression pattern fragment
20x-Brain-2604810283784339554	JRC_SS45323_Brain_20181109_24_E7_20x	female organism|adult brain|P{VT016254-GAL4.DBD} ∩ P{VT019330-p65.AD} expression pattern	JRC2018Unisex_c	SS45323|JRC_SS45323	FlyLightSplit:SS45323|FlyLightSplitSlideCode:20181109_24_E7|jrc_slide_code_api:20181109_24_E7|neuronbridge:SS45323	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_24_E7', age: 'Adult'	expression pattern fragment
20x-Brain-2604810119531200610	JRC_SS45323_Brain_20181109_24_A1_20x	male organism|adult brain|P{VT016254-GAL4.DBD} ∩ P{VT019330-p65.AD} expression pattern	JRC2018Unisex_c	SS45323|JRC_SS45323	FlyLightSplit:SS45323|FlyLightSplitSlideCode:20181109_24_A1|jrc_slide_code_api:20181109_24_A1|neuronbridge:SS45323	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_24_A1', age: 'Adult'	expression pattern fragment
20x-Brain-2604810119803830370	JRC_SS45323_Brain_20181109_24_A2_20x	male organism|adult brain|P{VT016254-GAL4.DBD} ∩ P{VT019330-p65.AD} expression pattern	JRC2018Unisex_c	SS45323|JRC_SS45323	FlyLightSplit:SS45323|FlyLightSplitSlideCode:20181109_24_A2|jrc_slide_code_api:20181109_24_A2|neuronbridge:SS45323	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_24_A2', age: 'Adult'	expression pattern fragment
20x-Brain-2604810119942242402	JRC_SS45323_Brain_20181109_24_A3_20x	male organism|adult brain|P{VT016254-GAL4.DBD} ∩ P{VT019330-p65.AD} expression pattern	JRC2018Unisex_c	SS45323|JRC_SS45323	FlyLightSplit:SS45323|FlyLightSplitSlideCode:20181109_24_A3|jrc_slide_code_api:20181109_24_A3|neuronbridge:SS45323	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_24_A3', age: 'Adult'	expression pattern fragment
20x-Brain-2604810120093237346	JRC_SS45323_Brain_20181109_24_A4_20x	male organism|adult brain|P{VT016254-GAL4.DBD} ∩ P{VT019330-p65.AD} expression pattern	JRC2018Unisex_c	SS45323|JRC_SS45323	FlyLightSplit:SS45323|FlyLightSplitSlideCode:20181109_24_A4|jrc_slide_code_api:20181109_24_A4|neuronbridge:SS45323	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_24_A4', age: 'Adult'	expression pattern fragment
63x-Brain-2604810120093237346	JRC_SS45323_Brain_20181109_24_A4_63x	male organism|adult brain|P{VT016254-GAL4.DBD} ∩ P{VT019330-p65.AD} expression pattern	JRC2018Unisex_c	SS45323|JRC_SS45323	FlyLightSplit:SS45323|FlyLightSplitSlideCode:20181109_24_A4|jrc_slide_code_api:20181109_24_A4|neuronbridge:SS45323	tile(s): 'left_dorsal, ventral, right_dorsal, dorsal_medial (central brain only, the optic lobes are not included in this image)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_24_A4', age: 'Adult'	expression pattern fragment
