filename	label	is_a	part_of	dbxrefs
4680995	LH bilateral axon 3_left 4680995	neuron	embryonic/larval nervous system	catmaid_l1em:4680995
5462159	PDM-DN_right 5462159	neuron	embryonic/larval nervous system	catmaid_l1em:5462159
5769582	LH-LN2_left 5769582	neuron	embryonic/larval nervous system	catmaid_l1em:5769582
6446394	PDM-DN_left 6446394	neuron	embryonic/larval nervous system	catmaid_l1em:6446394
8065771	MJ: LNM_downstream4_right 8065771	neuron	embryonic/larval nervous system	catmaid_l1em:8065771
9753418	LH-LN2_right 9753418	neuron	embryonic/larval nervous system	catmaid_l1em:9753418
12813847	LH Processor_right 12813847	neuron	embryonic/larval nervous system	catmaid_l1em:12813847
17038587	MJ: LNM_downstream4_left 17038587	neuron	embryonic/larval nervous system	catmaid_l1em:17038587
17361757	LH Processor_left 17361757	neuron	embryonic/larval nervous system	catmaid_l1em:17361757
17806341	LH bilateral axon 3_right 17806341	neuron	embryonic/larval nervous system	catmaid_l1em:17806341
