filename	is_a	part_of	Imaging_type	Template	dbxrefs	label	comment
734901302	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:734901302	SMP326(PDM06)_L (FlyEM-HB:734901302)	Newly typed in 1.2.1
1671102680	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1671102680	DL4_adPN_L (FlyEM-HB:1671102680)	Newly typed in 1.2.1
765590602	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:765590602	SMP312(PDM06)_L (FlyEM-HB:765590602)	Newly typed in 1.2.1
913650065	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:913650065	VM7d_adPN_L (FlyEM-HB:913650065)	Newly typed in 1.2.1
729790291	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:729790291	SMP313(PDM06)_L (FlyEM-HB:729790291)	Newly typed in 1.2.1
518670779	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:518670779	MBON33(y2y3)(ADM05)_L (FlyEM-HB:518670779)	Newly typed in 1.2.1
1008093358	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1008093358	CL179(PDM11)_L (FlyEM-HB:1008093358)	Newly typed in 1.2.1
393499533	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:393499533	SMP548(PDM29)_L (FlyEM-HB:393499533)	Newly typed in 1.2.1
5813010251	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5813010251	SMP027(ADL12)_L (FlyEM-HB:5813010251)	Newly typed in 1.2.1
913650164	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:913650164	VM7v_adPN_L (FlyEM-HB:913650164)	Newly typed in 1.2.1
1380503545	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1380503545	DC2_adPN_L (FlyEM-HB:1380503545)	Newly typed in 1.2.1
329732855	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:329732855	SMP368(PDM08)_L (FlyEM-HB:329732855)	Newly typed in 1.2.1
574965048	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:574965048	aMe24(PDM24)_L (FlyEM-HB:574965048)	Newly typed in 1.2.1
701470006	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:701470006	SMP425(PDM10)_L (FlyEM-HB:701470006)	Newly typed in 1.2.1
