subject_id	object	relation	pub	subject_name	comment
VFB_jrmc38ct	neuroblast DPMm1	develops_from	doi:10.1101/2025.10.09.680999	CB1394_a_R (MaleCNS:148579)	male-cns:v0.9 251117
VFB_jrmc1dg1	neuroblast CP1	develops_from	doi:10.1101/2025.10.09.680999	SMP272_L (MaleCNS:14138)	male-cns:v0.9 251117
VFB_jrmc3fj1	neuroblast BAmas2	develops_from	doi:10.1101/2025.10.09.680999	CB1026_R (MaleCNS:31405)	male-cns:v0.9 251117
VFB_jrmc34nn	neuroblast CP1	develops_from	doi:10.1101/2025.10.09.680999	CL311_R (MaleCNS:10987)	male-cns:v0.9 251117
VFB_jrmc1dyq	neuroblast DPMm2	develops_from	doi:10.1101/2025.10.09.680999	SMP459_R (MaleCNS:534477)	male-cns:v0.9 251117
VFB_jrmc2zwu	neuroblast DALv2	develops_from	doi:10.1101/2025.10.09.680999	ER3w_b_R (MaleCNS:513346)	male-cns:v0.9 251117
VFB_jrmc3izc	neuroblast BLVp2	develops_from	doi:10.1101/2025.10.09.680999	AVLP492_R (MaleCNS:13010)	male-cns:v0.9 251117
VFB_jrmc2zzb	neuroblast DPMpm2	develops_from	doi:10.1101/2025.10.09.680999	ExR7_R (MaleCNS:522972)	male-cns:v0.9 251117
VFB_jrmc1pof	neuroblast CM4	develops_from	doi:10.1101/2025.10.09.680999	P1_2b_L (MaleCNS:18913)	male-cns:v0.9 251117
VFB_jrmc3b23	neuroblast DPMm1	develops_from	doi:10.1101/2025.10.09.680999	CB4070_R (MaleCNS:529152)	male-cns:v0.9 251117
VFB_jrmc1d6m	neuroblast BAmv1	develops_from	doi:10.1101/2025.10.09.680999	SMP169_L (MaleCNS:512911)	male-cns:v0.9 251117
VFB_jrmc2uoc	neuroblast DPMm1	develops_from	doi:10.1101/2025.10.09.680999	IB024_R (MaleCNS:26109)	male-cns:v0.9 251117
VFB_jrmc2cqi	neuroblast BAlp2	develops_from	doi:10.1101/2025.10.09.680999	LAL056_R (MaleCNS:31642)	male-cns:v0.9 251117
VFB_jrmc3atk	neuroblast BAlc	develops_from	doi:10.1101/2025.10.09.680999	CB3673_L (MaleCNS:66268)	male-cns:v0.9 251117
VFB_jrmc3au2	neuroblast BAmd2	develops_from	doi:10.1101/2025.10.09.680999	CB3691_R (MaleCNS:42374)	male-cns:v0.9 251117
VFB_jrmc1dn3	neuroblast DPLc4	develops_from	doi:10.1101/2025.10.09.680999	SMP345_L (MaleCNS:542720)	male-cns:v0.9 251117
VFB_jrmc2uhp	neuroblast BAla3	develops_from	doi:10.1101/2025.10.09.680999	GNG640_L (MaleCNS:15051)	male-cns:v0.9 251117
VFB_jrmc3hil	neuroblast DALcl1	develops_from	doi:10.1101/2025.10.09.680999	AOTU008_R (MaleCNS:87420)	male-cns:v0.9 251117
