filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1858873085013262434	JRC_MB099C_Brain_20121120_31_E1_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20121120_31_E1|jrc_slide_code_api:20121120_31_E1|neuronbridge:MB099C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_31_E1', age: 'Day 6-10'
20x-Brain-1858873085185228898	JRC_MB099C_Brain_20121120_31_E2_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20121120_31_E2|jrc_slide_code_api:20121120_31_E2|neuronbridge:MB099C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_31_E2', age: 'Day 6-10'
20x-Brain-1845425458825396322	JRC_MB099C_Brain_20121120_31_E3_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20121120_31_E3|jrc_slide_code_api:20121120_31_E3|neuronbridge:MB099C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_31_E3', age: 'Day 6-10'
20x-Brain-1858873085671768162	JRC_MB099C_Brain_20121120_31_E4_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20121120_31_E4|jrc_slide_code_api:20121120_31_E4|neuronbridge:MB099C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_31_E4', age: 'Day 6-10'
20x-Brain-1858873085785014370	JRC_MB099C_Brain_20121120_31_E5_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20121120_31_E5|jrc_slide_code_api:20121120_31_E5|neuronbridge:MB099C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_31_E5', age: 'Day 6-10'
20x-Brain-1858873085906649186	JRC_MB099C_Brain_20121120_31_E6_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20121120_31_E6|jrc_slide_code_api:20121120_31_E6|neuronbridge:MB099C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_31_E6', age: 'Day 6-10'
20x-Brain-1845425462990340194	JRC_MB320C_Brain_20121120_32_D1_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20121120_32_D1|jrc_slide_code_api:20121120_32_D1|neuronbridge:MB320C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_32_D1', age: 'Day 6-10'
20x-Brain-1845425463162306658	JRC_MB320C_Brain_20121120_32_D2_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20121120_32_D2|jrc_slide_code_api:20121120_32_D2|neuronbridge:MB320C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_32_D2', age: 'Day 6-10'
20x-Brain-1845425463325884514	JRC_MB320C_Brain_20121120_32_D3_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20121120_32_D3|jrc_slide_code_api:20121120_32_D3|neuronbridge:MB320C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_32_D3', age: 'Day 6-10'
20x-Brain-1845425463460102242	JRC_MB320C_Brain_20121120_32_D4_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20121120_32_D4|jrc_slide_code_api:20121120_32_D4|neuronbridge:MB320C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_32_D4', age: 'Day 6-10'
20x-Brain-1845425463564959842	JRC_MB320C_Brain_20121120_32_D5_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20121120_32_D5|jrc_slide_code_api:20121120_32_D5|neuronbridge:MB320C	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_32_D5', age: 'Day 6-10'
20x-Brain-2021419138567635042	JRC_MB320C_Brain_20140527_42_E3_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20140527_42_E3|jrc_slide_code_api:20140527_42_E3|neuronbridge:MB320C	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140527_42_E3', age: 'Day 1-5'
20x-Brain-2730239765000487010	JRC_MB099C_Brain_20191018_45_B2_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20191018_45_B2|jrc_slide_code_api:20191018_45_B2|neuronbridge:MB099C	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191018_45_B2', age: 'Day 1-5'
20x-Brain-2730242659477094498	JRC_MB099C_Brain_20191018_44_B2_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20191018_44_B2|jrc_slide_code_api:20191018_44_B2|neuronbridge:MB099C	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191018_44_B2', age: 'Day 1-5'
20x-Brain-2732092592614277218	JRC_MB320C_Brain_20191025_44_A3_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20191025_44_A3|jrc_slide_code_api:20191025_44_A3|neuronbridge:MB320C	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191025_44_A3', age: 'Day 1-5'
20x-Brain-2732092593256005730	JRC_MB320C_Brain_20191025_44_B1_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20191025_44_B1|jrc_slide_code_api:20191025_44_B1|neuronbridge:MB320C	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191025_44_B1', age: 'Day 1-5'
20x-Brain-2741885737338142818	JRC_MB630B_Brain_20191115_47_B6_20x	P{VT026773-p65.AD}	P{R72B05-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	MB630B|GMR_MB630B|JRC_MB630B	FlyLightSplit:MB630B|FlyLightSplitSlideCode:20191115_47_B6|jrc_slide_code_api:20191115_47_B6|neuronbridge:MB630B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191115_47_B6', age: 'Day 1-5'
20x-Brain-2741885737854042210	JRC_MB630B_Brain_20191115_47_D6_20x	P{VT026773-p65.AD}	P{R72B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB630B|GMR_MB630B|JRC_MB630B	FlyLightSplit:MB630B|FlyLightSplitSlideCode:20191115_47_D6|jrc_slide_code_api:20191115_47_D6|neuronbridge:MB630B	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191115_47_D6', age: 'Day 1-5'
20x-VNC-1858873085013262434	JRC_MB099C_VNC_20121120_31_E1_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20121120_31_E1|jrc_slide_code_api:20121120_31_E1|neuronbridge:MB099C	tile(s): 'ventral_nerve_cord', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_31_E1', age: 'Day 6-10'
20x-VNC-1858873085185228898	JRC_MB099C_VNC_20121120_31_E2_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20121120_31_E2|jrc_slide_code_api:20121120_31_E2|neuronbridge:MB099C	tile(s): 'ventral_nerve_cord', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_31_E2', age: 'Day 6-10'
20x-VNC-1845425462990340194	JRC_MB320C_VNC_20121120_32_D1_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20121120_32_D1|jrc_slide_code_api:20121120_32_D1|neuronbridge:MB320C	tile(s): 'ventral_nerve_cord', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_32_D1', age: 'Day 6-10'
20x-VNC-1845425463162306658	JRC_MB320C_VNC_20121120_32_D2_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20121120_32_D2|jrc_slide_code_api:20121120_32_D2|neuronbridge:MB320C	tile(s): 'ventral_nerve_cord', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121120_32_D2', age: 'Day 6-10'
20x-VNC-2021419138567635042	JRC_MB320C_VNC_20140527_42_E3_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20140527_42_E3|jrc_slide_code_api:20140527_42_E3|neuronbridge:MB320C	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140527_42_E3', age: 'Day 1-5'
20x-VNC-2730239765000487010	JRC_MB099C_VNC_20191018_45_B2_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20191018_45_B2|jrc_slide_code_api:20191018_45_B2|neuronbridge:MB099C	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191018_45_B2', age: 'Day 1-5'
20x-VNC-2730242659477094498	JRC_MB099C_VNC_20191018_44_B2_20x	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	male organism|adult ventral nerve cord	JRC2018UnisexVNC_c	MB099C|GMR_MB099C|JRC_MB099C	FlyLightSplit:MB099C|FlyLightSplitSlideCode:20191018_44_B2|jrc_slide_code_api:20191018_44_B2|neuronbridge:MB099C	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191018_44_B2', age: 'Day 1-5'
20x-VNC-2732092592614277218	JRC_MB320C_VNC_20191025_44_A3_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20191025_44_A3|jrc_slide_code_api:20191025_44_A3|neuronbridge:MB320C	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191025_44_A3', age: 'Day 1-5'
20x-VNC-2732092593256005730	JRC_MB320C_VNC_20191025_44_B1_20x	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	male organism|adult ventral nerve cord	JRC2018UnisexVNC_c	MB320C|GMR_MB320C|JRC_MB320C	FlyLightSplit:MB320C|FlyLightSplitSlideCode:20191025_44_B1|jrc_slide_code_api:20191025_44_B1|neuronbridge:MB320C	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191025_44_B1', age: 'Day 1-5'
20x-VNC-2741885737338142818	JRC_MB630B_VNC_20191115_47_B6_20x	P{VT026773-p65.AD}	P{R72B05-GAL4.DBD}	male organism|adult ventral nerve cord	JRC2018UnisexVNC_c	MB630B|GMR_MB630B|JRC_MB630B	FlyLightSplit:MB630B|FlyLightSplitSlideCode:20191115_47_B6|jrc_slide_code_api:20191115_47_B6|neuronbridge:MB630B	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191115_47_B6', age: 'Day 1-5'
20x-VNC-2741885737854042210	JRC_MB630B_VNC_20191115_47_D6_20x	P{VT026773-p65.AD}	P{R72B05-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	MB630B|GMR_MB630B|JRC_MB630B	FlyLightSplit:MB630B|FlyLightSplitSlideCode:20191115_47_D6|jrc_slide_code_api:20191115_47_D6|neuronbridge:MB630B	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191115_47_D6', age: 'Day 1-5'
