filename	label	AD	DBD	is_a	part_of	Template	comment
McKellar_SEZ_mn1	McKellar_SEZ_mn1	P{VT043075-p65.AD}	P{VT019731-GAL4.DBD}	proboscis muscle 1 motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
McKellar_SEZ_mn2D	McKellar_SEZ_mn2D	P{R11F07-p65.AD}	P{VT064563-GAL4.DBD}	proboscis muscle 2 dorsal motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
McKellar_SEZ_mn2V	McKellar_SEZ_mn2V	P{VT064563-p65.AD}	P{R13E04-GAL4.DBD}	proboscis muscle 2 ventral motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
McKellar_SEZ_mn3L	McKellar_SEZ_mn3L	P{VT031145-p65.AD}	P{R89F06-GAL4.DBD}	proboscis muscle 3 lateral motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
McKellar_SEZ_mn3M&1	McKellar_SEZ_mn3M&1	P{VT025784-p65.AD}	P{VT063630-GAL4.DBD}	proboscis muscle 3 medial motor neuron|proboscis muscle 1 motor neuron	male organism|adult brain	JRC2018Unisex_c	"effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT > STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT > STOP > FRT-myr::smGFP-V5-THS-10XUAS-FRT > STOP > FRT-myr::smGFP-FLAG in su(Hw)attP1'"
McKellar_SEZ_mn3M&7	McKellar_SEZ_mn3M&7	P{VT063630-p65.AD}	P{R75F02-GAL4.DBD}	proboscis muscle 3 medial motor neuron|proboscis muscle 7 motor neuron	male organism|adult brain	JRC2018Unisex_c	"effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT > STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT > STOP > FRT-myr::smGFP-V5-THS-10XUAS-FRT > STOP > FRT-myr::smGFP-FLAG in su(Hw)attP1'"
McKellar_SEZ_mn4	McKellar_SEZ_mn4	P{R48H12-p65.AD}	P{R45G01-GAL4.DBD}	proboscis muscle 4 motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
McKellar_SEZ_mn5	McKellar_SEZ_mn5	P{VT033616-p65.AD}	P{VT043145-GAL4.DBD}	proboscis muscle 5 motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
McKellar_SEZ_mn6	McKellar_SEZ_mn6	P{R18B07-p65.AD}	P{R81B12-GAL4.DBD}	proboscis muscle 6 motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
McKellar_SEZ_mn7	McKellar_SEZ_mn7	P{VT014959-p65.AD}	P{VT001484-GAL4.DBD}	proboscis muscle 7 motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
McKellar_SEZ_mn8&7	McKellar_SEZ_mn8&7	P{VT027168-p65.AD}	P{VT015822-GAL4.DBD}	proboscis muscle 8 motor neuron|proboscis muscle 7 motor neuron	male organism|adult brain	JRC2018Unisex_c	"effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT > STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT > STOP > FRT-myr::smGFP-V5-THS-10XUAS-FRT > STOP > FRT-myr::smGFP-FLAG in su(Hw)attP1'"
McKellar_SEZ_mn9	McKellar_SEZ_mn9	P{VT061715-p65.AD}	P{VT005008-GAL4.DBD}	proboscis muscle 9 motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
McKellar_SEZ_mn10	McKellar_SEZ_mn10	P{R14H09-p65.AD}	P{VT020713-GAL4.DBD}	proboscis muscle 10 motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
McKellar_SEZ_mn11D	McKellar_SEZ_mn11D	P{VT020737-p65.AD}	P{R10B11-GAL4.DBD}	proboscis muscle 11 dorsal motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
McKellar_SEZ_mn11V&12D	McKellar_SEZ_mn11V&12D	P{VT050240-p65.AD}	P{R10E04-GAL4.DBD}	proboscis muscle 11 ventral motor neuron|proboscis muscle 12 dorsal motor neuron	male organism|adult brain	JRC2018Unisex_c	"effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT > STOP > FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT > STOP > FRT-myr::smGFP-V5-THS-10XUAS-FRT > STOP > FRT-myr::smGFP-FLAG in su(Hw)attP1'"
McKellar_SEZ_mn12V	McKellar_SEZ_mn12V	P{R80D06-p65.AD}	P{GMR75F02-GAL4}	proboscis muscle 12 ventral motor neuron	male organism|adult brain	JRC2018Unisex_c	effector genotype: '20XUAS-IVS-mCD8::GFP in su(Hw)attP5 (pJFRC2)'
