filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2597136857569427554	JRC_SS45757_Brain_20181005_44_E4_20x	P{VT005105-p65.AD}	P{VT023490-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS45757|JRC_SS45757	FlyLightRaw:SS45757|FlyLightRawSlideCode:20181005_44_E4|jrc_slide_code_api:20181005_44_E4	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181005_44_E4', age: 'Day 1-5'
20x-Brain-2874082424143216738	JRC_SS45757_Brain_20201113_43_G2_20x	P{VT005105-p65.AD}	P{VT023490-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS45757|JRC_SS45757	FlyLightRaw:SS45757|FlyLightRawSlideCode:20201113_43_G2|jrc_slide_code_api:20201113_43_G2	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20201113_43_G2', age: 'Day 1-5'
20x-Brain-2911784512012681314	JRC_SS45757_Brain_20210223_31_E1_20x	P{VT005105-p65.AD}	P{VT023490-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS45757|JRC_SS45757	FlyLightRaw:SS45757|FlyLightRawSlideCode:20210223_31_E1|jrc_slide_code_api:20210223_31_E1	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20210223_31_E1', age: 'Day 1-5'
20x-Brain-2911784512230785122	JRC_SS45757_Brain_20210223_31_E2_20x	P{VT005105-p65.AD}	P{VT023490-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS45757|JRC_SS45757	FlyLightRaw:SS45757|FlyLightRawSlideCode:20210223_31_E2|jrc_slide_code_api:20210223_31_E2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20210223_31_E2', age: 'Day 1-5'
20x-Brain-2911784512453083234	JRC_SS45757_Brain_20210223_31_E3_20x	P{VT005105-p65.AD}	P{VT023490-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS45757|JRC_SS45757	FlyLightRaw:SS45757|FlyLightRawSlideCode:20210223_31_E3|jrc_slide_code_api:20210223_31_E3	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20210223_31_E3', age: 'Day 1-5'
20x-Brain-2911784512679575650	JRC_SS45757_Brain_20210223_31_E4_20x	P{VT005105-p65.AD}	P{VT023490-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS45757|JRC_SS45757	FlyLightRaw:SS45757|FlyLightRawSlideCode:20210223_31_E4|jrc_slide_code_api:20210223_31_E4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20210223_31_E4', age: 'Day 1-5'
20x-Brain-2911784512901873762	JRC_SS45757_Brain_20210223_31_E5_20x	P{VT005105-p65.AD}	P{VT023490-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS45757|JRC_SS45757	FlyLightRaw:SS45757|FlyLightRawSlideCode:20210223_31_E5|jrc_slide_code_api:20210223_31_E5	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20210223_31_E5', age: 'Day 1-5'
20x-Brain-2585530778184056930	JRC_SS45757_Brain_20180921_34_C1_20x	P{VT005105-p65.AD}	P{VT023490-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS45757|JRC_SS45757	FlyLightRaw:SS45757|FlyLightRawSlideCode:20180921_34_C1|jrc_slide_code_api:20180921_34_C1	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20180921_34_C1', age: 'Day 1-5'
20x-Brain-2585530778297303138	JRC_SS45757_Brain_20180921_34_C2_20x	P{VT005105-p65.AD}	P{VT023490-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS45757|JRC_SS45757	FlyLightRaw:SS45757|FlyLightRawSlideCode:20180921_34_C2|jrc_slide_code_api:20180921_34_C2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20180921_34_C2', age: 'Day 1-5'
20x-Brain-2585530778414743650	JRC_SS45757_Brain_20180921_34_C3_20x	P{VT005105-p65.AD}	P{VT023490-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS45757|JRC_SS45757	FlyLightRaw:SS45757|FlyLightRawSlideCode:20180921_34_C3|jrc_slide_code_api:20180921_34_C3	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20180921_34_C3', age: 'Day 1-5'
