filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2571480307026886754	JRC_SS55961_Brain_20180803_47_D3_20x	P{VT025934-p65.AD}	P{R64G02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS55961|JRC_SS55961	FlyLightRaw:SS55961|FlyLightRawSlideCode:20180803_47_D3|jrc_slide_code_api:20180803_47_D3	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180803_47_D3', age: 'Day 1-5'
20x-Brain-2584170998873981026	JRC_SS56145_Brain_20180907_43_C1_20x	P{VT049978-p65.AD}	P{VT050669-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS56145|JRC_SS56145	FlyLightRaw:SS56145|FlyLightRawSlideCode:20180907_43_C1|jrc_slide_code_api:20180907_43_C1	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180907_43_C1', age: 'Day 1-5'
20x-Brain-2607410562342060130	JRC_SS57807_Brain_20181109_46_A6_20x	P{R32A04-p65.AD}	P{VT033636-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS57807|JRC_SS57807	FlyLightRaw:SS57807|FlyLightRawSlideCode:20181109_46_A6|jrc_slide_code_api:20181109_46_A6	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181109_46_A6', age: 'Day 1-5'
20x-Brain-2747612225454735458	JRC_SS63295_Brain_20191206_46_E3_20x	P{VT043662-p65.AD}	P{VT047418-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS63295|JRC_SS63295	FlyLightRaw:SS63295|FlyLightRawSlideCode:20191206_46_E3|jrc_slide_code_api:20191206_46_E3	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191206_46_E3', age: 'Day 1-5'
20x-Brain-2747612227476389986	JRC_SS63715_Brain_20191206_46_G1_20x	P{R14F03-p65.AD}	P{VT002081-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS63715|JRC_SS63715	FlyLightRaw:SS63715|FlyLightRawSlideCode:20191206_46_G1|jrc_slide_code_api:20191206_46_G1	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191206_46_G1', age: 'Day 1-5'
20x-Brain-2747612229330272354	JRC_SS64688_Brain_20191206_46_H4_20x	P{R23C02-p65.AD}	P{VT024643-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS64688|JRC_SS64688	FlyLightRaw:SS64688|FlyLightRawSlideCode:20191206_46_H4|jrc_slide_code_api:20191206_46_H4	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191206_46_H4', age: 'Day 1-5'
20x-Brain-2839219969927938146	JRC_SS63715_Brain_20200814_32_B1_20x	P{R14F03-p65.AD}	P{VT002081-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS63715|JRC_SS63715	FlyLightRaw:SS63715|FlyLightRawSlideCode:20200814_32_B1|jrc_slide_code_api:20200814_32_B1	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200814_32_B1', age: 'Day 1-5'
20x-Brain-2839219970359951458	JRC_SS63715_Brain_20200814_32_B2_20x	P{R14F03-p65.AD}	P{VT002081-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS63715|JRC_SS63715	FlyLightRaw:SS63715|FlyLightRawSlideCode:20200814_32_B2|jrc_slide_code_api:20200814_32_B2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200814_32_B2', age: 'Day 1-5'
20x-Brain-2839219970766798946	JRC_SS63715_Brain_20200814_32_B3_20x	P{R14F03-p65.AD}	P{VT002081-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS63715|JRC_SS63715	FlyLightSplit:SS63715|FlyLightSplitSlideCode:20200814_32_B3|jrc_slide_code_api:20200814_32_B3|neuronbridge:SS63715	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200814_32_B3', age: 'Day 1-5'
20x-Brain-2839219971198812258	JRC_SS63715_Brain_20200814_32_B4_20x	P{R14F03-p65.AD}	P{VT002081-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS63715|JRC_SS63715	FlyLightRaw:SS63715|FlyLightRawSlideCode:20200814_32_B4|jrc_slide_code_api:20200814_32_B4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200814_32_B4', age: 'Day 1-5'
