filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2529855346994839650	JRC_SS38205_Brain_20180413_47_B4_20x	P{VT001608-p65.AD}	P{VT025916-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS38205|JRC_SS38205	FlyLightRaw:SS38205|FlyLightRawSlideCode:20180413_47_B4|jrc_slide_code_api:20180413_47_B4	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20180413_47_B4', age: 'Day 1-5'
20x-Brain-2595672237906329698	JRC_SS38205_Brain_20181017_31_E1_20x	P{VT001608-p65.AD}	P{VT025916-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS38205|JRC_SS38205	FlyLightRaw:SS38205|FlyLightRawSlideCode:20181017_31_E1|jrc_slide_code_api:20181017_31_E1	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181017_31_E1', age: 'Day 1-5'
20x-Brain-2595672237998604386	JRC_SS38205_Brain_20181017_31_E2_20x	P{VT001608-p65.AD}	P{VT025916-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS38205|JRC_SS38205	FlyLightRaw:SS38205|FlyLightRawSlideCode:20181017_31_E2|jrc_slide_code_api:20181017_31_E2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181017_31_E2', age: 'Day 1-5'
20x-Brain-2595672238090879074	JRC_SS38205_Brain_20181017_31_E3_20x	P{VT001608-p65.AD}	P{VT025916-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS38205|JRC_SS38205	FlyLightRaw:SS38205|FlyLightRawSlideCode:20181017_31_E3|jrc_slide_code_api:20181017_31_E3	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181017_31_E3', age: 'Day 1-5'
20x-Brain-2595672238183153762	JRC_SS38205_Brain_20181017_31_E4_20x	P{VT001608-p65.AD}	P{VT025916-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS38205|JRC_SS38205	FlyLightRaw:SS38205|FlyLightRawSlideCode:20181017_31_E4|jrc_slide_code_api:20181017_31_E4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181017_31_E4', age: 'Day 1-5'
20x-Brain-2595672238258651234	JRC_SS38205_Brain_20181017_31_E5_20x	P{VT001608-p65.AD}	P{VT025916-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS38205|JRC_SS38205	FlyLightRaw:SS38205|FlyLightRawSlideCode:20181017_31_E5|jrc_slide_code_api:20181017_31_E5	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20181017_31_E5', age: 'Day 1-5'
20x-Brain-2671869270438183010	JRC_SS60585_Brain_20190510_47_A1_20x	P{VT001497-p65.AD}	P{VT049903-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS60585|JRC_SS60585	FlyLightRaw:SS60585|FlyLightRawSlideCode:20190510_47_A1|jrc_slide_code_api:20190510_47_A1	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190510_47_A1', age: 'Day 1-5'
20x-Brain-2671869272501780578	JRC_SS62883_Brain_20190510_47_C3_20x	P{VT002223-p65.AD}	P{VT004419-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS62883|JRC_SS62883	FlyLightRaw:SS62883|FlyLightRawSlideCode:20190510_47_C3|jrc_slide_code_api:20190510_47_C3	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190510_47_C3', age: 'Day 1-5'
20x-Brain-2671869273684574306	JRC_SS59225_Brain_20190510_47_D5_20x	P{VT006545-p65.AD}	P{R29G03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59225|JRC_SS59225	FlyLightRaw:SS59225|FlyLightRawSlideCode:20190510_47_D5|jrc_slide_code_api:20190510_47_D5	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190510_47_D5', age: 'Day 1-5'
20x-Brain-2719010145999781986	JRC_SS59229_Brain_20190906_46_B6_20x	P{VT033282-p65.AD}	P{R75H07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS59229|JRC_SS59229	FlyLightRaw:SS59229|FlyLightRawSlideCode:20190906_46_B6|jrc_slide_code_api:20190906_46_B6	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20190906_46_B6', age: 'Day 1-5'
