filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1966381514178429026	JRC_SS01015_Brain_20131220_31_C1_20x	P{R21B12-p65.AD}	P{R20E07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01015|GMR_SS01015|JRC_SS01015	FlyLightSplit:SS01015|FlyLightSplitSlideCode:20131220_31_C1|jrc_slide_code_api:20131220_31_C1|neuronbridge:SS01015	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131220_31_C1', age: 'Day 1-5'
20x-Brain-1966381610081189986	JRC_SS01015_Brain_20131220_31_C2_20x	P{R21B12-p65.AD}	P{R20E07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01015|GMR_SS01015|JRC_SS01015	FlyLightSplit:SS01015|FlyLightSplitSlideCode:20131220_31_C2|jrc_slide_code_api:20131220_31_C2|neuronbridge:SS01015	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131220_31_C2', age: 'Day 1-5'
20x-Brain-2157997753802686562	JRC_SS02978_Brain_20150512_32_I2_20x	P{R42E06-p65.AD}	P{VT064564-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS02978|GMR_SS02978|JRC_SS02978	FlyLightSplit:SS02978|FlyLightSplitSlideCode:20150512_32_I2|jrc_slide_code_api:20150512_32_I2|neuronbridge:SS02978	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20150512_32_I2', age: 'Day 1-5'
20x-Brain-2157997771875942498	JRC_SS02978_Brain_20150512_32_I3_20x	P{R42E06-p65.AD}	P{VT064564-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS02978|GMR_SS02978|JRC_SS02978	FlyLightSplit:SS02978|FlyLightSplitSlideCode:20150512_32_I3|jrc_slide_code_api:20150512_32_I3|neuronbridge:SS02978	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20150512_32_I3', age: 'Day 1-5'
20x-Brain-2326913579418124433	JRC_SS28175_Brain_20161011_31_H1_20x	P{R51E06-p65.AD}	P{R15D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS28175|JRC_SS28175	FlyLightSplit:SS28175|FlyLightSplitSlideCode:20161011_31_H1|jrc_slide_code_api:20161011_31_H1|neuronbridge:SS28175	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161011_31_H1', age: 'Day 1-5'
20x-Brain-2326913579619451025	JRC_SS28175_Brain_20161011_31_H2_20x	P{R51E06-p65.AD}	P{R15D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS28175|JRC_SS28175	FlyLightSplit:SS28175|FlyLightSplitSlideCode:20161011_31_H2|jrc_slide_code_api:20161011_31_H2|neuronbridge:SS28175	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161011_31_H2', age: 'Day 1-5'
63x-Brain-1966381514178429026	JRC_SS01015_Brain_20131220_31_C1_63x	P{R21B12-p65.AD}	P{R20E07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01015|GMR_SS01015|JRC_SS01015	FlyLightSplit:SS01015|FlyLightSplitSlideCode:20131220_31_C1|jrc_slide_code_api:20131220_31_C1|neuronbridge:SS01015	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131220_31_C1', age: 'Day 1-5'
63x-Brain-1966381610081189986	JRC_SS01015_Brain_20131220_31_C2_63x	P{R21B12-p65.AD}	P{R20E07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01015|GMR_SS01015|JRC_SS01015	FlyLightSplit:SS01015|FlyLightSplitSlideCode:20131220_31_C2|jrc_slide_code_api:20131220_31_C2|neuronbridge:SS01015	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131220_31_C2', age: 'Day 1-5'
63x-Brain-2157997753802686562	JRC_SS02978_Brain_20150512_32_I2_63x	P{R42E06-p65.AD}	P{VT064564-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS02978|GMR_SS02978|JRC_SS02978	FlyLightSplit:SS02978|FlyLightSplitSlideCode:20150512_32_I2|jrc_slide_code_api:20150512_32_I2|neuronbridge:SS02978	tile(s): 'left_optic_lobe, ventral, left_dorsal, right_dorsal, right_optic_lobe', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150512_32_I2', age: 'Day 1-5'
63x-Brain-2157997771875942498	JRC_SS02978_Brain_20150512_32_I3_63x	P{R42E06-p65.AD}	P{VT064564-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS02978|GMR_SS02978|JRC_SS02978	FlyLightSplit:SS02978|FlyLightSplitSlideCode:20150512_32_I3|jrc_slide_code_api:20150512_32_I3|neuronbridge:SS02978	tile(s): 'left_optic_lobe, ventral, left_dorsal, right_dorsal, right_optic_lobe', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150512_32_I3', age: 'Day 1-5'
63x-Brain-2326913579418124433	JRC_SS28175_Brain_20161011_31_H1_63x	P{R51E06-p65.AD}	P{R15D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS28175|JRC_SS28175	FlyLightSplit:SS28175|FlyLightSplitSlideCode:20161011_31_H1|jrc_slide_code_api:20161011_31_H1|neuronbridge:SS28175	tile(s): 'left_optic_lobe, ventral, left_dorsal, right_dorsal, right_optic_lobe', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161011_31_H1', age: 'Day 1-5'
63x-Brain-2326913579619451025	JRC_SS28175_Brain_20161011_31_H2_63x	P{R51E06-p65.AD}	P{R15D05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS28175|JRC_SS28175	FlyLightSplit:SS28175|FlyLightSplitSlideCode:20161011_31_H2|jrc_slide_code_api:20161011_31_H2|neuronbridge:SS28175	tile(s): 'left_optic_lobe, ventral, left_dorsal, right_dorsal, right_optic_lobe', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161011_31_H2', age: 'Day 1-5'
20x-VNC-1966381514178429026	JRC_SS01015_VNC_20131220_31_C1_20x	P{R21B12-p65.AD}	P{R20E07-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS01015|GMR_SS01015|JRC_SS01015	FlyLightSplit:SS01015|FlyLightSplitSlideCode:20131220_31_C1|jrc_slide_code_api:20131220_31_C1|neuronbridge:SS01015	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131220_31_C1', age: 'Day 1-5'
20x-VNC-1966381610081189986	JRC_SS01015_VNC_20131220_31_C2_20x	P{R21B12-p65.AD}	P{R20E07-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS01015|GMR_SS01015|JRC_SS01015	FlyLightSplit:SS01015|FlyLightSplitSlideCode:20131220_31_C2|jrc_slide_code_api:20131220_31_C2|neuronbridge:SS01015	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131220_31_C2', age: 'Day 1-5'
20x-VNC-2157997753802686562	JRC_SS02978_VNC_20150512_32_I2_20x	P{R42E06-p65.AD}	P{VT064564-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS02978|GMR_SS02978|JRC_SS02978	FlyLightSplit:SS02978|FlyLightSplitSlideCode:20150512_32_I2|jrc_slide_code_api:20150512_32_I2|neuronbridge:SS02978	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20150512_32_I2', age: 'Day 1-5'
20x-VNC-2326913579418124433	JRC_SS28175_VNC_20161011_31_H1_20x	P{R51E06-p65.AD}	P{R15D05-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS28175|JRC_SS28175	FlyLightSplit:SS28175|FlyLightSplitSlideCode:20161011_31_H1|jrc_slide_code_api:20161011_31_H1|neuronbridge:SS28175	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161011_31_H1', age: 'Day 1-5'
20x-VNC-2326913579619451025	JRC_SS28175_VNC_20161011_31_H2_20x	P{R51E06-p65.AD}	P{R15D05-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS28175|JRC_SS28175	FlyLightSplit:SS28175|FlyLightSplitSlideCode:20161011_31_H2|jrc_slide_code_api:20161011_31_H2|neuronbridge:SS28175	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161011_31_H2', age: 'Day 1-5'
