filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2042502854865846370	JRC_SS01562_Brain_20140722_34_E2_20x	P{R42B02-p65.AD}	P{VT039465-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01562|GMR_SS01562|JRC_SS01562	FlyLightRaw:SS01562|FlyLightRawSlideCode:20140722_34_E2|jrc_slide_code_api:20140722_34_E2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140722_34_E2', age: 'Day 1-5'
20x-Brain-2129697775649030242	JRC_SS01563_Brain_20140819_33_D2_20x	P{R42B02-p65.AD}	P{VT058697-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01563|GMR_SS01563|JRC_SS01563	FlyLightRaw:SS01563|FlyLightRawSlideCode:20140819_33_D2|jrc_slide_code_api:20140819_33_D2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140819_33_D2', age: 'Day 1-5'
20x-Brain-2129697777024761954	JRC_SS01563_Brain_20140819_33_D3_20x	P{R42B02-p65.AD}	P{VT058697-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01563|GMR_SS01563|JRC_SS01563	FlyLightRaw:SS01563|FlyLightRawSlideCode:20140819_33_D3|jrc_slide_code_api:20140819_33_D3	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140819_33_D3', age: 'Day 1-5'
20x-Brain-2129697778773786722	JRC_SS01563_Brain_20140819_33_D4_20x	P{R42B02-p65.AD}	P{VT058697-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01563|GMR_SS01563|JRC_SS01563	FlyLightRaw:SS01563|FlyLightRawSlideCode:20140819_33_D4|jrc_slide_code_api:20140819_33_D4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140819_33_D4', age: 'Day 1-5'
20x-Brain-2049013627901444194	JRC_SS01577_Brain_20140815_31_E2_20x	P{VT039465-p65.AD}	P{VT011148-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01577|GMR_SS01577|JRC_SS01577	FlyLightRaw:SS01577|FlyLightRawSlideCode:20140815_31_E2|jrc_slide_code_api:20140815_31_E2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140815_31_E2', age: 'Day 1-5'
20x-Brain-2049013628442509410	JRC_SS01577_Brain_20140815_31_E3_20x	P{VT039465-p65.AD}	P{VT011148-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01577|GMR_SS01577|JRC_SS01577	FlyLightRaw:SS01577|FlyLightRawSlideCode:20140815_31_E3|jrc_slide_code_api:20140815_31_E3	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140815_31_E3', age: 'Day 1-5'
20x-Brain-2054710617771606114	JRC_SS01577_Brain_20140815_31_E4_20x	P{VT039465-p65.AD}	P{VT011148-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01577|GMR_SS01577|JRC_SS01577	FlyLightRaw:SS01577|FlyLightRawSlideCode:20140815_31_E4|jrc_slide_code_api:20140815_31_E4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140815_31_E4', age: 'Day 1-5'
20x-Brain-2089932675694461026	JRC_SS01578_Brain_20141209_31_E1_20x	P{VT039465-p65.AD}	P{VT061933-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01578|BJD_SS01578|JRC_SS01578	FlyLightRaw:SS01578|FlyLightRawSlideCode:20141209_31_E1|jrc_slide_code_api:20141209_31_E1	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141209_31_E1', age: 'Day 1-5'
20x-Brain-2089932678433341538	JRC_SS01578_Brain_20141209_31_E2_20x	P{VT039465-p65.AD}	P{VT061933-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01578|BJD_SS01578|JRC_SS01578	FlyLightRaw:SS01578|FlyLightRawSlideCode:20141209_31_E2|jrc_slide_code_api:20141209_31_E2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141209_31_E2', age: 'Day 1-5'
20x-Brain-2087014505379790946	JRC_SS02535_Brain_20141216_32_I3_20x	P{VT039465-p65.AD}	P{VT041041-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS02535|BJD_SS02535|JRC_SS02535	FlyLightRaw:SS02535|FlyLightRawSlideCode:20141216_32_I3|jrc_slide_code_api:20141216_32_I3	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141216_32_I3', age: 'Day 1-5'
