filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1846510872734728290	JRC_MB052B_Brain_20121210_32_A1_20x	P{R71D08-p65.AD}	P{R11F03-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	MB052B|GMR_MB052B|JRC_MB052B	FlyLightSplit:MB052B|FlyLightSplitSlideCode:20121210_32_A1|jrc_slide_code_api:20121210_32_A1|neuronbridge:MB052B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_A1', age: 'Day 6-10'
20x-Brain-1846510872940249186	JRC_MB052B_Brain_20121210_32_A2_20x	P{R71D08-p65.AD}	P{R11F03-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	MB052B|GMR_MB052B|JRC_MB052B	FlyLightSplit:MB052B|FlyLightSplitSlideCode:20121210_32_A2|jrc_slide_code_api:20121210_32_A2|neuronbridge:MB052B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_A2', age: 'Day 6-10'
20x-Brain-1846510873124798562	JRC_MB052B_Brain_20121210_32_A3_20x	P{R71D08-p65.AD}	P{R11F03-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	MB052B|GMR_MB052B|JRC_MB052B	FlyLightSplit:MB052B|FlyLightSplitSlideCode:20121210_32_A3|jrc_slide_code_api:20121210_32_A3|neuronbridge:MB052B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_A3', age: 'Day 6-10'
20x-Brain-1870576622520762466	JRC_MB052B_Brain_20121210_32_A4_20x	P{R71D08-p65.AD}	P{R11F03-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	MB052B|GMR_MB052B|JRC_MB052B	FlyLightSplit:MB052B|FlyLightSplitSlideCode:20121210_32_A4|jrc_slide_code_api:20121210_32_A4|neuronbridge:MB052B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_A4', age: 'Day 6-10'
20x-Brain-1870576622663368802	JRC_MB052B_Brain_20121210_32_A5_20x	P{R71D08-p65.AD}	P{R11F03-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	MB052B|GMR_MB052B|JRC_MB052B	FlyLightSplit:MB052B|FlyLightSplitSlideCode:20121210_32_A5|jrc_slide_code_api:20121210_32_A5|neuronbridge:MB052B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_A5', age: 'Day 6-10'
20x-Brain-1846510873451954274	JRC_MB052B_Brain_20121210_32_B1_20x	P{R71D08-p65.AD}	P{R11F03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB052B|GMR_MB052B|JRC_MB052B	FlyLightSplit:MB052B|FlyLightSplitSlideCode:20121210_32_B1|jrc_slide_code_api:20121210_32_B1|neuronbridge:MB052B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_B1', age: 'Day 6-10'
20x-Brain-1846510873615532130	JRC_MB052B_Brain_20121210_32_B2_20x	P{R71D08-p65.AD}	P{R11F03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB052B|GMR_MB052B|JRC_MB052B	FlyLightSplit:MB052B|FlyLightSplitSlideCode:20121210_32_B2|jrc_slide_code_api:20121210_32_B2|neuronbridge:MB052B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_B2', age: 'Day 6-10'
20x-Brain-1846510873862996066	JRC_MB052B_Brain_20121210_32_B3_20x	P{R71D08-p65.AD}	P{R11F03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB052B|GMR_MB052B|JRC_MB052B	FlyLightSplit:MB052B|FlyLightSplitSlideCode:20121210_32_B3|jrc_slide_code_api:20121210_32_B3|neuronbridge:MB052B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_B3', age: 'Day 6-10'
20x-Brain-1870576625846845538	JRC_MB052B_Brain_20121210_32_B4_20x	P{R71D08-p65.AD}	P{R11F03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB052B|GMR_MB052B|JRC_MB052B	FlyLightSplit:MB052B|FlyLightSplitSlideCode:20121210_32_B4|jrc_slide_code_api:20121210_32_B4|neuronbridge:MB052B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_B4', age: 'Day 6-10'
20x-Brain-1870576554178773090	JRC_MB460B_Brain_20121208_32_A1_20x	P{R34E09-p65.AD}	P{R45E06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB460B|GMR_MB460B|JRC_MB460B	FlyLightSplit:MB460B|FlyLightSplitSlideCode:20121208_32_A1|jrc_slide_code_api:20121208_32_A1|neuronbridge:MB460B	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121208_32_A1', age: 'Day 6-10'
