filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2036590476148080738	JRC_SS01491_Brain_20140729_31_B1_20x	P{VT002064-p65.AD}	P{VT008469-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS01491|GMR_SS01491|JRC_SS01491	FlyLightSplit:SS01491|jrc_slide_code_api:20140729_31_B1|neuronbridge:SS01491	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140729_31_B1', age: 'Day 1-5'
20x-Brain-2036590477708361826	JRC_SS01491_Brain_20140729_31_B4_20x	P{VT002064-p65.AD}	P{VT008469-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS01491|GMR_SS01491|JRC_SS01491	FlyLightSplit:SS01491|jrc_slide_code_api:20140729_31_B4|neuronbridge:SS01491	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140729_31_B4', age: 'Day 1-5'
20x-Brain-2065263073739931746	JRC_SS01491_Brain_20141014_31_B1_20x	P{VT002064-p65.AD}	P{VT008469-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01491|GMR_SS01491|JRC_SS01491	FlyLightSplit:SS01491|jrc_slide_code_api:20141014_31_B1|neuronbridge:SS01491	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141014_31_B1', age: 'Day 1-5'
20x-Brain-2065263074239053922	JRC_SS01491_Brain_20141014_31_B2_20x	P{VT002064-p65.AD}	P{VT008469-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01491|GMR_SS01491|JRC_SS01491	FlyLightSplit:SS01491|jrc_slide_code_api:20141014_31_B2|neuronbridge:SS01491	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141014_31_B2', age: 'Day 1-5'
20x-Brain-2453026216601452642	JRC_SS50910_Brain_20170922_31_D1_20x	P{VT058873-p65.AD}	P{VT003280-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS50910|JRC_SS50910	FlyLightSplit:SS50910|jrc_slide_code_api:20170922_31_D1|neuronbridge:SS50910	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170922_31_D1', age: 'Day 1-5'
20x-Brain-2453026216660172898	JRC_SS50910_Brain_20170922_31_D2_20x	P{VT058873-p65.AD}	P{VT003280-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS50910|JRC_SS50910	FlyLightSplit:SS50910|jrc_slide_code_api:20170922_31_D2|neuronbridge:SS50910	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170922_31_D2', age: 'Day 1-5'
20x-Brain-2453026216718893154	JRC_SS50910_Brain_20170922_31_D3_20x	P{VT058873-p65.AD}	P{VT003280-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS50910|JRC_SS50910	FlyLightSplit:SS50910|jrc_slide_code_api:20170922_31_D3|neuronbridge:SS50910	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170922_31_D3', age: 'Day 1-5'
20x-Brain-2453026216777613410	JRC_SS50910_Brain_20170922_31_D4_20x	P{VT058873-p65.AD}	P{VT003280-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS50910|JRC_SS50910	FlyLightSplit:SS50910|jrc_slide_code_api:20170922_31_D4|neuronbridge:SS50910	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170922_31_D4', age: 'Day 1-5'
20x-Brain-2478416587653120098	JRC_SS51118_Brain_20171128_32_C1_20x	P{VT050405-p65.AD}	P{VT007068-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS51118|JRC_SS51118	FlyLightSplit:SS51118|jrc_slide_code_api:20171128_32_C1|neuronbridge:SS51118	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171128_32_C1', age: 'Day 1-5'
20x-Brain-2478416587716034658	JRC_SS51118_Brain_20171128_32_C2_20x	P{VT050405-p65.AD}	P{VT007068-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS51118|JRC_SS51118	FlyLightSplit:SS51118|jrc_slide_code_api:20171128_32_C2|neuronbridge:SS51118	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171128_32_C2', age: 'Day 1-5'
