filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2036531276143394914	JRC_SS01165_Brain_20140722_32_E1_20x	P{R44A02-p65.AD}	P{VT033006-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01165|GMR_SS01165|JRC_SS01165	FlyLightSplit:SS01165|FlyLightSplitSlideCode:20140722_32_E1|jrc_slide_code_api:20140722_32_E1|neuronbridge:SS01165	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140722_32_E1', age: 'Day 1-5'
20x-Brain-2036531278269907042	JRC_SS01165_Brain_20140722_32_E2_20x	P{R44A02-p65.AD}	P{VT033006-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01165|GMR_SS01165|JRC_SS01165	FlyLightSplit:SS01165|FlyLightSplitSlideCode:20140722_32_E2|jrc_slide_code_api:20140722_32_E2|neuronbridge:SS01165	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140722_32_E2', age: 'Day 1-5'
20x-Brain-2036531280358670434	JRC_SS01165_Brain_20140722_32_E3_20x	P{R44A02-p65.AD}	P{VT033006-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01165|GMR_SS01165|JRC_SS01165	FlyLightSplit:SS01165|FlyLightSplitSlideCode:20140722_32_E3|jrc_slide_code_api:20140722_32_E3|neuronbridge:SS01165	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140722_32_E3', age: 'Day 1-5'
20x-Brain-2036531282925584482	JRC_SS01165_Brain_20140722_32_E4_20x	P{R44A02-p65.AD}	P{VT033006-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01165|GMR_SS01165|JRC_SS01165	FlyLightSplit:SS01165|FlyLightSplitSlideCode:20140722_32_E4|jrc_slide_code_api:20140722_32_E4|neuronbridge:SS01165	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140722_32_E4', age: 'Day 1-5'
20x-Brain-2037250319561261154	JRC_SS01165_Brain_20140617_41_F2_20x	P{R44A02-p65.AD}	P{VT033006-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01165|GMR_SS01165|JRC_SS01165	FlyLightSplit:SS01165|FlyLightSplitSlideCode:20140617_41_F2|jrc_slide_code_api:20140617_41_F2|neuronbridge:SS01165	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140617_41_F2', age: 'Day 1-5'
20x-Brain-2056893327915090018	JRC_SS01265_Brain_20140905_44_B1_20x	P{VT033006-p65.AD}	P{R19G08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01265|GMR_SS01265|JRC_SS01265	FlyLightSplit:SS01265|FlyLightSplitSlideCode:20140905_44_B1|jrc_slide_code_api:20140905_44_B1|neuronbridge:SS01265	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140905_44_B1', age: 'Adult'
20x-Brain-2056893306754826338	JRC_SS01867_Brain_20140829_41_A3_20x	P{R72C11-p65.AD}	P{VT033006-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01867|GMR_SS01867|JRC_SS01867	FlyLightSplit:SS01867|FlyLightSplitSlideCode:20140829_41_A3|jrc_slide_code_api:20140829_41_A3|neuronbridge:SS01867	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140829_41_A3', age: 'Adult'
20x-Brain-2828085974477570146	JRC_SS01165_Brain_20200710_44_E4_20x	P{R44A02-p65.AD}	P{VT033006-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS01165|GMR_SS01165|JRC_SS01165	FlyLightSplit:SS01165|FlyLightSplitSlideCode:20200710_44_E4|jrc_slide_code_api:20200710_44_E4|neuronbridge:SS01165	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200710_44_E4', age: 'Day 1-5'
20x-Brain-2828420061897687138	JRC_SS01165_Brain_20200710_43_E5_20x	P{R44A02-p65.AD}	P{VT033006-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01165|GMR_SS01165|JRC_SS01165	FlyLightSplit:SS01165|FlyLightSplitSlideCode:20200710_43_E5|jrc_slide_code_api:20200710_43_E5|neuronbridge:SS01165	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200710_43_E5', age: 'Day 1-5'
20x-VNC-2036531276143394914	JRC_SS01165_VNC_20140722_32_E1_20x	P{R44A02-p65.AD}	P{VT033006-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS01165|GMR_SS01165|JRC_SS01165	FlyLightSplit:SS01165|FlyLightSplitSlideCode:20140722_32_E1|jrc_slide_code_api:20140722_32_E1|neuronbridge:SS01165	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140722_32_E1', age: 'Day 1-5'
