filename	label	AD	DBD	part_of
Janelia-2025678950633570402-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_197_671_2611404246704197671_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS00728_VNC_2020__1	P{R25C08-p65.AD}	P{R79H02-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2026743731721338978-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_654_437_2611411143255654437_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01058_VNC_2020__1	P{R21C05-p65.AD}	P{R28E01-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2028554096176267362-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_242_082_2611417886698242082_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01076_VNC_2020__1	P{R50D07-p65.AD}	P{R74C01-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2030819994173964386-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_544_418_2611415457814544418_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01070_VNC_2020__1	P{R38H06-p65.AD}	P{R65D06-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2030820144627843170-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_280_164_2611422935151280164_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS00734_VNC_2020__1	P{R73C04-p65.AD}	P{R39H12-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2030820154929053794-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_227_300_2611424750169227300_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS00736_VNC_2020__1	P{R21A07-p65.AD}	P{R72A01-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2030820164768890978-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_465_896_2611410410569465896_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS00737_VNC_2020__1	P{R10A12-p65.AD}	P{R81E05-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2030820175397257314-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_578_277_2611422345549578277_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS00738_VNC_2020__1	P{R81D05-p65.AD}	P{R81E05-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2042502745532924002-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_530_471_2611417803424530471_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01551_VNC_2020__1	P{VT059450-p65.AD}	P{VT037825-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2049013636789174370-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_860_453_2611420351132860453_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01584_VNC_2020__1	P{VT034258-p65.AD}	P{R32B03-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2049013642992549986-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_380_711_2611428530084380711_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01588_VNC_2020__1	P{R14H09-p65.AD}	P{R13B05-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2049013652517814370-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_513_638_2611434048559513638_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01601_VNC_2020__1	P{R59B10-p65.AD}	P{R21H11-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2049596954983268450-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_303_144_2611425796480303144_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01574_VNC_2020__1	P{VT045148-p65.AD}	P{VT045150-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2049596956400943202-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_871_272_2611438296059871272_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01594_VNC_2020__1	P{R29F12-p65.AD}	P{R24A03-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2057703279382495330-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_510_631_2611431089574510631_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01603_VNC_2020__1	P{R72H09-p65.AD}	P{VT037825-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2089932700730261602-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_973_092_2611463905980973092_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS02260_VNC_2020__1	P{VT015782-p65.AD}	P{VT061933-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2107647979627216994-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_148_134_2611451736774148134_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS02541_VNC_2020__1	P{VT020379-p65.AD}	P{VT043626-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2110220316104982626-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_422_054_2611452625358422054_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS02621_VNC_2020__1	P{R58E07-p65.AD}	P{R30C01-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2127355090938364002-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_572_519_2611461285719572519_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS02555_VNC_2020__1	P{R81C11-p65.AD}	P{VT025598-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2127355154293325922-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_373_158_2611456894954373158_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS02545_VNC_2020__1	P{R22C05-p65.AD}	P{VT025718-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2129697810373673058-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_956_644_2611474234613956644_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01585_VNC_2020__1	P{R10A07-p65.AD}	P{R24D07-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2129697902132461666-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_320_680_2611461837438320680_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01568_VNC_2020__1	P{R91C05-p65.AD}	P{R10A12-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2129697921820524642-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_287_910_2611468551294287910_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01595_VNC_2020__1	P{R29F12-p65.AD}	P{R31B08-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2129697937033265250-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_461_544_2611461058413461544_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01596_VNC_2020__1	P{R29F12-p65.AD}	P{R37G07-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2201647010749087818-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_142_760_2611479779706142760_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS04160_VNC_2020__1	P{R38H06-p65.AD}	P{R50B07-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2201647024766451786-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_564_776_2611474193224564776_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS04530_VNC_2020__1	P{R40F04-p65.AD}	P{R83B06-GAL4.DBD}	female organism|thoracico-abdominal ganglion
