filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
63x-Brain-1935933237327036514	JRC_OL0001B_Brain_20130911_20_B5_63x	P{R64G10-p65.AD}	P{R35B06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0001B|GMR_OL0001B|JRC_OL0001B	FlyLightSplit:OL0001B|jrc_slide_code_api:20130911_20_B5|neuronbridge:OL0001B	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130911_20_B5', age: 'Adult'
63x-Brain-1958769784770265186	JRC_OL0022B_Brain_20131114_31_A3_63x	P{R35D04-p65.AD}	P{R91B01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0022B|GMR_OL0022B|JRC_OL0022B	FlyLightSplit:OL0022B|jrc_slide_code_api:20131114_31_A3|neuronbridge:OL0022B	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131114_31_A3', age: 'Day 6-10'
63x-Brain-1947306031293923426	JRC_OL0005B_Brain_20131114_31_D8_63x	P{R21D03-p65.AD}	P{R65C12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0005B|GMR_OL0005B|JRC_OL0005B	FlyLightSplit:OL0005B|jrc_slide_code_api:20131114_31_D8|neuronbridge:OL0005B	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131114_31_D8', age: 'Day 6-10'
63x-Brain-1947306036314505314	JRC_OL0042B_Brain_20131114_31_E6_63x	P{R26A03-p65.AD}	P{R24A02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0042B|GMR_OL0042B|JRC_OL0042B	FlyLightSplit:OL0042B|jrc_slide_code_api:20131114_31_E6|neuronbridge:OL0042B	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131114_31_E6', age: 'Day 6-10'
63x-Brain-1958769967092465762	JRC_OL0027B_Brain_20131115_32_A1_63x	P{R14A11-p65.AD}	P{R50C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0027B|GMR_OL0027B|JRC_OL0027B	FlyLightSplit:OL0027B|jrc_slide_code_api:20131115_32_A1|neuronbridge:OL0027B	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131115_32_A1', age: 'Day 6-10'
63x-Brain-1958769978232537186	JRC_OL0027B_Brain_20131115_32_A5_63x	P{R14A11-p65.AD}	P{R50C10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0027B|GMR_OL0027B|JRC_OL0027B	FlyLightSplit:OL0027B|jrc_slide_code_api:20131115_32_A5|neuronbridge:OL0027B	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131115_32_A5', age: 'Day 6-10'
63x-Brain-1958770100299366498	JRC_OL0007B_Brain_20131115_32_H1_63x	P{R35D04-p65.AD}	P{R65B05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0007B|GMR_OL0007B|JRC_OL0007B	FlyLightSplit:OL0007B|jrc_slide_code_api:20131115_32_H1|neuronbridge:OL0007B	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131115_32_H1', age: 'Day 6-10'
63x-Brain-1958770110487330914	JRC_OL0019B_Brain_20131115_32_I2_63x	P{R35D04-p65.AD}	P{R22D06-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0019B|GMR_OL0019B|JRC_OL0019B	FlyLightSplit:OL0019B|jrc_slide_code_api:20131115_32_I2|neuronbridge:OL0019B	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131115_32_I2', age: 'Day 6-10'
63x-Brain-1948215721091661922	JRC_OL0070B_Brain_20131115_34_D4_63x	P{R91B01-p65.AD}	P{R22A07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0070B|GMR_OL0070B|JRC_OL0070B	FlyLightSplit:OL0070B|jrc_slide_code_api:20131115_34_D4|neuronbridge:OL0070B	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131115_34_D4', age: 'Adult'
63x-Brain-1948215863152738402	JRC_OL0046B_Brain_20131115_34_G2_63x	P{R26A03-p65.AD}	P{R54A05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	OL0046B|GMR_OL0046B|JRC_OL0046B	FlyLightSplit:OL0046B|jrc_slide_code_api:20131115_34_G2|neuronbridge:OL0046B	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131115_34_G2', age: 'Adult'
