filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-1734424924644180066	JRC_MB112C_Brain_20120216_19_A3_63x	female organism|adult brain|P{R13F04-GAL4.DBD} ∩ PBac{R93D10-p65.AD} expression pattern	JRC2018Unisex_c	MB112C|GMR_MB112C|JRC_MB112C	FlyLightSplit:MB112C|FlyLightSplitSlideCode:20120216_19_A3|jrc_slide_code_api:20120216_19_A3|neuronbridge:MB112C		expression pattern fragment
63x-Brain-1734424925151690850	JRC_MB112C_Brain_20120216_19_A5_63x	female organism|adult brain|P{R13F04-GAL4.DBD} ∩ PBac{R93D10-p65.AD} expression pattern	JRC2018Unisex_c	MB112C|GMR_MB112C|JRC_MB112C	FlyLightSplit:MB112C|FlyLightSplitSlideCode:20120216_19_A5|jrc_slide_code_api:20120216_19_A5|neuronbridge:MB112C		expression pattern fragment
63x-Brain-1734424930377793634	JRC_MB110C_Brain_20120217_19_A1_63x	female organism|adult brain|P{R94B10-GAL4.DBD} ∩ PBac{R20A02-p65.AD} expression pattern	JRC2018Unisex_c	MB110C|GMR_MB110C|JRC_MB110C	FlyLightSplit:MB110C|FlyLightSplitSlideCode:20120217_19_A1|jrc_slide_code_api:20120217_19_A1|neuronbridge:MB110C		expression pattern fragment
63x-Brain-1734424930977579106	JRC_MB110C_Brain_20120217_19_A2_63x	female organism|adult brain|P{R94B10-GAL4.DBD} ∩ PBac{R20A02-p65.AD} expression pattern	JRC2018Unisex_c	MB110C|GMR_MB110C|JRC_MB110C	FlyLightSplit:MB110C|FlyLightSplitSlideCode:20120217_19_A2|jrc_slide_code_api:20120217_19_A2|neuronbridge:MB110C		expression pattern fragment
63x-Brain-1734424931493478498	JRC_MB110C_Brain_20120217_19_A3_63x	female organism|adult brain|P{R94B10-GAL4.DBD} ∩ PBac{R20A02-p65.AD} expression pattern	JRC2018Unisex_c	MB110C|GMR_MB110C|JRC_MB110C	FlyLightSplit:MB110C|FlyLightSplitSlideCode:20120217_19_A3|jrc_slide_code_api:20120217_19_A3|neuronbridge:MB110C		expression pattern fragment
63x-Brain-1734424931841605730	JRC_MB110C_Brain_20120217_19_A4_63x	female organism|adult brain|P{R94B10-GAL4.DBD} ∩ PBac{R20A02-p65.AD} expression pattern	JRC2018Unisex_c	MB110C|GMR_MB110C|JRC_MB110C	FlyLightSplit:MB110C|FlyLightSplitSlideCode:20120217_19_A4|jrc_slide_code_api:20120217_19_A4|neuronbridge:MB110C		expression pattern fragment
63x-Brain-1734424932458168418	JRC_MB319C_Brain_20120217_19_C1_63x	female organism|adult brain|P{R17C11-GAL4.DBD} ∩ PBac{R93D10-p65.AD} expression pattern	JRC2018Unisex_c	MB319C|GMR_MB319C|JRC_MB319C	FlyLightSplit:MB319C|FlyLightSplitSlideCode:20120217_19_C1|jrc_slide_code_api:20120217_19_C1|neuronbridge:MB319C		expression pattern fragment
63x-Brain-1734424932881793122	JRC_MB319C_Brain_20120217_19_C2_63x	female organism|adult brain|P{R17C11-GAL4.DBD} ∩ PBac{R93D10-p65.AD} expression pattern	JRC2018Unisex_c	MB319C|GMR_MB319C|JRC_MB319C	FlyLightSplit:MB319C|FlyLightSplitSlideCode:20120217_19_C2|jrc_slide_code_api:20120217_19_C2|neuronbridge:MB319C		expression pattern fragment
63x-Brain-1734424933246697570	JRC_MB319C_Brain_20120217_19_C3_63x	female organism|adult brain|P{R17C11-GAL4.DBD} ∩ PBac{R93D10-p65.AD} expression pattern	JRC2018Unisex_c	MB319C|GMR_MB319C|JRC_MB319C	FlyLightSplit:MB319C|FlyLightSplitSlideCode:20120217_19_C3|jrc_slide_code_api:20120217_19_C3|neuronbridge:MB319C		expression pattern fragment
63x-Brain-1803563548601745506	JRC_MB010B_Brain_20120403_19_B2_63x	female organism|adult brain|P{R52H09-GAL4.DBD} ∩ P{R13F02-p65.AD} expression pattern	JRC2018Unisex_c	MB010B|GMR_MB010B|JRC_MB010B	FlyLightSplit:MB010B|FlyLightSplitSlideCode:20120403_19_B2|jrc_slide_code_api:20120403_19_B2|neuronbridge:MB010B		expression pattern fragment
