label	is_a	part_of	xref	filename	expresses	comment
104198-F-000000	neuron	female organism|adult brain	FlyCircuit:104198-F-000000	104198-F-000000	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000001	neuron	female organism|adult brain	FlyCircuit:104198-F-000001	104198-F-000001	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000002	neuron	female organism|adult brain	FlyCircuit:104198-F-000002	104198-F-000002	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000003	neuron	female organism|adult brain	FlyCircuit:104198-F-000003	104198-F-000003	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000004	neuron	female organism|adult brain	FlyCircuit:104198-F-000004	104198-F-000004	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000005	neuron	female organism|adult brain	FlyCircuit:104198-F-000005	104198-F-000005	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000006	neuron	female organism|adult brain	FlyCircuit:104198-F-000006	104198-F-000006	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000007	neuron	female organism|adult brain	FlyCircuit:104198-F-000007	104198-F-000007	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000008	neuron	female organism|adult brain	FlyCircuit:104198-F-000008	104198-F-000008	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000009	neuron	female organism|adult brain	FlyCircuit:104198-F-000009	104198-F-000009	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000010	neuron	female organism|adult brain	FlyCircuit:104198-F-000010	104198-F-000010	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000012	neuron	female organism|adult brain	FlyCircuit:104198-F-000012	104198-F-000012	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000013	neuron	female organism|adult brain	FlyCircuit:104198-F-000013	104198-F-000013	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000014	neuron	female organism|adult brain	FlyCircuit:104198-F-000014	104198-F-000014	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-000015	neuron	female organism|adult brain	FlyCircuit:104198-F-000015	104198-F-000015	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100000	neuron	female organism|adult brain	FlyCircuit:104198-F-100000	104198-F-100000	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100001	neuron	female organism|adult brain	FlyCircuit:104198-F-100001	104198-F-100001	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100002	neuron	female organism|adult brain	FlyCircuit:104198-F-100002	104198-F-100002	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100003	neuron	female organism|adult brain	FlyCircuit:104198-F-100003	104198-F-100003	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100004	neuron	female organism|adult brain	FlyCircuit:104198-F-100004	104198-F-100004	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100005	neuron	female organism|adult brain	FlyCircuit:104198-F-100005	104198-F-100005	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100006	neuron	female organism|adult brain	FlyCircuit:104198-F-100006	104198-F-100006	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100007	neuron	female organism|adult brain	FlyCircuit:104198-F-100007	104198-F-100007	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100008	neuron	female organism|adult brain	FlyCircuit:104198-F-100008	104198-F-100008	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100009	neuron	female organism|adult brain	FlyCircuit:104198-F-100009	104198-F-100009	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100010	neuron	female organism|adult brain	FlyCircuit:104198-F-100010	104198-F-100010	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100011	neuron	female organism|adult brain	FlyCircuit:104198-F-100011	104198-F-100011	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100012	neuron	female organism|adult brain	FlyCircuit:104198-F-100012	104198-F-100012	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100013	neuron	female organism|adult brain	FlyCircuit:104198-F-100013	104198-F-100013	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
104198-F-100014	neuron	female organism|adult brain	FlyCircuit:104198-F-100014	104198-F-100014	P{GawB}Sxl[NP2426]	OutAge: Adult 5~15 days
