filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-1977054412060753927	JRC_R14E06-GAL4_MCFO_Brain_20130520_1_A1_20x	female organism|adult brain|P{GMR14E06-GAL4} expression pattern	JRC2018Unisex_c	R14E06-GAL4|JRC_R14E06-GAL4|GMR_14E06-GAL4	FlyLightGen1MCFOSlideCode:20130520_1_A1|jrc_slide_code_api:20130520_1_A1|neuronbridge:R14E06	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130520_1_A1', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1977054416548659207	JRC_R14E06-GAL4_MCFO_Brain_20130520_1_A2_20x	female organism|adult brain|P{GMR14E06-GAL4} expression pattern	JRC2018Unisex_c	R14E06-GAL4|JRC_R14E06-GAL4|GMR_14E06-GAL4	FlyLightGen1MCFOSlideCode:20130520_1_A2|jrc_slide_code_api:20130520_1_A2|neuronbridge:R14E06	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130520_1_A2', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1977054417425268743	JRC_R14E06-GAL4_MCFO_Brain_20130520_1_A3_20x	female organism|adult brain|P{GMR14E06-GAL4} expression pattern	JRC2018Unisex_c	R14E06-GAL4|JRC_R14E06-GAL4|GMR_14E06-GAL4	FlyLightGen1MCFOSlideCode:20130520_1_A3|jrc_slide_code_api:20130520_1_A3|neuronbridge:R14E06	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130520_1_A3', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1977054418188632071	JRC_R14E06-GAL4_MCFO_Brain_20130520_1_A4_20x	female organism|adult brain|P{GMR14E06-GAL4} expression pattern	JRC2018Unisex_c	R14E06-GAL4|JRC_R14E06-GAL4|GMR_14E06-GAL4	FlyLightGen1MCFOSlideCode:20130520_1_A4|jrc_slide_code_api:20130520_1_A4|neuronbridge:R14E06	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130520_1_A4', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1977054419023298567	JRC_R14E06-GAL4_MCFO_Brain_20130520_1_A5_20x	female organism|adult brain|P{GMR14E06-GAL4} expression pattern	JRC2018Unisex_c	R14E06-GAL4|JRC_R14E06-GAL4|GMR_14E06-GAL4	FlyLightGen1MCFOSlideCode:20130520_1_A5|jrc_slide_code_api:20130520_1_A5|neuronbridge:R14E06	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130520_1_A5', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1977054419694387207	JRC_R14E06-GAL4_MCFO_Brain_20130520_1_A6_20x	female organism|adult brain|P{GMR14E06-GAL4} expression pattern	JRC2018Unisex_c	R14E06-GAL4|JRC_R14E06-GAL4|GMR_14E06-GAL4	FlyLightGen1MCFOSlideCode:20130520_1_A6|jrc_slide_code_api:20130520_1_A6|neuronbridge:R14E06	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130520_1_A6', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1977054420235452423	JRC_R14E06-GAL4_MCFO_Brain_20130520_1_B1_20x	female organism|adult brain|P{GMR14E06-GAL4} expression pattern	JRC2018Unisex_c	R14E06-GAL4|JRC_R14E06-GAL4|GMR_14E06-GAL4	FlyLightGen1MCFOSlideCode:20130520_1_B1|jrc_slide_code_api:20130520_1_B1|neuronbridge:R14E06	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130520_1_B1', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1977054421896396807	JRC_R17H12-GAL4_MCFO_Brain_20130520_1_B3_20x	female organism|adult brain|P{GMR17H12-GAL4} expression pattern	JRC2018Unisex_c	R17H12-GAL4|JRC_R17H12-GAL4|GMR_17H12-GAL4	FlyLightGen1MCFOSlideCode:20130520_1_B3|jrc_slide_code_api:20130520_1_B3|neuronbridge:R17H12	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130520_1_B3', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1977054423205019655	JRC_R17H12-GAL4_MCFO_Brain_20130520_1_B5_20x	female organism|adult brain|P{GMR17H12-GAL4} expression pattern	JRC2018Unisex_c	R17H12-GAL4|JRC_R17H12-GAL4|GMR_17H12-GAL4	FlyLightGen1MCFOSlideCode:20130520_1_B5|jrc_slide_code_api:20130520_1_B5|neuronbridge:R17H12	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130520_1_B5', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1977054425398640647	JRC_R18A05-GAL4_MCFO_Brain_20130520_1_D1_20x	female organism|adult brain|P{GMR18A05-GAL4} expression pattern	JRC2018Unisex_c	R18A05-GAL4|JRC_R18A05-GAL4|GMR_18A05-GAL4	FlyLightGen1MCFOSlideCode:20130520_1_D1|jrc_slide_code_api:20130520_1_D1|neuronbridge:R18A05	tile(s): 'brain', effector genotype: 'w, R57C10- Flp2::PEST in su(Hw)attP8;; pJFRC201- 10XUAS- FRT>STOP > FRT-myr::smGFPHA in VK00005, pJFRC240-10XUAS-FRT>STOP > FRTmyr::smGFP- V5-THS-10XUAS-FRT>STOP > FRTmyr::smGFP- FLAG in su(Hw)attP1/TM2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130520_1_D1', age: 'Day 1-5'	expression pattern fragment
