filename	label	is_a	part_of
3095992	JO-B-13 (type-2)	neuron	female organism|adult brain
3109296	JO-B-31 (type-3)	neuron	female organism|adult brain
3123085	JO-B-30 (type-3)	neuron	female organism|adult brain
3129714	JO-B-33 (type-4)	neuron	female organism|adult brain
3129720	JO-B-34 (type-4)	neuron	female organism|adult brain
3129725	JO-B-35 (type-4)	neuron	female organism|adult brain
3149051	JO-B-4 (type-1)	neuron	female organism|adult brain
3164346	JO-B-36 (type-4)	neuron	female organism|adult brain
3169611	JO-B-32 (type-3)	neuron	female organism|adult brain
3170487	JO-B-37 (type-4)	neuron	female organism|adult brain
3171269	JO-B-38 (type-4)	neuron	female organism|adult brain
3172961	JO-B-28 (type-3)	neuron	female organism|adult brain
3178473	JO-B-39 (type-4)	neuron	female organism|adult brain
3186832	JO-B-40 (type-4)	neuron	female organism|adult brain
3187712	JO-B-6 (type-1)	neuron	female organism|adult brain
3188032	JO-B-41 (type-4)	neuron	female organism|adult brain
3188524	JO-A-15 (type-2)	neuron	female organism|adult brain
3216944	JO-A-16 (type-2)	neuron	female organism|adult brain
3224320	JO-A-17 (type-2)	neuron	female organism|adult brain
3252871	JO-A-18 (type-2)	neuron	female organism|adult brain
3265380	JO-A-19 (type-2)	neuron	female organism|adult brain
3278280	AMMC-B1-1	neuron	female organism|adult brain
3351842	JO-A-20 (type-2)	neuron	female organism|adult brain
3353939	JO-A-8 (type-1)	neuron	female organism|adult brain
3354422	JO-A-21 (type-2)	neuron	female organism|adult brain
3379262	JO-A-6 (type-1)	neuron	female organism|adult brain
3387407	JO-B-25 (type-3)	neuron	female organism|adult brain
3402380	JO-B-23 (type-2)	neuron	female organism|adult brain
3403100	JO-B-14 (type-2)	neuron	female organism|adult brain
3410761	JO-B-15 (type-2)	neuron	female organism|adult brain
3410772	JO-A-22 (type-2)	neuron	female organism|adult brain
3423628	JO-A-23 (type-2)	neuron	female organism|adult brain
3425912	JO-A-24 (type-2)	neuron	female organism|adult brain
3428621	JO-A-25 (type-2)	neuron	female organism|adult brain
3439547	JO-A-44 (type-3)	neuron	female organism|adult brain
3441502	JO-A-26 (type-2)	neuron	female organism|adult brain
