filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
20x-Brain-2468610158876426338	JRC_SS46542_Brain_20171103_20_D3_20x	female organism|adult brain|P{VT040347-GAL4.DBD} ∩ P{VT040556-p65.AD} expression pattern	JRC2018Unisex_c	SS46542|JRC_SS46542	FlyLightRaw:SS46542|FlyLightRawSlideCode:20171103_20_D3|jrc_slide_code_api:20171103_20_D3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20171103_20_D3', age: 'Adult'	expression pattern fragment
20x-Brain-2468610159027421282	JRC_SS46542_Brain_20171103_20_D5_20x	female organism|adult brain|P{VT040347-GAL4.DBD} ∩ P{VT040556-p65.AD} expression pattern	JRC2018Unisex_c	SS46542|JRC_SS46542	FlyLightRaw:SS46542|FlyLightRawSlideCode:20171103_20_D5|jrc_slide_code_api:20171103_20_D5	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20171103_20_D5', age: 'Adult'	expression pattern fragment
20x-Brain-2374086507179802722	JRC_SS43275_Brain_20170203_26_A1_20x	male organism|adult brain|P{VT028160-GAL4.DBD} ∩ P{VT026873-p65.AD} expression pattern	JRC2018Unisex_c	SS43275|JRC_SS43275	FlyLightSplit:SS43275|FlyLightSplitSlideCode:20170203_26_A1|jrc_slide_code_api:20170203_26_A1|neuronbridge:SS43275	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170203_26_A1', age: 'Adult'	expression pattern fragment
20x-Brain-2374086507406295138	JRC_SS43275_Brain_20170203_26_A2_20x	male organism|adult brain|P{VT028160-GAL4.DBD} ∩ P{VT026873-p65.AD} expression pattern	JRC2018Unisex_c	SS43275|JRC_SS43275	FlyLightRaw:SS43275|FlyLightRawSlideCode:20170203_26_A2|jrc_slide_code_api:20170203_26_A2	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170203_26_A2', age: 'Adult'	expression pattern fragment
20x-Brain-2374081710380810338	JRC_SS43275_Brain_20170203_26_C4_20x	male organism|adult brain|P{VT028160-GAL4.DBD} ∩ P{VT026873-p65.AD} expression pattern	JRC2018Unisex_c	SS43275|JRC_SS43275	FlyLightSplit:SS43275|FlyLightSplitSlideCode:20170203_26_C4|jrc_slide_code_api:20170203_26_C4|neuronbridge:SS43275	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170203_26_C4', age: 'Adult'	expression pattern fragment
20x-Brain-2374081527634985058	JRC_SS43275_Brain_20170203_26_D3_20x	male organism|adult brain|P{VT028160-GAL4.DBD} ∩ P{VT026873-p65.AD} expression pattern	JRC2018Unisex_c	SS43275|JRC_SS43275	FlyLightSplit:SS43275|FlyLightSplitSlideCode:20170203_26_D3|jrc_slide_code_api:20170203_26_D3|neuronbridge:SS43275	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170203_26_D3', age: 'Adult'	expression pattern fragment
20x-Brain-2374086507628593250	JRC_SS43275_Brain_20170203_26_A3_20x	male organism|adult brain|P{VT028160-GAL4.DBD} ∩ P{VT026873-p65.AD} expression pattern	JRC2018Unisex_c	SS43275|JRC_SS43275	FlyLightRaw:SS43275|FlyLightRawSlideCode:20170203_26_A3|jrc_slide_code_api:20170203_26_A3	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170203_26_A3', age: 'Adult'	expression pattern fragment
20x-Brain-2374081527865671778	JRC_SS43275_Brain_20170203_26_D4_20x	male organism|adult brain|P{VT028160-GAL4.DBD} ∩ P{VT026873-p65.AD} expression pattern	JRC2018Unisex_c	SS43275|JRC_SS43275	FlyLightSplit:SS43275|FlyLightSplitSlideCode:20170203_26_D4|jrc_slide_code_api:20170203_26_D4|neuronbridge:SS43275	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170203_26_D4', age: 'Adult'	expression pattern fragment
20x-Brain-2374081528087969890	JRC_SS43275_Brain_20170203_26_D5_20x	male organism|adult brain|P{VT028160-GAL4.DBD} ∩ P{VT026873-p65.AD} expression pattern	JRC2018Unisex_c	SS43275|JRC_SS43275	FlyLightSplit:SS43275|FlyLightSplitSlideCode:20170203_26_D5|jrc_slide_code_api:20170203_26_D5|neuronbridge:SS43275	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170203_26_D5', age: 'Adult'	expression pattern fragment
20x-Brain-2374081711253225570	JRC_SS43275_Brain_20170203_26_D2_20x	male organism|adult brain|P{VT028160-GAL4.DBD} ∩ P{VT026873-p65.AD} expression pattern	JRC2018Unisex_c	SS43275|JRC_SS43275	FlyLightSplit:SS43275|FlyLightSplitSlideCode:20170203_26_D2|jrc_slide_code_api:20170203_26_D2|neuronbridge:SS43275	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170203_26_D2', age: 'Adult'	expression pattern fragment
