filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-2397568395206721634	JRC_SS36551_Brain_20170421_24_C1_63x	female organism|adult brain|P{R11A07-GAL4.DBD} ∩ P{VT043699-p65.AD} expression pattern	JRC2018Unisex_c	SS36551|JRC_SS36551	FlyLightRaw:SS36551|FlyLightRawSlideCode:20170421_24_C1|jrc_slide_code_api:20170421_24_C1	tile(s): 'left_dorsal, left_ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170421_24_C1', age: 'Adult'	expression pattern fragment
63x-Brain-2397568396003639394	JRC_SS36551_Brain_20170421_24_C6_63x	female organism|adult brain|P{R11A07-GAL4.DBD} ∩ P{VT043699-p65.AD} expression pattern	JRC2018Unisex_c	SS36551|JRC_SS36551	FlyLightRaw:SS36551|FlyLightRawSlideCode:20170421_24_C6|jrc_slide_code_api:20170421_24_C6	tile(s): 'right_dorsal, right_ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170421_24_C6', age: 'Adult'	expression pattern fragment
63x-Brain-2397568396326600802	JRC_SS36551_Brain_20170421_24_C8_63x	female organism|adult brain|P{R11A07-GAL4.DBD} ∩ P{VT043699-p65.AD} expression pattern	JRC2018Unisex_c	SS36551|JRC_SS36551	FlyLightRaw:SS36551|FlyLightRawSlideCode:20170421_24_C8|jrc_slide_code_api:20170421_24_C8	tile(s): 'right_dorsal, right_ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170421_24_C8', age: 'Adult'	expression pattern fragment
63x-Brain-2437383327280267362	JRC_SS36564_Brain_20170804_24_C1_63x	female organism|adult brain|P{VT043699-GAL4.DBD} ∩ P{VT064565-p65.AD} expression pattern	JRC2018Unisex_c	SS36564|JRC_SS36564	FlyLightRaw:SS36564|FlyLightRawSlideCode:20170804_24_C1|jrc_slide_code_api:20170804_24_C1	tile(s): 'right_dorsal, right_ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170804_24_C1', age: 'Adult'	expression pattern fragment
63x-Brain-2437383327397707874	JRC_SS36564_Brain_20170804_24_C2_63x	female organism|adult brain|P{VT043699-GAL4.DBD} ∩ P{VT064565-p65.AD} expression pattern	JRC2018Unisex_c	SS36564|JRC_SS36564	FlyLightRaw:SS36564|FlyLightRawSlideCode:20170804_24_C2|jrc_slide_code_api:20170804_24_C2	tile(s): 'left_dorsal, left_ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170804_24_C2', age: 'Adult'	expression pattern fragment
63x-Brain-2437383327951356002	JRC_SS36564_Brain_20170804_24_C7_63x	female organism|adult brain|P{VT043699-GAL4.DBD} ∩ P{VT064565-p65.AD} expression pattern	JRC2018Unisex_c	SS36564|JRC_SS36564	FlyLightRaw:SS36564|FlyLightRawSlideCode:20170804_24_C7|jrc_slide_code_api:20170804_24_C7	tile(s): 'right_dorsal, right_ventral (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20170804_24_C7', age: 'Adult'	expression pattern fragment
63x-Brain-2696199512841519202	JRC_SS56964_Brain_20190719_21_J1_63x	female organism|adult brain|P{R72C11-GAL4.DBD} ∩ P{R11A07-p65.AD} expression pattern	JRC2018Unisex_c	SS56964|JRC_SS56964	FlyLightRaw:SS56964|FlyLightRawSlideCode:20190719_21_J1|jrc_slide_code_api:20190719_21_J1	tile(s): 'left_dorsal, right_dorsal, ventral (central brain only, the optic lobes are not included in this image)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil DIC', mounting protocol: 'DPX PBS Mounting', slide_code: '20190719_21_J1', age: 'Adult'	expression pattern fragment
63x-Brain-2729490724201431138	JRC_SS39313_Brain_20191025_22_A7_63x	female organism|adult brain|P{VT002063-GAL4.DBD} ∩ P{R60G08-p65.AD} expression pattern	JRC2018Unisex_c	SS39313|JRC_SS39313	FlyLightRaw:SS39313|FlyLightRawSlideCode:20191025_22_A7|jrc_slide_code_api:20191025_22_A7	tile(s): 'right_dorsal (partial brain image, check tile names for imaged regions)', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 63x/1.40 Oil', mounting protocol: 'DPX PBS Mounting', slide_code: '20191025_22_A7', age: 'Adult'	expression pattern fragment
63x-Brain-2754120742382600290	JRC_SS36551_Brain_20191220_19_A7_63x	female organism|adult brain|P{R11A07-GAL4.DBD} ∩ P{VT043699-p65.AD} expression pattern	JRC2018Unisex_c	SS36551|JRC_SS36551	FlyLightRaw:SS36551|FlyLightRawSlideCode:20191220_19_A7|jrc_slide_code_api:20191220_19_A7	tile(s): 'left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-FlpL in su(Hw)attP8;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK0005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191220_19_A7', age: 'Adult'	expression pattern fragment
63x-Brain-2754120742923665506	JRC_SS36551_Brain_20191220_19_A9_63x	female organism|adult brain|P{R11A07-GAL4.DBD} ∩ P{VT043699-p65.AD} expression pattern	JRC2018Unisex_c	SS36551|JRC_SS36551	FlyLightRaw:SS36551|FlyLightRawSlideCode:20191220_19_A9|jrc_slide_code_api:20191220_19_A9	tile(s): 'dorsal_medial, left_central, right_central (partial brain image, check tile names for imaged regions)', effector genotype: 'R57C10-FlpL in su(Hw)attP8;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK0005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2', objective: 'Plan-Apochromat 63x/1.40 Oil M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20191220_19_A9', age: 'Adult'	expression pattern fragment
