filename	label	part_of	Template	synonyms	dbxrefs	comment	is_a
63x-Brain-2219561364932788322	JRC_SS04773_Brain_20151208_32_B1_63x	female organism|adult brain|P{VT000355-GAL4.DBD} ∩ P{R28G07-p65.AD} expression pattern	JRC2018Unisex_c	SS04773|JRC_SS04773	FlyLightSplit:SS04773|FlyLightSplitSlideCode:20151208_32_B1|jrc_slide_code_api:20151208_32_B1|neuronbridge:SS04773	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20151208_32_B1', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2219561395429572706	JRC_SS04773_Brain_20151208_32_B4_63x	female organism|adult brain|P{VT000355-GAL4.DBD} ∩ P{R28G07-p65.AD} expression pattern	JRC2018Unisex_c	SS04773|JRC_SS04773	FlyLightSplit:SS04773|FlyLightSplitSlideCode:20151208_32_B4|jrc_slide_code_api:20151208_32_B4|neuronbridge:SS04773	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20151208_32_B4', age: 'Day 1-5'	expression pattern fragment
63x-Brain-2219561419194499170	JRC_SS04773_Brain_20151208_32_B5_63x	female organism|adult brain|P{VT000355-GAL4.DBD} ∩ P{R28G07-p65.AD} expression pattern	JRC2018Unisex_c	SS04773|JRC_SS04773	FlyLightSplit:SS04773|FlyLightSplitSlideCode:20151208_32_B5|jrc_slide_code_api:20151208_32_B5|neuronbridge:SS04773	tile(s): 'ventral, left_dorsal, right_dorsal (central brain only, the optic lobes are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20151208_32_B5', age: 'Day 1-5'	expression pattern fragment
63x-Brain-1943164173756137479	JRC_SS00098_Brain_20130419_31_B4_63x	female organism|adult brain|P{R93G12-GAL4.DBD} ∩ P{R19G02-p65.AD} expression pattern	JRC2018Unisex_c	SS00098|GMR_SS00098|JRC_SS00098	FlyLightSplit:SS00098|FlyLightSplitSlideCode:20130419_31_B4|jrc_slide_code_api:20130419_31_B4|neuronbridge:SS00098	tile(s): 'left_dorsal, right_dorsal (central brain dorsal region only, the optic lobes and ventral brain are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130419_31_B4', age: 'Day 1-5'	expression pattern fragment
63x-Brain-1943164183851827207	JRC_SS00078_Brain_20130419_31_F5_63x	female organism|adult brain|P{R15E01-GAL4.DBD} ∩ P{R16D01-p65.AD} expression pattern	JRC2018Unisex_c	SS00078|GMR_SS00078|JRC_SS00078	FlyLightSplit:SS00078|FlyLightSplitSlideCode:20130419_31_F5|jrc_slide_code_api:20130419_31_F5|neuronbridge:SS00078	tile(s): 'left_dorsal, right_dorsal (central brain dorsal region only, the optic lobes and ventral brain are not included in this image)', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130419_31_F5', age: 'Day 1-5'	expression pattern fragment
20x-Brain-1943132250807730183	JRC_SS00043_Brain_20130412_19_F1_20x	female organism|adult brain|P{R30E10-GAL4.DBD} ∩ P{R65B12-p65.AD} expression pattern	JRC2018Unisex_c	SS00043|GMR_SS00043|JRC_SS00043	FlyLightSplit:SS00043|FlyLightSplitSlideCode:20130412_19_F1|jrc_slide_code_api:20130412_19_F1|neuronbridge:SS00043	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130412_19_F1', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943132251684339719	JRC_SS00043_Brain_20130412_19_F2_20x	female organism|adult brain|P{R30E10-GAL4.DBD} ∩ P{R65B12-p65.AD} expression pattern	JRC2018Unisex_c	SS00043|GMR_SS00043|JRC_SS00043	FlyLightSplit:SS00043|FlyLightSplitSlideCode:20130412_19_F2|jrc_slide_code_api:20130412_19_F2|neuronbridge:SS00043	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130412_19_F2', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943132252602892295	JRC_SS00043_Brain_20130412_19_F3_20x	female organism|adult brain|P{R30E10-GAL4.DBD} ∩ P{R65B12-p65.AD} expression pattern	JRC2018Unisex_c	SS00043|GMR_SS00043|JRC_SS00043	FlyLightSplit:SS00043|FlyLightSplitSlideCode:20130412_19_F3|jrc_slide_code_api:20130412_19_F3|neuronbridge:SS00043	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130412_19_F3', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943132253617913863	JRC_SS00043_Brain_20130412_19_F4_20x	female organism|adult brain|P{R30E10-GAL4.DBD} ∩ P{R65B12-p65.AD} expression pattern	JRC2018Unisex_c	SS00043|GMR_SS00043|JRC_SS00043	FlyLightSplit:SS00043|FlyLightSplitSlideCode:20130412_19_F4|jrc_slide_code_api:20130412_19_F4|neuronbridge:SS00043	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130412_19_F4', age: 'Day 6-10'	expression pattern fragment
20x-Brain-1943132254565826567	JRC_SS00043_Brain_20130412_19_F5_20x	female organism|adult brain|P{R30E10-GAL4.DBD} ∩ P{R65B12-p65.AD} expression pattern	JRC2018Unisex_c	SS00043|GMR_SS00043|JRC_SS00043	FlyLightSplit:SS00043|FlyLightSplitSlideCode:20130412_19_F5|jrc_slide_code_api:20130412_19_F5|neuronbridge:SS00043	tile(s): 'brain', effector genotype: 'pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX Ethanol Mounting', slide_code: '20130412_19_F5', age: 'Day 6-10'	expression pattern fragment
