filename	label	is_a	part_of	dbxrefs	comment
1324365879	5-HTPLP01_R - 1324365879	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1324365879	tracing status-Roughly traced, cropped-False
297908801	5-HTPMPD01(PDM22)_L - 297908801	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:297908801	tracing status-Roughly traced, cropped-False
297230760	5-HTPMPD01_R - 297230760	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:297230760	tracing status-Roughly traced, cropped-False
541697718	5-HTPMPV01(PVM16)_L - 541697718	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:541697718	tracing status-Roughly traced, cropped-False
5813078603	5-HTPMPV01_R - 5813078603	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813078603	tracing status-Roughly traced, cropped-False
669325882	5-HTPMPV03_R - 669325882	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:669325882	tracing status-Roughly traced, cropped-False
791527493	5-HTPMPV03_L - 791527493	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:791527493	tracing status-Roughly traced, cropped-False
1734696656	AL-AST1_L - 1734696656	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1734696656	tracing status-Roughly traced, cropped-False
1734705201	AL-AST1_R - 1734705201	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1734705201	tracing status-Roughly traced, cropped-False
608922563	AL-MBDL1_R - 608922563	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:608922563	tracing status-Traced, cropped-False
1670969318	ALBN1_R - 1670969318	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1670969318	tracing status-Roughly traced, cropped-False
1731354634	ALBN1(ADL28)_L - 1731354634	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1731354634	tracing status-Leaves, cropped-True
693927941	ALIN1_R - 693927941	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:693927941	tracing status-Roughly traced, cropped-False
704699661	ALIN1_R - 704699661	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:704699661	tracing status-Roughly traced, cropped-False
1826121523	ALIN2_R - 1826121523	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1826121523	tracing status-Roughly traced, cropped-False
1036504644	ALIN3_R - 1036504644	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1036504644	tracing status-Roughly traced, cropped-False
735091236	ALIN3_R - 735091236	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:735091236	tracing status-Roughly traced, cropped-False
1497973422	AMMC-A1_R - 1497973422	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1497973422	tracing status-Roughly traced, cropped-False
5813070019	AMMC-A1_R - 5813070019	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813070019	tracing status-Roughly traced, cropped-False
861574580	AOTU001_R - 861574580	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861574580	tracing status-Roughly traced, cropped-False
862597411	AOTU001_R - 862597411	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:862597411	tracing status-Roughly traced, cropped-False
892614148	AOTU001_R - 892614148	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:892614148	tracing status-Roughly traced, cropped-False
5813078350	AOTU002_a_R - 5813078350	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813078350	tracing status-Roughly traced, cropped-False
860892243	AOTU002_a_R - 860892243	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:860892243	tracing status-Roughly traced, cropped-False
