filename	label	AD	DBD	part_of
Janelia-1845060921378996322-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_573_282_1898849286628573282_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH2453_Brain_2020__1	PBac{R20A02-p65.AD}	P{R67F03-GAL4.DBD}	female organism|adult brain
Janelia-1845060921378996322-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_039_588_2624118672486039588_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_LH2453_Brain_2020__2	PBac{R20A02-p65.AD}	P{R67F03-GAL4.DBD}	female organism|adult brain
Janelia-1852298186517905506-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_176_930_1901020949965176930_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH2451_Brain_2020__1	P{R54G12-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult brain
Janelia-1852298186517905506-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_770_724_2624117783750770724_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_LH2451_Brain_2020__2	P{R54G12-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult brain
Janelia-1996778063358066786-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_733_858_1996782231103733858_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH2448_Brain_2020__1	P{R10E07-p65.AD}	P{R53C10-GAL4.DBD}	female organism|adult brain
Janelia-2022090243204710498-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_190_690_2022094341870190690_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH2454_Brain_2020__1	P{ple-p65.AD}	P{R42H01-GAL4.DBD}	female organism|adult brain
Janelia-2084467421808164962-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_816_290_2570330027895816290_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH18_Brain_2020__1	P{R84F07-p65.AD}	P{R10G01-GAL4.DBD}	female organism|adult brain
Janelia-2084467454364352610-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_002_914_2570330720820002914_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH374_Brain_2020__1	P{R13E04-p65.AD}	P{R53B06-GAL4.DBD}	female organism|adult brain
Janelia-2092815209646260322-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_478_626_2567889381939478626_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH185_Brain_2020__1	P{R20A03-p65.AD}	P{R30H02-GAL4.DBD}	female organism|adult brain
Janelia-2092815347815022690-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_885_346_2567889350712885346_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH258_Brain_2020__1	P{R21D06-p65.AD}	P{R37F05-GAL4.DBD}	female organism|adult brain
Janelia-2092815379721093218-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_901_154_2567889101369901154_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH259_Brain_2020__1	P{R93F07-p65.AD}	P{R37F05-GAL4.DBD}	female organism|adult brain
Janelia-2092815415481729122-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_227_810_2567888224714227810_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH260_Brain_2020__1	P{R46E07-p65.AD}	P{R38F08-GAL4.DBD}	female organism|adult brain
Janelia-2092815528593719394-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_961_762_2567888993374961762_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH168_Brain_2020__1	P{R46A08-p65.AD}	P{R25B07-GAL4.DBD}	female organism|adult brain
Janelia-2092815568502521954-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_716_642_2567889159972716642_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH85_Brain_2020__1	P{R50H07-p65.AD}	P{R16H04-GAL4.DBD}	female organism|adult brain
Janelia-2094604375107305570-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_790_690_2570331791495790690_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH141_Brain_2020__1	P{R79C09-p65.AD}	P{R22A12-GAL4.DBD}	female organism|adult brain
Janelia-2094604408745623650-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_124_514_2570333697832124514_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH272_Brain_2020__1	P{R14E05-p65.AD}	P{R41H09-GAL4.DBD}	female organism|adult brain
Janelia-2094604442115506274-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_176_546_2570333386019176546_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH263_Brain_2020__1	P{R14B11-p65.AD}	P{R38F08-GAL4.DBD}	female organism|adult brain
Janelia-2094604460230705250-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_830_497_2570334045904830497_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH166_Brain_2020__1	P{R31D07-p65.AD}	P{R25B07-GAL4.DBD}	female organism|adult brain
Janelia-2094604469693055074-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_996_321_2570334045929996321_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH180_Brain_2020__1	P{R24C08-p65.AD}	P{R30E03-GAL4.DBD}	female organism|adult brain
Janelia-2094604501284552802-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_732_513_2570332960435732513_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH279_Brain_2020__1	P{R70G05-p65.AD}	P{R41H09-GAL4.DBD}	female organism|adult brain
Janelia-2113432790291710050-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_757_602_2113565882532757602_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH163_Brain_2020__1	P{R16C09-p65.AD}	P{R25B07-GAL4.DBD}	female organism|adult brain
Janelia-2113432792044929122-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_262_818_2113565885695262818_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH173_Brain_2020__1	P{R16C09-p65.AD}	P{R28A10-GAL4.DBD}	female organism|adult brain
Janelia-2113432795803025506-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_174_498_2113567988803174498_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH206_Brain_2020__1	P{R70G02-p65.AD}	P{R31D07-GAL4.DBD}	female organism|adult brain
Janelia-2113432814069219426-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_432_930_2113588269869432930_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH528_Brain_2020__1	P{R65H10-p65.AD}	P{R81E08-GAL4.DBD}	female organism|adult brain
Janelia-2128206921692348514-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_390_690_2128212408865390690_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH1668_Brain_2020__1	P{R65H10-p65.AD}	P{R85A07-GAL4.DBD}	female organism|adult brain
Janelia-2128206927421767778-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_206_690_2128212661572206690_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH1828_Brain_2020__1	P{R64B08-p65.AD}	P{R95F09-GAL4.DBD}	female organism|adult brain
Janelia-2128206930001264738-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_685_026_2128212173602685026_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH578_Brain_2020__1	P{R70G02-p65.AD}	P{R94F11-GAL4.DBD}	female organism|adult brain
Janelia-2128206934711468130-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_268_322_2128212679641268322_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH1531_Brain_2020__1	P{R85A07-p65.AD}	P{R66A08-GAL4.DBD}	female organism|adult brain
Janelia-2128206937186107490-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_772_578_2128212007562772578_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH1543_Brain_2020__1	P{R76E07-p65.AD}	P{R66B12-GAL4.DBD}	female organism|adult brain
Janelia-2128206942819057762-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_959_330_2128212388564959330_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH1518_Brain_2020__1	P{R85A07-p65.AD}	P{R65H10-GAL4.DBD}	female organism|adult brain
Janelia-2128206943913771106-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_993_250_2128211911378993250_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH509_Brain_2020__1	P{R13C04-p65.AD}	P{R79C09-GAL4.DBD}	female organism|adult brain
Janelia-2131148750008090722-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_561_762_2570334115320561762_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH1112_Brain_2020__1	P{R37E08-p65.AD}	P{R41H07-GAL4.DBD}	female organism|adult brain
Janelia-2131148807868514402-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_237_346_2570333989789237346_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_LH1337_Brain_2020__1	P{R41H07-p65.AD}	P{R53C10-GAL4.DBD}	female organism|adult brain
