filename	label	AD	DBD	part_of
Janelia-2084467421808164962-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_816_290_2570330027895816290_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2084467421808164962-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_816_290_2570330027895816290_align_AlignedFlyBrain_8bitc_J18U_SG	P{R84F07-p65.AD}	P{R10G01-GAL4.DBD}	female organism|adult brain
Janelia-2084467454364352610-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_002_914_2570330720820002914_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2084467454364352610-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_002_914_2570330720820002914_align_AlignedFlyBrain_8bitc_J18U_SG	P{R13E04-p65.AD}	P{R53B06-GAL4.DBD}	female organism|adult brain
Janelia-2092815209646260322-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_478_626_2567889381939478626_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2092815209646260322-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_478_626_2567889381939478626_align_AlignedFlyBrain_8bitc_J18U_SG	P{R20A03-p65.AD}	P{R30H02-GAL4.DBD}	female organism|adult brain
Janelia-2092815347815022690-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_885_346_2567889350712885346_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2092815347815022690-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_885_346_2567889350712885346_align_AlignedFlyBrain_8bitc_J18U_SG	P{R21D06-p65.AD}	P{R37F05-GAL4.DBD}	female organism|adult brain
Janelia-2092815379721093218-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_901_154_2567889101369901154_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2092815379721093218-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_901_154_2567889101369901154_align_AlignedFlyBrain_8bitc_J18U_SG	P{R93F07-p65.AD}	P{R37F05-GAL4.DBD}	female organism|adult brain
Janelia-2092815415481729122-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_227_810_2567888224714227810_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2092815415481729122-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_227_810_2567888224714227810_align_AlignedFlyBrain_8bitc_J18U_SG	P{R46E07-p65.AD}	P{R38F08-GAL4.DBD}	female organism|adult brain
Janelia-2092815528593719394-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_961_762_2567888993374961762_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2092815528593719394-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_961_762_2567888993374961762_align_AlignedFlyBrain_8bitc_J18U_SG	P{R46A08-p65.AD}	P{R25B07-GAL4.DBD}	female organism|adult brain
Janelia-2092815568502521954-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_716_642_2567889159972716642_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2092815568502521954-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_716_642_2567889159972716642_align_AlignedFlyBrain_8bitc_J18U_SG	P{R50H07-p65.AD}	P{R16H04-GAL4.DBD}	female organism|adult brain
Janelia-2094604375107305570-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_790_690_2570331791495790690_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2094604375107305570-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_790_690_2570331791495790690_align_AlignedFlyBrain_8bitc_J18U_SG	P{R79C09-p65.AD}	P{R22A12-GAL4.DBD}	female organism|adult brain
Janelia-2094604408745623650-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_124_514_2570333697832124514_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2094604408745623650-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_124_514_2570333697832124514_align_AlignedFlyBrain_8bitc_J18U_SG	P{R14E05-p65.AD}	P{R41H09-GAL4.DBD}	female organism|adult brain
