filename	label	part_of	Template	synonyms	dbxrefs	AD	DBD	comment
MB548B_70G05_32D11_A	JRC_MB548B_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	MB548B|JRC_MB548B	FlyLightLarvalCNS:MB548B	P{R70G05-p65.AD}	P{R32D11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
MB548B_70G05_32D11_B	JRC_MB548B_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	MB548B|JRC_MB548B	FlyLightLarvalCNS:MB548B	P{R70G05-p65.AD}	P{R32D11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS00854_120713A	JRC_SS00854_L3CNS_120713A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS00854|JRC_SS00854	FlyLightLarvalCNS:SS00854	P{R34C04-p65.AD}	P{R20F01-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS00854_120713B	JRC_SS00854_L3CNS_120713B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS00854|JRC_SS00854	FlyLightLarvalCNS:SS00854	P{R34C04-p65.AD}	P{R20F01-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS00855_120713A	JRC_SS00855_L3CNS_120713A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS00855|JRC_SS00855	FlyLightLarvalCNS:SS00855	P{R20F01-p65.AD}	P{R34C04-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS00855_120713B	JRC_SS00855_L3CNS_120713B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS00855|JRC_SS00855	FlyLightLarvalCNS:SS00855	P{R20F01-p65.AD}	P{R34C04-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS00855_120713C	JRC_SS00855_L3CNS_120713C	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS00855|JRC_SS00855	FlyLightLarvalCNS:SS00855	P{R20F01-p65.AD}	P{R34C04-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS01584_123F06_32B03_A	JRC_SS01584_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS01584|JRC_SS01584	FlyLightLarvalCNS:SS01584	P{VT034258-p65.AD}	P{R32B03-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS01584_123F06_32B03_B	JRC_SS01584_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS01584|JRC_SS01584	FlyLightLarvalCNS:SS01584	P{VT034258-p65.AD}	P{R32B03-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS18846_43D09_65E06_A	JRC_SS18846_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS18846|JRC_SS18846	FlyLightLarvalCNS:SS18846	P{R43D09-p65.AD}	P{R65E06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS18846_43D09_65E06_B	JRC_SS18846_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS18846|JRC_SS18846	FlyLightLarvalCNS:SS18846	P{R43D09-p65.AD}	P{R65E06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19051_119H03_22A12_A	JRC_SS19051_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19051|JRC_SS19051	FlyLightLarvalCNS:SS19051	P{VT008485-p65.AD}	P{R22A12-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19051_119H03_22A12_B	JRC_SS19051_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19051|JRC_SS19051	FlyLightLarvalCNS:SS19051	P{VT008485-p65.AD}	P{R22A12-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19226_101E12_39E01_A	JRC_SS19226_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19226|JRC_SS19226	FlyLightLarvalCNS:SS19226	P{VT034262-p65.AD}	P{R39E01-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19226_101E12_39E01_B	JRC_SS19226_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19226|JRC_SS19226	FlyLightLarvalCNS:SS19226	P{VT034262-p65.AD}	P{R39E01-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19303_10A11_100G12_A	JRC_SS19303_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19303|JRC_SS19303	FlyLightLarvalCNS:SS19303	P{R10A11-p65.AD}	P{VT016116-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19303_10A11_100G12_B	JRC_SS19303_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19303|JRC_SS19303	FlyLightLarvalCNS:SS19303	P{R10A11-p65.AD}	P{VT016116-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19361_10E05_120E12_A	JRC_SS19361_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19361|JRC_SS19361	FlyLightLarvalCNS:SS19361	P{R10E05-p65.AD}	P{VT026017-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19361_10E05_120E12_B	JRC_SS19361_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19361|JRC_SS19361	FlyLightLarvalCNS:SS19361	P{R10E05-p65.AD}	P{VT026017-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19409_102E05_115E03_A	JRC_SS19409_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19409|JRC_SS19409	FlyLightLarvalCNS:SS19409	P{VT048569-p65.AD}	P{VT026342-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19409_102E05_115E03_B	JRC_SS19409_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19409|JRC_SS19409	FlyLightLarvalCNS:SS19409	P{VT048569-p65.AD}	P{VT026342-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19414_111D06_106H09_A	JRC_SS19414_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19414|JRC_SS19414	FlyLightLarvalCNS:SS19414	P{VT043672-p65.AD}	P{VT016127-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19414_111D06_106H09_B	JRC_SS19414_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19414|JRC_SS19414	FlyLightLarvalCNS:SS19414	P{VT043672-p65.AD}	P{VT016127-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19685_42H01_109A07_A	JRC_SS19685_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19685|JRC_SS19685	FlyLightLarvalCNS:SS19685	P{R42H01-p65.AD}	P{VT057232-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19685_42H01_109A07_B	JRC_SS19685_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19685|JRC_SS19685	FlyLightLarvalCNS:SS19685	P{R42H01-p65.AD}	P{VT057232-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19734_91E03_71F06_A	JRC_SS19734_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19734|JRC_SS19734	FlyLightLarvalCNS:SS19734	P{R91E03-p65.AD}	P{R71F06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS19734_91E03_71F06_B	JRC_SS19734_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS19734|JRC_SS19734	FlyLightLarvalCNS:SS19734	P{R91E03-p65.AD}	P{R71F06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS20492_34C04_94G06_A	JRC_SS20492_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS20492|JRC_SS20492	FlyLightLarvalCNS:SS20492	P{R34C04-p65.AD}	P{R94G06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS20608_108F02_72G06_A	JRC_SS20608_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS20608|JRC_SS20608	FlyLightLarvalCNS:SS20608	P{VT045148-p65.AD}	P{R72G06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS20608_108F02_72G06_B	JRC_SS20608_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS20608|JRC_SS20608	FlyLightLarvalCNS:SS20608	P{VT045148-p65.AD}	P{R72G06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS24018_111C03_25A06_A	JRC_SS24018_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS24018|JRC_SS24018	FlyLightLarvalCNS:SS24018	P{VT040575-p65.AD}	P{R25A06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS24018_111C03_25A06_B	JRC_SS24018_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS24018|JRC_SS24018	FlyLightLarvalCNS:SS24018	P{VT040575-p65.AD}	P{R25A06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS24063_111C06_29F12_A	JRC_SS24063_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS24063|JRC_SS24063	FlyLightLarvalCNS:SS24063	P{VT040842-p65.AD}	P{R29F12-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS24063_111C06_29F12_B	JRC_SS24063_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS24063|JRC_SS24063	FlyLightLarvalCNS:SS24063	P{VT040842-p65.AD}	P{R29F12-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS24728_107F09_83G11_A	JRC_SS24728_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS24728|JRC_SS24728	FlyLightLarvalCNS:SS24728	P{VT026990-p65.AD}	P{R83G11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
