filename	label	AD	DBD	part_of
Janelia-2110272531574292578-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_529_826_2110609463315529826_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02702_Brain_2020__1	P{R67A06-p65.AD}	P{R11F03-GAL4.DBD}	female organism|adult brain
Janelia-2110272532769669218-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_757_986_2110615892302757986_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02703_Brain_2020__1	P{R67A06-p65.AD}	P{R50H07-GAL4.DBD}	female organism|adult brain
Janelia-2110272533612724322-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_614_946_2110635736561614946_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02704_Brain_2020__1	P{R67A06-p65.AD}	P{R93G02-GAL4.DBD}	female organism|adult brain
Janelia-2110272534329950306-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_395_938_2110637741535395938_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02705_Brain_2020__1	P{R50H07-p65.AD}	P{R11F03-GAL4.DBD}	female organism|adult brain
Janelia-2110272535051370594-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_629_538_2110638188333629538_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02706_Brain_2020__1	P{R50H07-p65.AD}	P{R93G02-GAL4.DBD}	female organism|adult brain
Janelia-2110272536448073826-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_081_378_2110647349050081378_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02707_Brain_2020__1	P{R20A02-p65.AD}	P{R11F03-GAL4.DBD}	female organism|adult brain
Janelia-2110272538444562530-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_763_874_2110667604178763874_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02708_Brain_2020__1	P{R20A02-p65.AD}	P{R50H07-GAL4.DBD}	female organism|adult brain
Janelia-2110272539769962594-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_706_082_2110674284769706082_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02709_Brain_2020__1	P{R20A02-p65.AD}	P{R93G02-GAL4.DBD}	female organism|adult brain
Janelia-2110272540218753122-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_545_378_2110673997560545378_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02710_Brain_2020__1	P{R11F03-p65.AD}	P{R93G02-GAL4.DBD}	female organism|adult brain
Janelia-2110272541141500002-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_970_658_2110674285163970658_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02711_Brain_2020__1	P{R11F03-p65.AD}	P{R50H07-GAL4.DBD}	female organism|adult brain
Janelia-2110272542383013986-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_223_394_2110674433575223394_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02712_Brain_2020__1	P{R56H10-p65.AD}	P{R11F03-GAL4.DBD}	female organism|adult brain
Janelia-2110272543301566562-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_928_290_2110678834129928290_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02713_Brain_2020__1	P{R56H10-p65.AD}	P{R50H07-GAL4.DBD}	female organism|adult brain
Janelia-2110272544811516002-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_934_114_2110681877646934114_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02714_Brain_2020__1	P{R56H10-p65.AD}	P{R93G02-GAL4.DBD}	female organism|adult brain
Janelia-2110272545549713506-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_897_250_2110698310862897250_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02763_Brain_2020__1	P{R67B01-p65.AD}	P{R28D04-GAL4.DBD}	female organism|adult brain
Janelia-2110272547055468642-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_452_898_2110702425525452898_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02764_Brain_2020__1	P{R67B01-p65.AD}	P{R72B07-GAL4.DBD}	female organism|adult brain
Janelia-2110272548225679458-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_368_354_2110704829654368354_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02765_Brain_2020__1	P{R20D01-p65.AD}	P{R67B01-GAL4.DBD}	female organism|adult brain
Janelia-2110272549815320674-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_211_682_2110706972134211682_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02766_Brain_2020__1	P{R20D01-p65.AD}	P{R72B07-GAL4.DBD}	female organism|adult brain
Janelia-2110272551430127714-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_058_722_2110713438220058722_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02767_Brain_2020__1	P{R20D01-p65.AD}	P{R28D04-GAL4.DBD}	female organism|adult brain
Janelia-2110272552306737250-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_665_826_2110715302382665826_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02768_Brain_2020__1	P{R28D04-p65.AD}	P{R67B01-GAL4.DBD}	female organism|adult brain
Janelia-2110272553812492386-Brain-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_851_170_2110720425246851170_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS02769_Brain_2020__1	P{R28D04-p65.AD}	P{R72B07-GAL4.DBD}	female organism|adult brain
Janelia-2110272546141110370-VNC-20x_nrs_jacs_jacsData_filestore_robiea_Alignment_076_449_2586150734886076449_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS02763_VNC_2020__1	P{R67B01-p65.AD}	P{R28D04-GAL4.DBD}	female organism|thoracico-abdominal ganglion
