filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1858873103556280418	JRC_MB552B_Brain_20121123_31_G1_20x	P{R71D08-p65.AD}	P{R92B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB552B|GMR_MB552B|JRC_MB552B	FlyLightRaw:MB552B|FlyLightRawSlideCode:20121123_31_G1|jrc_slide_code_api:20121123_31_G1	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20121123_31_G1', age: 'Day 6-10'
20x-Brain-1858873103791161442	JRC_MB552B_Brain_20121123_31_G2_20x	P{R71D08-p65.AD}	P{R92B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB552B|GMR_MB552B|JRC_MB552B	FlyLightRaw:MB552B|FlyLightRawSlideCode:20121123_31_G2|jrc_slide_code_api:20121123_31_G2	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20121123_31_G2', age: 'Day 6-10'
20x-Brain-1858873103984099426	JRC_MB552B_Brain_20121123_31_G3_20x	P{R71D08-p65.AD}	P{R92B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB552B|GMR_MB552B|JRC_MB552B	FlyLightRaw:MB552B|FlyLightRawSlideCode:20121123_31_G3|jrc_slide_code_api:20121123_31_G3	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20121123_31_G3', age: 'Day 6-10'
20x-Brain-1858873104122511458	JRC_MB552B_Brain_20121123_31_G4_20x	P{R71D08-p65.AD}	P{R92B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB552B|GMR_MB552B|JRC_MB552B	FlyLightRaw:MB552B|FlyLightRawSlideCode:20121123_31_G4|jrc_slide_code_api:20121123_31_G4	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20121123_31_G4', age: 'Day 6-10'
20x-Brain-1858873104256729186	JRC_MB552B_Brain_20121123_31_G5_20x	P{R71D08-p65.AD}	P{R92B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB552B|GMR_MB552B|JRC_MB552B	FlyLightRaw:MB552B|FlyLightRawSlideCode:20121123_31_G5|jrc_slide_code_api:20121123_31_G5	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20121123_31_G5', age: 'Day 6-10'
20x-Brain-1858873104386752610	JRC_MB552B_Brain_20121123_31_G6_20x	P{R71D08-p65.AD}	P{R92B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB552B|GMR_MB552B|JRC_MB552B	FlyLightRaw:MB552B|FlyLightRawSlideCode:20121123_31_G6|jrc_slide_code_api:20121123_31_G6	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20121123_31_G6', age: 'Day 6-10'
20x-Brain-1846510874131431522	JRC_MB552B_Brain_20121210_32_C1_20x	P{R71D08-p65.AD}	P{R92B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB552B|GMR_MB552B|JRC_MB552B	FlyLightRaw:MB552B|FlyLightRawSlideCode:20121210_32_C1|jrc_slide_code_api:20121210_32_C1	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_C1', age: 'Day 6-10'
20x-Brain-1846510874307592290	JRC_MB552B_Brain_20121210_32_C2_20x	P{R71D08-p65.AD}	P{R92B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB552B|GMR_MB552B|JRC_MB552B	FlyLightRaw:MB552B|FlyLightRawSlideCode:20121210_32_C2|jrc_slide_code_api:20121210_32_C2	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_C2', age: 'Day 6-10'
20x-Brain-1846510874475364450	JRC_MB552B_Brain_20121210_32_C3_20x	P{R71D08-p65.AD}	P{R92B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB552B|GMR_MB552B|JRC_MB552B	FlyLightRaw:MB552B|FlyLightRawSlideCode:20121210_32_C3|jrc_slide_code_api:20121210_32_C3	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_C3', age: 'Day 6-10'
20x-Brain-1870576629579776098	JRC_MB552B_Brain_20121210_32_C4_20x	P{R71D08-p65.AD}	P{R92B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	MB552B|GMR_MB552B|JRC_MB552B	FlyLightRaw:MB552B|FlyLightRawSlideCode:20121210_32_C4|jrc_slide_code_api:20121210_32_C4	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20121210_32_C4', age: 'Day 6-10'
