filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1846873030102351970	JRC_SS00587_Brain_20130123_34_D1_20x	PBac{R50E01-p65.AD}	P{R55A03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00587|GMR_SS00587|JRC_SS00587	FlyLightSplit:SS00587|FlyLightSplitSlideCode:20130123_34_D1|jrc_slide_code_api:20130123_34_D1|neuronbridge:SS00587	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_34_D1', age: 'Day 6-10'
20x-Brain-1846873030333038690	JRC_SS00587_Brain_20130123_34_D2_20x	PBac{R50E01-p65.AD}	P{R55A03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00587|GMR_SS00587|JRC_SS00587	FlyLightSplit:SS00587|FlyLightSplitSlideCode:20130123_34_D2|jrc_slide_code_api:20130123_34_D2|neuronbridge:SS00587	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_34_D2', age: 'Day 6-10'
20x-Brain-1846873030618251362	JRC_SS00587_Brain_20130123_34_D3_20x	PBac{R50E01-p65.AD}	P{R55A03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00587|GMR_SS00587|JRC_SS00587	FlyLightSplit:SS00587|FlyLightSplitSlideCode:20130123_34_D3|jrc_slide_code_api:20130123_34_D3|neuronbridge:SS00587	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_34_D3', age: 'Day 6-10'
20x-Brain-1846873030786023522	JRC_SS00587_Brain_20130123_34_D4_20x	PBac{R50E01-p65.AD}	P{R55A03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00587|GMR_SS00587|JRC_SS00587	FlyLightSplit:SS00587|FlyLightSplitSlideCode:20130123_34_D4|jrc_slide_code_api:20130123_34_D4|neuronbridge:SS00587	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_34_D4', age: 'Day 6-10'
20x-Brain-1846873031004127330	JRC_SS00587_Brain_20130123_34_D5_20x	PBac{R50E01-p65.AD}	P{R55A03-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00587|GMR_SS00587|JRC_SS00587	FlyLightSplit:SS00587|FlyLightSplitSlideCode:20130123_34_D5|jrc_slide_code_api:20130123_34_D5|neuronbridge:SS00587	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_34_D5', age: 'Day 6-10'
20x-Brain-2298522789897830498	JRC_SS32257_Brain_20160719_31_I1_20x	P{R33E06-p65.AD}	P{VT043654-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32257|JRC_SS32257	FlyLightSplit:SS32257|FlyLightSplitSlideCode:20160719_31_I1|jrc_slide_code_api:20160719_31_I1|neuronbridge:SS32257	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_31_I1', age: 'Day 1-5'
20x-Brain-2298522790048825442	JRC_SS32257_Brain_20160719_31_I2_20x	P{R33E06-p65.AD}	P{VT043654-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32257|JRC_SS32257	FlyLightSplit:SS32257|FlyLightSplitSlideCode:20160719_31_I2|jrc_slide_code_api:20160719_31_I2|neuronbridge:SS32257	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_31_I2', age: 'Day 1-5'
20x-Brain-2298522790195626082	JRC_SS32257_Brain_20160719_31_I3_20x	P{R33E06-p65.AD}	P{VT043654-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32257|JRC_SS32257	FlyLightSplit:SS32257|FlyLightSplitSlideCode:20160719_31_I3|jrc_slide_code_api:20160719_31_I3|neuronbridge:SS32257	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_31_I3', age: 'Day 1-5'
20x-Brain-2298522790262734946	JRC_SS32257_Brain_20160719_31_I4_20x	P{R33E06-p65.AD}	P{VT043654-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32257|JRC_SS32257	FlyLightSplit:SS32257|FlyLightSplitSlideCode:20160719_31_I4|jrc_slide_code_api:20160719_31_I4|neuronbridge:SS32257	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_31_I4', age: 'Day 1-5'
20x-Brain-2298522790329843810	JRC_SS32257_Brain_20160719_31_I5_20x	P{R33E06-p65.AD}	P{VT043654-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32257|JRC_SS32257	FlyLightSplit:SS32257|FlyLightSplitSlideCode:20160719_31_I5|jrc_slide_code_api:20160719_31_I5|neuronbridge:SS32257	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_31_I5', age: 'Day 1-5'
