filename	label	AD	DBD	part_of
Janelia-2025678950633570402-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_345_831_2611377672701345831_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS00728_Brain_2020__1	P{R25C08-p65.AD}	P{R79H02-GAL4.DBD}	female organism|adult brain
Janelia-2026743731721338978-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_136_549_2611381465107136549_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01058_Brain_2020__1	P{R21C05-p65.AD}	P{R28E01-GAL4.DBD}	female organism|adult brain
Janelia-2028553847537926242-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_294_183_2611381963948294183_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01048_Brain_2020__1	P{VT040541-p65.AD}	P{VT050661-GAL4.DBD}	female organism|adult brain
Janelia-2028554096176267362-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_931_362_2611388383208931362_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01076_Brain_2020__1	P{R50D07-p65.AD}	P{R74C01-GAL4.DBD}	female organism|adult brain
Janelia-2030819994173964386-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_312_162_2611389191451312162_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01070_Brain_2020__1	P{R38H06-p65.AD}	P{R65D06-GAL4.DBD}	female organism|adult brain
Janelia-2030820144627843170-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_719_844_2611390510857719844_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS00734_Brain_2020__1	P{R73C04-p65.AD}	P{R39H12-GAL4.DBD}	female organism|adult brain
Janelia-2030820154929053794-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_858_148_2611390510752858148_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS00736_Brain_2020__1	P{R21A07-p65.AD}	P{R72A01-GAL4.DBD}	female organism|adult brain
Janelia-2030820164768890978-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_198_248_2611386307951198248_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS00737_Brain_2020__1	P{R10A12-p65.AD}	P{R81E05-GAL4.DBD}	female organism|adult brain
Janelia-2030820175397257314-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_988_453_2611388988748988453_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS00738_Brain_2020__1	P{R81D05-p65.AD}	P{R81E05-GAL4.DBD}	female organism|adult brain
Janelia-2042502745532924002-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_528_423_2611389698496528423_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01551_Brain_2020__1	P{VT059450-p65.AD}	P{VT037825-GAL4.DBD}	female organism|adult brain
Janelia-2049013636789174370-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_139_493_2611395983317139493_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01584_Brain_2020__1	P{VT034258-p65.AD}	P{R32B03-GAL4.DBD}	female organism|adult brain
Janelia-2049013642992549986-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_122_471_2611396181263122471_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01588_Brain_2020__1	P{R14H09-p65.AD}	P{R13B05-GAL4.DBD}	female organism|adult brain
Janelia-2049013652517814370-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_582_054_2611405541674582054_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01601_Brain_2020__1	P{R59B10-p65.AD}	P{R21H11-GAL4.DBD}	female organism|adult brain
Janelia-2049596954983268450-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_886_184_2611400908570886184_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01574_Brain_2020__1	P{VT045148-p65.AD}	P{VT045150-GAL4.DBD}	female organism|adult brain
Janelia-2049596956400943202-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_540_328_2611407351382540328_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01594_Brain_2020__1	P{R29F12-p65.AD}	P{R24A03-GAL4.DBD}	female organism|adult brain
Janelia-2057703279382495330-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_925_863_2611403893006925863_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01603_Brain_2020__1	P{R72H09-p65.AD}	P{VT037825-GAL4.DBD}	female organism|adult brain
Janelia-2089932700730261602-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_578_084_2611412524280578084_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS02260_Brain_2020__1	P{VT015782-p65.AD}	P{VT061933-GAL4.DBD}	female organism|adult brain
Janelia-2107647979627216994-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_812_134_2611424396727812134_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS02541_Brain_2020__1	P{VT020379-p65.AD}	P{VT043626-GAL4.DBD}	female organism|adult brain
Janelia-2110220316104982626-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_760_806_2611426859593760806_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS02621_Brain_2020__1	P{R58E07-p65.AD}	P{R30C01-GAL4.DBD}	female organism|adult brain
Janelia-2127355090938364002-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_350_247_2611431333280350247_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS02555_Brain_2020__1	P{R81C11-p65.AD}	P{VT025598-GAL4.DBD}	female organism|adult brain
Janelia-2127355154293325922-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_455_462_2611432162196455462_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS02545_Brain_2020__1	P{R22C05-p65.AD}	P{VT025718-GAL4.DBD}	female organism|adult brain
Janelia-2129697810373673058-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_410_788_2611436689662410788_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01585_Brain_2020__1	P{R10A07-p65.AD}	P{R24D07-GAL4.DBD}	female organism|adult brain
Janelia-2129697902132461666-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_068_200_2611437210079068200_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01568_Brain_2020__1	P{R91C05-p65.AD}	P{R10A12-GAL4.DBD}	female organism|adult brain
Janelia-2129697921820524642-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_831_974_2611441322673831974_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01595_Brain_2020__1	P{R29F12-p65.AD}	P{R31B08-GAL4.DBD}	female organism|adult brain
Janelia-2129697937033265250-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_503_336_2611436155144503336_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01596_Brain_2020__1	P{R29F12-p65.AD}	P{R37G07-GAL4.DBD}	female organism|adult brain
Janelia-2136892906349264994-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_936_102_2611442050414936102_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS02623_Brain_2020__1	P{VT016973-p65.AD}	P{VT002042-GAL4.DBD}	female organism|adult brain
Janelia-2201647010749087818-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_207_656_2611457098164207656_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS04160_Brain_2020__1	P{R38H06-p65.AD}	P{R50B07-GAL4.DBD}	female organism|adult brain
Janelia-2201647024766451786-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_811_752_2611446762765811752_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS04530_Brain_2020__1	P{R40F04-p65.AD}	P{R83B06-GAL4.DBD}	female organism|adult brain
Janelia-2206356060237725794-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_051_300_2611453086887051300_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS04528_Brain_2020__1	P{R19G08-p65.AD}	P{R47F01-GAL4.DBD}	female organism|adult brain
Janelia-2247799544030953546-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_041_192_2611464293845041192_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01555_Brain_2020__1	P{R10A07-p65.AD}	P{VT033947-GAL4.DBD}	female organism|adult brain
Janelia-2272121011300204618-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_905_190_2611466589177905190_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS05116_Brain_2020__1	P{VT042835-p65.AD}	P{VT023750-GAL4.DBD}	female organism|adult brain
Janelia-2272121021848879178-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_930_468_2611460690182930468_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS05122_Brain_2020__1	P{VT042835-p65.AD}	P{VT020379-GAL4.DBD}	female organism|adult brain
Janelia-2272121032284307530-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_291_496_2611464536070291496_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS05107_Brain_2020__1	P{VT023750-p65.AD}	P{VT042835-GAL4.DBD}	female organism|adult brain
