filename	label	AD	DBD	part_of
Janelia-1903200775748714594-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_305_570_1922645775427305570_align_Aligned63xScale_8bitc_J18U_SG	JRC_OL0010B_Brain_2020__1	P{R92B11-p65.AD}	P{R82D11-GAL4.DBD}	female organism|adult brain
Janelia-1903200780257591394-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_918_556_2358656463984918556_align_Brains_63x_Aligned63xScale_8bitc_J18U_SG	JRC_OL0015B_Brain_2020__1	P{R22H02-p65.AD}	P{R20G06-GAL4.DBD}	female organism|adult brain
Janelia-1903200785143955554-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_545_122_1922631717852545122_align_Aligned63xScale_8bitc_J18U_SG	JRC_OL0015B_Brain_2020__2	P{R22H02-p65.AD}	P{R20G06-GAL4.DBD}	female organism|adult brain
Janelia-1917703688072200199-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_929_095_1918089874099929095_align_Aligned63xScale_8bitc_J18U_SG	JRC_OL0019B_Brain_2020__1	P{R35D04-p65.AD}	P{R22D06-GAL4.DBD}	female organism|adult brain
Janelia-1919113395999604834-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_353_825_2652306643240353825_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_SS00315_Brain_2020__1	P{R47H03-p65.AD}	P{R72E01-GAL4.DBD}	female organism|adult brain
Janelia-1958765481812820066-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_052_900_2652475248150052900_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_OL0070B_Brain_2020__1	P{R91B01-p65.AD}	P{R22A07-GAL4.DBD}	female organism|adult brain
Janelia-1958765561936609378-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_049_826_1959044246015049826_align_Aligned63xScale_8bitc_J18U_SG	JRC_OL0019B_Brain_2020__2	P{R35D04-p65.AD}	P{R22D06-GAL4.DBD}	female organism|adult brain
Janelia-1958765584397107298-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_185_314_1959059254690185314_align_Aligned63xScale_8bitc_J18U_SG	JRC_OL0027B_Brain_2020__1	P{R14A11-p65.AD}	P{R50C10-GAL4.DBD}	female organism|adult brain
Janelia-1958765671181451362-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_998_940_2358661903560998940_align_Brains_63x_Aligned63xScale_8bitc_J18U_SG	JRC_SS00941_Brain_2020__1	PBac{R47E07-p65.AD}	P{R35D04-GAL4.DBD}	female organism|adult brain
Janelia-1958765866086563938-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_731_362_1959059041774731362_align_Aligned63xScale_8bitc_J18U_SG	JRC_SS00343_Brain_2020__1	PBac{R17A04-p65.AD}	P{R35B06-GAL4.DBD}	female organism|adult brain
Janelia-1958765873581785186-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_763_618_1959075005878763618_align_Aligned63xScale_8bitc_J18U_SG	JRC_SS00343_Brain_2020__2	PBac{R17A04-p65.AD}	P{R35B06-GAL4.DBD}	female organism|adult brain
Janelia-1965222690893594631-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_150_562_1977475081609150562_align_Aligned63xScale_8bitc_J18U_SG	JRC_OL0023B_Brain_2020__1	P{R72C08-p65.AD}	P{R50D07-GAL4.DBD}	female organism|adult brain
Janelia-1965225978783334407-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_297_250_1967569023797297250_align_Aligned63xScale_8bitc_J18U_SG	JRC_OL0008B_Brain_2020__1	P{R35D04-p65.AD}	P{R55F01-GAL4.DBD}	female organism|adult brain
Janelia-1971521836864766050-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_585_058_2188955736300585058_align_Brains_63x_Aligned63xScale_8bitc_J18U_SG	JRC_OL0001B_Brain_2020__1	P{R64G10-p65.AD}	P{R35B06-GAL4.DBD}	female organism|adult brain
Janelia-1971522337262010466-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_275_044_2652450724415275044_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_OL0042B_Brain_2020__1	P{R26A03-p65.AD}	P{R24A02-GAL4.DBD}	female organism|adult brain
Janelia-1971522347873599586-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_614_562_2652311872526614562_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_OL0044B_Brain_2020__1	P{R55C04-p65.AD}	P{R85F11-GAL4.DBD}	female organism|adult brain
Janelia-2011282052510384226-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_892_578_2011387332111892578_align_Aligned63xScale_8bitc_J18U_SG	JRC_OL0048B_Brain_2020__1	P{R19G02-p65.AD}	P{R75G12-GAL4.DBD}	female organism|adult brain
Janelia-2018431474612568071-Brain-63x_nrs_jacs_jacsData_filestore_nerna_Alignment_547_490_2019689285279547490_align_Aligned63xScale_8bitc_J18U_SG	JRC_OL0005B_Brain_2020__1	P{R21D03-p65.AD}	P{R65C12-GAL4.DBD}	female organism|adult brain
