filename	synonyms	is_a	part_of	label
AL(L)	AL(L)	adult antennal lobe	male organism|adult brain|left side of organism	AL(L) on JRC2018Unisex
AL(R)	AL(R)	adult antennal lobe	male organism|adult brain|right side of organism	AL(R) on JRC2018Unisex
AME(L)	AME(L)	accessory medulla	male organism|adult brain|left side of organism	AME(L) on JRC2018Unisex
AME(R)	AME(R)	accessory medulla	male organism|adult brain|right side of organism	AME(R) on JRC2018Unisex
AMMC(L)	AMMC(L)	antennal mechanosensory and motor center	male organism|adult brain|left side of organism	AMMC(L) on JRC2018Unisex
AMMC(R)	AMMC(R)	antennal mechanosensory and motor center	male organism|adult brain|right side of organism	AMMC(R) on JRC2018Unisex
AOTU(L)	AOTU(L)	anterior optic tubercle	male organism|adult brain|left side of organism	AOTU(L) on JRC2018Unisex
AOTU(R)	AOTU(R)	anterior optic tubercle	male organism|adult brain|right side of organism	AOTU(R) on JRC2018Unisex
ATL(L)	ATL(L)	antler	male organism|adult brain|left side of organism	ATL(L) on JRC2018Unisex
ATL(R)	ATL(R)	antler	male organism|adult brain|right side of organism	ATL(R) on JRC2018Unisex
AVLP(L)	AVLP(L)	anterior ventrolateral protocerebrum	male organism|adult brain|left side of organism	AVLP(L) on JRC2018Unisex
AVLP(R)	AVLP(R)	anterior ventrolateral protocerebrum	male organism|adult brain|right side of organism	AVLP(R) on JRC2018Unisex
BU(L)	BU(L)	bulb	male organism|adult brain|left side of organism	BU(L) on JRC2018Unisex
BU(R)	BU(R)	bulb	male organism|adult brain|right side of organism	BU(R) on JRC2018Unisex
CA(L)	CA(L)	mushroom body calyx	male organism|adult brain|left side of organism	CA(L) on JRC2018Unisex
CA(R)	CA(R)	mushroom body calyx	male organism|adult brain|right side of organism	CA(R) on JRC2018Unisex
CAN(L)	CAN(L)	cantle	male organism|adult brain|left side of organism	CAN(L) on JRC2018Unisex
CAN(R)	CAN(R)	cantle	male organism|adult brain|right side of organism	CAN(R) on JRC2018Unisex
CRE(L)	CRE(L)	adult crepine	male organism|adult brain|left side of organism	CRE(L) on JRC2018Unisex
CRE(R)	CRE(R)	adult crepine	male organism|adult brain|right side of organism	CRE(R) on JRC2018Unisex
EB	EB	ellipsoid body	male organism|adult brain	EB on JRC2018Unisex
EPA(L)	EPA(L)	epaulette	male organism|adult brain|left side of organism	EPA(L) on JRC2018Unisex
EPA(R)	EPA(R)	epaulette	male organism|adult brain|right side of organism	EPA(R) on JRC2018Unisex
FB	FB	fan-shaped body	male organism|adult brain	FB on JRC2018Unisex
