subject_external_id	subject_name	subject_external_db	relation	object	pub
720575941353514288	BANC_626:720575941353514288	BANC626	is_a	adult accessory medulla neuron aMe2	
720575941353521200	BANC_626:720575941353521200	BANC626	is_a	adult medulla visual centrifugal neuron MeVC4b	
720575941401766435	BANC_626:720575941401766435	BANC626	is_a	adult descending neuron of the anterior ventral brain DNbe007	
720575941401838627	BANC_626:720575941401838627	BANC626	is_a	proximal medullary amacrine neuron Pm8	FlyBase:FBrf0262545
720575941404711792	BANC_626:720575941404711792	BANC626	is_a	adult descending neuron of the posterior brain DNpe016	
720575941406987311	BANC_626:720575941406987311	BANC626	is_a	adult CNS neuron	
720575941408657838	BANC_626:720575941408657838	BANC626	is_a	adult lobula visual centrifugal neuron LoVC2	
720575941408661934	BANC_626:720575941408661934	BANC626	is_a	adult descending neuron of the posterior brain DNpe026	
720575941408694831	BANC_626:720575941408694831	BANC626	is_a	adult lobula visual projection neuron LoVP91	
720575941408824494	BANC_626:720575941408824494	BANC626	is_a	adult accessory medulla neuron aMe30	
720575941409225902	BANC_626:720575941409225902	BANC626	is_a	descending neuron of the gnathal ganglion	
720575941410975915	BANC_626:720575941410975915	BANC626	is_a	adult central medulla intrinsic neuron Cm20	
720575941411441323	BANC_626:720575941411441323	BANC626	is_a	adult descending neuron of the anterior dorsal brain DNae009	
720575941413686161	BANC_626:720575941413686161	BANC626	is_a	adult accessory medulla neuron aMe30	
720575941414030737	BANC_626:720575941414030737	BANC626	is_a	adult visual centrifugal neuron OLVC3	
720575941414262161	BANC_626:720575941414262161	BANC626	is_a	adult descending neuron of the posterior brain DNpe021	
720575941414341521	BANC_626:720575941414341521	BANC626	is_a	adult descending neuron of the posterior brain DNpe055	
720575941414947220	BANC_626:720575941414947220	BANC626	is_a	adult descending neuron of the posterior brain DNpe031	
720575941426101076	BANC_626:720575941426101076	BANC626	is_a	adult accessory medulla neuron aMe2	
720575941427315028	BANC_626:720575941427315028	BANC626	is_a	adult CNS neuron	
720575941427934548	BANC_626:720575941427934548	BANC626	is_a	adult descending neuron of the posterior brain DNpe020	
720575941429466616	BANC_626:720575941429466616	BANC626	is_a	adult accessory medulla neuron aMe2	
720575941431369353	BANC_626:720575941431369353	BANC626	is_a	adult lobula plate tangential neuron LPT110	
720575941438445330	BANC_626:720575941438445330	BANC626	is_a	adult descending neuron of the posterior brain DNpe032	
720575941438773548	BANC_626:720575941438773548	BANC626	is_a	adult descending neuron of the anterior dorsal brain DNae003	
720575941440379733	BANC_626:720575941440379733	BANC626	is_a	adult descending neuron of the posterior brain DNp66	
720575941440672853	BANC_626:720575941440672853	BANC626	is_a	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type a neuron	
720575941447693844	BANC_626:720575941447693844	BANC626	is_a	adult central medulla intrinsic neuron Cm32	
720575941447950517	BANC_626:720575941447950517	BANC626	is_a	proximal medullary amacrine neuron Pm8	FlyBase:FBrf0262545
720575941448928590	BANC_626:720575941448928590	BANC626	is_a	adult central medulla intrinsic neuron Cm20	
720575941449329077	BANC_626:720575941449329077	BANC626	is_a	adult CNS neuron	
720575941449616221	BANC_626:720575941449616221	BANC626	is_a	proximal medullary amacrine neuron Pm8	FlyBase:FBrf0262545
720575941450827342	BANC_626:720575941450827342	BANC626	is_a	adult lobula visual projection neuron LoVP43	
720575941450921038	BANC_626:720575941450921038	BANC626	is_a	adult lobula visual projection neuron LoVP50	
720575941450928974	BANC_626:720575941450928974	BANC626	is_a	adult central medulla intrinsic neuron Cm31b	
720575941451277946	BANC_626:720575941451277946	BANC626	is_a	adult lobula visual projection neuron LoVP43	
720575941452718407	BANC_626:720575941452718407	BANC626	is_a	adult antennal lobe local neuron lLN2P	
720575941453030983	BANC_626:720575941453030983	BANC626	is_a	adult descending neuron of the anterior ventral brain DNbe004	
720575941453292595	BANC_626:720575941453292595	BANC626	is_a	adult central medulla intrinsic neuron Cm20	
720575941453497907	BANC_626:720575941453497907	BANC626	is_a	adult CNS neuron	
