subject_id	object	relation	pub	subject_name	comment
VFB_jrmc2wgg	adult abdominal neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN03B063_R (MaleCNS:814852)	male-cns:v0.9 251117
VFB_jrmc2rsp	adult mesothoracic neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN11B017_b_R (MaleCNS:910115)	male-cns:v0.9 251117
VFB_jrmc2q9d	adult mesothoracic neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN07B055_R (MaleCNS:801529)	male-cns:v0.9 251117
VFB_jrmc2vva	adult mesothoracic neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A005_R (MaleCNS:801674)	male-cns:v0.9 251117
VFB_jrmc2voc	adult mesothoracic neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN02A023_R (MaleCNS:803747)	male-cns:v0.9 251117
VFB_jrmc2vwg	adult mesothoracic neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A017_R (MaleCNS:804468)	male-cns:v0.9 251117
VFB_jrmc2vo2	adult mesothoracic neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN02A020_R (MaleCNS:804881)	male-cns:v0.9 251117
VFB_jrmc2vy1	adult mesothoracic neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A030_R (MaleCNS:805056)	male-cns:v0.9 251117
VFB_jrmc2q0v	adult prothoracic neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN06B063_R (MaleCNS:805182)	male-cns:v0.9 251117
VFB_jrmc2vqk	adult mesothoracic neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN02A041_R (MaleCNS:808894)	male-cns:v0.9 251117
VFB_jrmc2vq6	adult mesothoracic neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN02A036_R (MaleCNS:809566)	male-cns:v0.9 251117
VFB_jrmc2vpy	adult mesothoracic neuromere	has_soma_location	doi:10.1101/2025.10.09.680999	IN02A034_R (MaleCNS:811857)	male-cns:v0.9 251117
