subject_external_id	subject_name	subject_external_db	relation	object	pub
100120	Dm8b_R (MaleCNS:100120)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
100208	SMP437_R (MaleCNS:100208)	male-cns_v0_9	is_a	adult superior medial protocerebrum neuron 437	
100449	Dm8b_R (MaleCNS:100449)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
100505	Dm8a_L (MaleCNS:100505)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
100547	Dm8b_R (MaleCNS:100547)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
100616	Dm8a_R (MaleCNS:100616)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
100668	Dm8b_R (MaleCNS:100668)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
100713	Dm8a_R (MaleCNS:100713)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
100784	Dm8b_R (MaleCNS:100784)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
100880	Dm8a_R (MaleCNS:100880)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
100966	Dm8b_R (MaleCNS:100966)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
101002	MNx01_L (MaleCNS:101002)	male-cns_v0_9	is_a	proboscis muscle motor neuron	
101315	Dm8a_R (MaleCNS:101315)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
101386	Dm8b_R (MaleCNS:101386)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
101506	Dm8a_R (MaleCNS:101506)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
101578	Dm8a_R (MaleCNS:101578)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
101713	Dm8b_L (MaleCNS:101713)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
101876	Dm8a_R (MaleCNS:101876)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
101946	Dm8a_L (MaleCNS:101946)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
102043	Dm8a_R (MaleCNS:102043)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
102137	Dm8b_R (MaleCNS:102137)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
102166	Dm8a_R (MaleCNS:102166)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
102286	Dm8a_R (MaleCNS:102286)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
102322	Dm8a_R (MaleCNS:102322)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
102333	Dm8a_R (MaleCNS:102333)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
102623	Dm8b_R (MaleCNS:102623)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
102667	Dm8b_R (MaleCNS:102667)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
102681	Dm8a_L (MaleCNS:102681)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
102723	Dm8a_R (MaleCNS:102723)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
102733	Dm8b_L (MaleCNS:102733)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
103477	Dm8a_R (MaleCNS:103477)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
103670	Dm8a_L (MaleCNS:103670)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
103753	Dm8b_L (MaleCNS:103753)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
103866	Dm8a_R (MaleCNS:103866)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
103873	Dm8a_R (MaleCNS:103873)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
104063	Dm8a_R (MaleCNS:104063)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
104092	Dm8a_R (MaleCNS:104092)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
104145	Dm8b_R (MaleCNS:104145)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
104221	Dm8a_R (MaleCNS:104221)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
104243	Dm8a_R (MaleCNS:104243)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
104278	Dm8b_R (MaleCNS:104278)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
104430	Dm8a_R (MaleCNS:104430)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
104619	Dm8a_R (MaleCNS:104619)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
104645	Dm8b_L (MaleCNS:104645)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
104677	Dm8a_L (MaleCNS:104677)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
10496	Cm33_L (MaleCNS:10496)	male-cns_v0_9	is_a	adult CB3838 neuron	FlyBase:FBrf0262545
105105	Dm8b_R (MaleCNS:105105)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
105411	Dm8a_R (MaleCNS:105411)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
105426	DM3_vPN_L (MaleCNS:105426)	male-cns_v0_9	is_a	adult uniglomerular antennal lobe projection neuron vPN	
105686	Dm8a_R (MaleCNS:105686)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
105766	Dm8b_R (MaleCNS:105766)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
105858	Dm8a_R (MaleCNS:105858)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
107241	LB1c_R (MaleCNS:107241)	male-cns_v0_9	is_a	gustatory receptor neuron of the labellum	
107332	Dm8b_L (MaleCNS:107332)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
107357	Dm8b_L (MaleCNS:107357)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
107748	Dm8a_L (MaleCNS:107748)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
108130	Dm8a_R (MaleCNS:108130)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
108151	Dm8a_L (MaleCNS:108151)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
108214	Dm8b_R (MaleCNS:108214)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
108287	Dm8a_R (MaleCNS:108287)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
108557	Dm8b_R (MaleCNS:108557)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
108644	Dm8a_L (MaleCNS:108644)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
108668	Dm8a_L (MaleCNS:108668)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8a	FlyBase:FBrf0262545
108780	Dm8b_L (MaleCNS:108780)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
108945	Dm8b_L (MaleCNS:108945)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
108983	Dm8b_L (MaleCNS:108983)	male-cns_v0_9	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
