subject_external_id	subject_name	subject_external_db	relation	object	pub
66489	Cm7_L (MaleCNS:66489)	male-cns_v1_0	is_a	adult central medulla intrinsic neuron Cm7	FlyBase:FBrf0262545
66490	Tm1_L (MaleCNS:66490)	male-cns_v1_0	is_a	transmedullary neuron Tm1	FlyBase:FBrf0262545
66491	Tm39_R (MaleCNS:66491)	male-cns_v1_0	is_a	transmedullary neuron Tm39	
66492	L1_L (MaleCNS:66492)	male-cns_v1_0	is_a	lamina monopolar neuron L1	FlyBase:FBrf0262545
66493	Tm5c_R (MaleCNS:66493)	male-cns_v1_0	is_a	transmedullary neuron Tm5c	FlyBase:FBrf0262545
66494	TmY5a_R (MaleCNS:66494)	male-cns_v1_0	is_a	transmedullary Y neuron TmY5a	FlyBase:FBrf0262545
66495	C3_L (MaleCNS:66495)	male-cns_v1_0	is_a	centrifugal neuron C3	FlyBase:FBrf0262545
66497	Mi9_R (MaleCNS:66497)	male-cns_v1_0	is_a	medulla intrinsic neuron Mi9	FlyBase:FBrf0262545
66498	C3_R (MaleCNS:66498)	male-cns_v1_0	is_a	centrifugal neuron C3	FlyBase:FBrf0262545
66500	Tm6_L (MaleCNS:66500)	male-cns_v1_0	is_a	transmedullary neuron Tm6	FlyBase:FBrf0262545
66503	T2_R (MaleCNS:66503)	male-cns_v1_0	is_a	T2 neuron	FlyBase:FBrf0262545
66504	MeTu2a_L (MaleCNS:66504)	male-cns_v1_0	is_a	adult medulla-tubercle neuron of dorsal rim area	FlyBase:FBrf0262545
66506	Dm8b_R (MaleCNS:66506)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm8b	FlyBase:FBrf0262545
66507	LC12_R (MaleCNS:66507)	male-cns_v1_0	is_a	lobula columnar neuron LC12	FlyBase:FBrf0262545
66508	C3_R (MaleCNS:66508)	male-cns_v1_0	is_a	centrifugal neuron C3	FlyBase:FBrf0262545
66509	Tm38_R (MaleCNS:66509)	male-cns_v1_0	is_a	transmedullary neuron Tm8	FlyBase:FBrf0262545
66510	LC6_L (MaleCNS:66510)	male-cns_v1_0	is_a	lobula columnar neuron LC6	FlyBase:FBrf0262545
66511	Li21_R (MaleCNS:66511)	male-cns_v1_0	is_a	adult lobula intrinsic neuron Li21	FlyBase:FBrf0262545
66512	Mi4_R (MaleCNS:66512)	male-cns_v1_0	is_a	medulla intrinsic neuron Mi4	FlyBase:FBrf0262545
66513	L1_R (MaleCNS:66513)	male-cns_v1_0	is_a	lamina monopolar neuron L1	FlyBase:FBrf0262545
66514	Li23_R (MaleCNS:66514)	male-cns_v1_0	is_a	adult lobula intrinsic neuron Li23	FlyBase:FBrf0262545
66516	TmY10_R (MaleCNS:66516)	male-cns_v1_0	is_a	transmedullary Y neuron TmY10	FlyBase:FBrf0262545
66517	MeTu4a_R (MaleCNS:66517)	male-cns_v1_0	is_a	medulla columnar neuron MC64	FlyBase:FBrf0262545
66518	AN09B009_L (MaleCNS:66518)	male-cns_v1_0	is_a	adult AN09B009 neuron	
66519	KCg-m_R (MaleCNS:66519)	male-cns_v1_0	is_a	gamma main Kenyon cell	
66520	TmY5a_L (MaleCNS:66520)	male-cns_v1_0	is_a	transmedullary Y neuron TmY5a	FlyBase:FBrf0262545
66521	LC13_R (MaleCNS:66521)	male-cns_v1_0	is_a	lobula columnar neuron LC13	FlyBase:FBrf0262545
66522	Li34b_L (MaleCNS:66522)	male-cns_v1_0	is_a	adult Li34 neuron	
66523	CB2873_R (MaleCNS:66523)	male-cns_v1_0	is_a	adult CB2873 neuron	
66524	Dm15_R (MaleCNS:66524)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm15	FlyBase:FBrf0262545
66525	Cm7_R (MaleCNS:66525)	male-cns_v1_0	is_a	adult central medulla intrinsic neuron Cm7	FlyBase:FBrf0262545
66526	T2_R (MaleCNS:66526)	male-cns_v1_0	is_a	T2 neuron	FlyBase:FBrf0262545
66527	Tm39_R (MaleCNS:66527)	male-cns_v1_0	is_a	transmedullary neuron Tm39	
66528	T2_R (MaleCNS:66528)	male-cns_v1_0	is_a	T2 neuron	FlyBase:FBrf0262545
