subject_id	object	relation	pub	subject_name	comment
VFB_jrmc38k7	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	CB1565_L (MaleCNS:100828)	male-cns:v1.0 260624
VFB_jrmc1c7b	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP188_L (MaleCNS:119709)	male-cns:v1.0 260624
VFB_jrmc1bsl	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP015_c_L (MaleCNS:126853)	male-cns:v1.0 260624
VFB_jrmc1c64	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP179_a_L (MaleCNS:128533)	male-cns:v1.0 260624
VFB_jrmc3hug	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	AVLP026_L (MaleCNS:514894)	male-cns:v1.0 260624
VFB_jrmc3ike	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	AVLP309_L (MaleCNS:519916)	male-cns:v1.0 260624
VFB_jrmc3a7w	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	CB2955_L (MaleCNS:579981)	male-cns:v1.0 260624
VFB_jrmc03bl	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	vDeltaK_C5 (MaleCNS:112562)	male-cns:v1.0 260624
VFB_jrmc306c	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FB4Z_a_R (MaleCNS:162599)	male-cns:v1.0 260624
VFB_jrmc306n	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FB4Z_c_L (MaleCNS:166976)	male-cns:v1.0 260624
VFB_jrmc306o	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FB4Z_c_L (MaleCNS:170407)	male-cns:v1.0 260624
VFB_jrmc306f	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FB4Z_a_L (MaleCNS:184446)	male-cns:v1.0 260624
VFB_jrmc306g	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FB4Z_a_R (MaleCNS:231168)	male-cns:v1.0 260624
VFB_jrmc1kia	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PVLP133_L (MaleCNS:41593)	male-cns:v1.0 260624
VFB_jrmc1j5w	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PLVP059_L (MaleCNS:99790)	male-cns:v1.0 260624
VFB_jrmc3icf	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	AVLP224_a_L (MaleCNS:559547)	male-cns:v1.0 260624
VFB_jrmc1e3f	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SMP531_L (MaleCNS:19387)	male-cns:v1.0 260624
VFB_jrmc222k	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV10a1a_L (MaleCNS:23190)	male-cns:v1.0 260624
VFB_jrmc1dvn	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SMP421_L (MaleCNS:27813)	male-cns:v1.0 260624
VFB_jrmc1co1	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP402_a_L (MaleCNS:38911)	male-cns:v1.0 260624
VFB_jrmc22kl	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV6f5_L (MaleCNS:39139)	male-cns:v1.0 260624
VFB_jrmc1bxy	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP078_L (MaleCNS:41307)	male-cns:v1.0 260624
VFB_jrmc22as	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV4c2_L (MaleCNS:49696)	male-cns:v1.0 260624
VFB_jrmc22ak	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV4c1_c_L (MaleCNS:54309)	male-cns:v1.0 260624
VFB_jrmc22a5	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV4b7_L (MaleCNS:56437)	male-cns:v1.0 260624
VFB_jrmc3ahq	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	CB3252_L (MaleCNS:59332)	male-cns:v1.0 260624
VFB_jrmc3aje	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	CB3308_L (MaleCNS:62784)	male-cns:v1.0 260624
VFB_jrmc22av	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV4c3_L (MaleCNS:67214)	male-cns:v1.0 260624
VFB_jrmc22a8	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV4c1_a_L (MaleCNS:69942)	male-cns:v1.0 260624
VFB_jrmc1dmx	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SMP344_L (MaleCNS:70491)	male-cns:v1.0 260624
VFB_jrmc1cpc	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP412_a_L (MaleCNS:82155)	male-cns:v1.0 260624
VFB_jrmc22km	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV6f5_L (MaleCNS:95371)	male-cns:v1.0 260624
VFB_jrmc1duq	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SMP410_L (MaleCNS:115114)	male-cns:v1.0 260624
VFB_jrmc1cd9	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP266_L (MaleCNS:116045)	male-cns:v1.0 260624
VFB_jrmc3ajf	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	CB3308_L (MaleCNS:117153)	male-cns:v1.0 260624
VFB_jrmc22ay	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV4c4_L (MaleCNS:143752)	male-cns:v1.0 260624
VFB_jrmc1dcb	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SMP229_L (MaleCNS:207736)	male-cns:v1.0 260624
VFB_jrmc22al	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV4c1_c_L (MaleCNS:514377)	male-cns:v1.0 260624
VFB_jrmc21kv	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHAV3q1_L (MaleCNS:522430)	male-cns:v1.0 260624
VFB_jrmc1c8s	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP210_L (MaleCNS:532396)	male-cns:v1.0 260624
VFB_jrmc22c2	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV4g2_L (MaleCNS:542753)	male-cns:v1.0 260624
VFB_jrmc1clj	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP364_L (MaleCNS:559739)	male-cns:v1.0 260624
VFB_jrmc008g	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	WED030_b_L (MaleCNS:76992)	male-cns:v1.0 260624
VFB_jrmc3ans	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	CB3446_R (MaleCNS:15551)	male-cns:v1.0 260624
VFB_jrmc3jzw	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	None (MaleCNS:17565)	male-cns:v1.0 260624
VFB_jrmc1j7u	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW006_R (MaleCNS:21805)	male-cns:v1.0 260624
VFB_jrmc1j8z	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW010_R (MaleCNS:21940)	male-cns:v1.0 260624
VFB_jrmc1jcd	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW043_R (MaleCNS:25250)	male-cns:v1.0 260624
VFB_jrmc1jce	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW043_R (MaleCNS:26891)	male-cns:v1.0 260624
VFB_jrmc1jcf	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW043_R (MaleCNS:39767)	male-cns:v1.0 260624
VFB_jrmc1j9o	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW017_R (MaleCNS:41193)	male-cns:v1.0 260624
VFB_jrmc1jat	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW028_R (MaleCNS:42869)	male-cns:v1.0 260624
VFB_jrmc1j8c	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW007_R (MaleCNS:46746)	male-cns:v1.0 260624
VFB_jrmc1j8m	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW008_R (MaleCNS:60810)	male-cns:v1.0 260624
VFB_jrmc3jzx	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	None (MaleCNS:60964)	male-cns:v1.0 260624
VFB_jrmc1jax	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW029_R (MaleCNS:63214)	male-cns:v1.0 260624
VFB_jrmc16ml	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SMP737_R (MaleCNS:65305)	male-cns:v1.0 260624
VFB_jrmc1j7v	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW006_R (MaleCNS:71360)	male-cns:v1.0 260624
VFB_jrmc16mm	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SMP737_R (MaleCNS:73909)	male-cns:v1.0 260624
VFB_jrmc1j8d	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW007_R (MaleCNS:80556)	male-cns:v1.0 260624
VFB_jrmc16lt	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SMP729_R (MaleCNS:86701)	male-cns:v1.0 260624
VFB_jrmc1j8e	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW007_R (MaleCNS:87403)	male-cns:v1.0 260624
VFB_jrmc16n4	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SMP739_R (MaleCNS:96872)	male-cns:v1.0 260624
VFB_jrmc16lx	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SMP730_R (MaleCNS:122638)	male-cns:v1.0 260624
VFB_jrmc1jam	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW026_R (MaleCNS:526699)	male-cns:v1.0 260624
VFB_jrmc1j7w	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW006_R (MaleCNS:529753)	male-cns:v1.0 260624
VFB_jrmc1j9p	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	PRW017_R (MaleCNS:568436)	male-cns:v1.0 260624
VFB_jrmc2srs	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1D_C2_R (MaleCNS:34019)	male-cns:v1.0 260624
VFB_jrmc2stj	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC2A_C7_R (MaleCNS:45876)	male-cns:v1.0 260624
VFB_jrmc2spw	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1A_C1_R (MaleCNS:47796)	male-cns:v1.0 260624
VFB_jrmc2ssh	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1E_C1_R (MaleCNS:50905)	male-cns:v1.0 260624
VFB_jrmc2srt	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1D_C7_R (MaleCNS:53352)	male-cns:v1.0 260624
VFB_jrmc2stk	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC2A_C9_R (MaleCNS:55401)	male-cns:v1.0 260624
VFB_jrmc2ssi	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1E_C7_R (MaleCNS:56106)	male-cns:v1.0 260624
VFB_jrmc2sru	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1D_C4_R (MaleCNS:56581)	male-cns:v1.0 260624
VFB_jrmc2sqj	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1B_C7_R (MaleCNS:57309)	male-cns:v1.0 260624
VFB_jrmc2ss8	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1D_C1_R (MaleCNS:59719)	male-cns:v1.0 260624
VFB_jrmc2sq7	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1A_C3_R (MaleCNS:60323)	male-cns:v1.0 260624
VFB_jrmc2ss9	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1D_C3_R (MaleCNS:61568)	male-cns:v1.0 260624
VFB_jrmc2sqp	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1B_C1_R (MaleCNS:68039)	male-cns:v1.0 260624
VFB_jrmc2std	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1F_C1_R (MaleCNS:69923)	male-cns:v1.0 260624
VFB_jrmc2sqq	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1B_C7_R (MaleCNS:75581)	male-cns:v1.0 260624
VFB_jrmc2sqb	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1A_C7_R (MaleCNS:92664)	male-cns:v1.0 260624
VFB_jrmc2stf	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1F_C8_R (MaleCNS:103482)	male-cns:v1.0 260624
VFB_jrmc2sqr	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1B_C3_R (MaleCNS:110323)	male-cns:v1.0 260624
VFB_jrmc2ssd	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1D_C5_R (MaleCNS:118617)	male-cns:v1.0 260624
VFB_jrmc2sss	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1E_C5_R (MaleCNS:130104)	male-cns:v1.0 260624
VFB_jrmc2stt	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC2A_C4_R (MaleCNS:170539)	male-cns:v1.0 260624
VFB_jrmc2sqs	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1B_C2_R (MaleCNS:542782)	male-cns:v1.0 260624
VFB_jrmc2stg	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1F_C2_R (MaleCNS:543495)	male-cns:v1.0 260624
VFB_jrmc2sqt	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1B_C6_R (MaleCNS:544358)	male-cns:v1.0 260624
VFB_jrmc2sst	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	FC1E_C2_R (MaleCNS:549620)	male-cns:v1.0 260624
VFB_jrmc2k0c	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:39771)	male-cns:v1.0 260624
VFB_jrmc2k0d	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:42370)	male-cns:v1.0 260624
VFB_jrmc2k0e	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:44948)	male-cns:v1.0 260624
VFB_jrmc2k0f	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:47354)	male-cns:v1.0 260624
VFB_jrmc2k0g	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:48147)	male-cns:v1.0 260624
VFB_jrmc2k0h	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:48533)	male-cns:v1.0 260624
VFB_jrmc2k0i	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:48978)	male-cns:v1.0 260624
VFB_jrmc2k0j	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:49052)	male-cns:v1.0 260624
VFB_jrmc2k0k	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:49345)	male-cns:v1.0 260624
VFB_jrmc2k0l	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:49710)	male-cns:v1.0 260624
VFB_jrmc2k0m	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:53217)	male-cns:v1.0 260624
VFB_jrmc2k0n	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:57302)	male-cns:v1.0 260624
VFB_jrmc2k0o	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:60829)	male-cns:v1.0 260624
VFB_jrmc2k0p	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:61056)	male-cns:v1.0 260624
VFB_jrmc2k0q	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:62274)	male-cns:v1.0 260624
VFB_jrmc2k0r	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:63543)	male-cns:v1.0 260624
VFB_jrmc2k0s	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:67355)	male-cns:v1.0 260624
VFB_jrmc2k0t	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:81177)	male-cns:v1.0 260624
VFB_jrmc2k0u	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:81656)	male-cns:v1.0 260624
VFB_jrmc2k0v	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:91244)	male-cns:v1.0 260624
VFB_jrmc2d5g	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-m_R (MaleCNS:140182)	male-cns:v1.0 260624
VFB_jrmc2k0w	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:150014)	male-cns:v1.0 260624
VFB_jrmc2k0x	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:153545)	male-cns:v1.0 260624
VFB_jrmc2k0y	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:533220)	male-cns:v1.0 260624
VFB_jrmc2k0z	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	KCg-d_R (MaleCNS:534786)	male-cns:v1.0 260624
VFB_jrmc39at	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	CB2107_L (MaleCNS:23151)	male-cns:v1.0 260624
VFB_jrmc21lx	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHAV4a5_L (MaleCNS:47161)	male-cns:v1.0 260624
VFB_jrmc21lg	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHAV4a4_L (MaleCNS:56351)	male-cns:v1.0 260624
VFB_jrmc227o	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHPV4a1_L (MaleCNS:57923)	male-cns:v1.0 260624
VFB_jrmc21lh	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHAV4a4_L (MaleCNS:541635)	male-cns:v1.0 260624
VFB_jrmc1bwl	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP057_R (MaleCNS:13221)	male-cns:v1.0 260624
VFB_jrmc1cmj	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP377_R (MaleCNS:17546)	male-cns:v1.0 260624
VFB_jrmc3at7	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	CB3664_R (MaleCNS:25796)	male-cns:v1.0 260624
VFB_jrmc1c3t	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP152_R (MaleCNS:31690)	male-cns:v1.0 260624
VFB_jrmc28xj	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHAD1f3_b_R (MaleCNS:32115)	male-cns:v1.0 260624
VFB_jrmc28ui	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	LHAD1a2_R (MaleCNS:35373)	male-cns:v1.0 260624
VFB_jrmc1bw2	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	SLP043_R (MaleCNS:37029)	male-cns:v1.0 260624
