subject_id	object	pub	relation	comment	subject_name
VFB_jrmc2zm0	adult anterior dorsal mesothoracic nerve	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EAXXX079_L (MaleCNS:245794)
VFB_jrmc2zm0	adult dorsal metathoracic nerve	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EAXXX079_L (MaleCNS:245794)
VFB_jrmc2zm1	adult anterior dorsal mesothoracic nerve	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EAXXX079_R (MaleCNS:344038)
VFB_jrmc2zm1	adult dorsal metathoracic nerve	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EAXXX079_R (MaleCNS:344038)
VFB_jrmc2znc	adult abdominal nerve trunk	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EN00B019_M (MaleCNS:811431)
VFB_jrmc2znc	adult fourth abdominal nerve	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EN00B019_M (MaleCNS:811431)
VFB_jrmc2zmp	adult abdominal nerve trunk	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EN00B004_M (MaleCNS:808856)
VFB_jrmc2zmx	adult anterior dorsal mesothoracic nerve	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EN00B011_M (MaleCNS:808551)
VFB_jrmc2zmx	adult mesothoracic accessory nerve	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EN00B011_M (MaleCNS:808551)
VFB_jrmc2zmy	adult anterior dorsal mesothoracic nerve	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EN00B011_M (MaleCNS:808845)
VFB_jrmc2zmy	adult mesothoracic accessory nerve	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EN00B011_M (MaleCNS:808845)
VFB_jrmc2zn4	adult anterior dorsal mesothoracic nerve	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EN00B015_M (MaleCNS:811415)
VFB_jrmc2zn4	adult mesothoracic accessory nerve	doi:10.1101/2025.10.09.680999	fasciculates_with	male-cns:v1.0 260821	EN00B015_M (MaleCNS:811415)
