subject_external_db	subject_external_id	subject_name	relation	object
catmaid_l1em	2693767	A09l_a3l Down-and-back-1	is_a	larval abdominal 3 down and back neuron
catmaid_l1em	2777891	vdaD class III md_a1r or es?	is_a	abdominal ventral multidendritic neuron vdaD
catmaid_l1em	3220573	A09l_a5l Down-and-back-1	is_a	larval abdominal 5 down and back neuron
catmaid_l1em	3281615	A09l_a2l Down-and-back-1	is_a	larval abdominal 2 down and back neuron
catmaid_l1em	4223188	A02o_t3l Wave-1	is_a	larval metathoracic Wave neuron
catmaid_l1em	3995976	A01d3_a1l	is_a	larval abdominal 1 A01d-3 neuron
catmaid_l1em	4102844	A09l_a1r Down-and-back-_JMpair 1 A08s upstream	is_a	larval abdominal 1 down and back neuron
catmaid_l1em	4589092	A02o_a2l Wave-1	is_a	larval abdominal 2 Wave neuron
catmaid_l1em	2558717	TePn05 classIV-related projection C right	is_a	larval TePn05 neuron
catmaid_l1em	3437872	A02o_a5l Wave-1	is_a	larval abdominal 5 Wave neuron
catmaid_l1em	2370290	A09e_a5r	is_a	larval abdominal 5 A09e neuron
catmaid_l1em	722935	ddaA a1l classs III md	is_a	abdominal 1 dorsal multidendritic neuron ddaA
catmaid_l1em	1702280	A09l_a4r Down-and-back-1	is_a	larval abdominal 4 down and back neuron
catmaid_l1em	1401061	A02o_a5r Wave-1	is_a	larval abdominal 5 Wave neuron
catmaid_l1em	1378190	A09l_a3r Down-and-back-1	is_a	larval abdominal 3 down and back neuron
catmaid_l1em	1371419	A09l_a4l Down-and-back-1	is_a	larval abdominal 4 down and back neuron
catmaid_l1em	1370785	A09e_a5l	is_a	larval abdominal 5 A09e neuron
catmaid_l1em	1115781	A09l_a5r_ Down-and-back-1	is_a	larval abdominal 5 down and back neuron
catmaid_l1em	918889	A02o_a1l Wave-1	is_a	larval abdominal 1 Wave neuron
catmaid_l1em	888730	A09a_a3r Basin-2	is_a	larval abdominal 3 Basin-2 neuron
catmaid_l1em	754774	A02o_a6l Wave-1	is_a	larval abdominal 6 Wave neuron
catmaid_l1em	4717261	A02o_a2r Wave-1	is_a	larval abdominal 2 Wave neuron
catmaid_l1em	627858	A09e_a4r	is_a	larval abdominal 4 A09e neuron
catmaid_l1em	183502	A09e_a4l	is_a	larval abdominal 4 A09e neuron
catmaid_l1em	1815127	A09c_a3l Basin-4	is_a	larval abdominal 3 Basin-4 neuron
catmaid_l1em	5114804	A09a_a2r Basin-2	is_a	larval abdominal 2 Basin-2 neuron
catmaid_l1em	7772437	lesA_a1l	is_a	abdominal 1 lesA neuron
catmaid_l1em	5309932	A03g_a1l	is_a	larval abdominal 1 A03g neuron
catmaid_l1em	18684928	A02o_a1r Wave-1	is_a	larval abdominal 1 Wave neuron
catmaid_l1em	18508515	A02o_a4l Wave-1	is_a	larval abdominal 4 Wave neuron
catmaid_l1em	17872154	A01d3_a1r	is_a	larval abdominal 1 A01d-3 neuron
catmaid_l1em	17693220	A09l_a2r Down-and-back-1	is_a	larval abdominal 2 down and back neuron
catmaid_l1em	16312925	ddaA a1r class III md	is_a	abdominal 1 dorsal multidendritic neuron ddaA
catmaid_l1em	16311520	v'pda_a1l (class III)	is_a	abdominal 1 ventral multidendritic neuron v'dap
catmaid_l1em	16311502	v'esA or v'esB or v'es2[1][2]_a1l	is_a	posterior fascicle sensory neuron
catmaid_l1em	14642308	ldaB class III_a1l	is_a	abdominal 1 lateral multidendritic neuron ldaB
catmaid_l1em	12468812	A09l_a1l Down-and-back-1	is_a	larval abdominal 1 down and back neuron
catmaid_l1em	12292579	A18l_a1r	is_a	larval abdominal 1 A18l neuron
catmaid_l1em	12140587	lesA_A1r	is_a	abdominal 1 lesA neuron
catmaid_l1em	10053734	vdaC_a1r (class II)	is_a	abdominal 1 ventral multidendritic neuron vdaC
catmaid_l1em	10053642	A09l_t3r Down-and-back-1	is_a	larval metathoracic down and back neuron
catmaid_l1em	10021175	A18l_a1l	is_a	larval abdominal 1 A18l neuron
catmaid_l1em	10004243	A27k_a1r	is_a	larval abdominal 1 A27k neuron
catmaid_l1em	7792781	vdaD a1l class III md	is_a	abdominal 1 ventral multidendritic neuron vdaD
catmaid_l1em	7636004	v'pda a1r class III md	is_a	abdominal 1 ventral multidendritic neuron v'dap
catmaid_l1em	7633929	v'esA or v'esB or v'es2[1][2]_a1r	is_a	posterior fascicle sensory neuron
catmaid_l1em	7124056	A09l_t3l Down-and-back-1	is_a	larval metathoracic down and back neuron
catmaid_l1em	7076835	ldaB a1r class III md	is_a	abdominal 1 lateral multidendritic neuron ldaB
catmaid_l1em	5733618	A23g_a2l	is_a	larval abdominal 2 A23g neuron
catmaid_l1em	5310670	A02o_t3r Wave-1	is_a	larval metathoracic Wave neuron
catmaid_l1em	5231557	A23g_a2r	is_a	larval abdominal 2 A23g neuron
