subject_external_id	subject_name	subject_id	subject_external_db	relation	object	pub
720575940599797164	FlyWire:720575940599797164	VFB_fw066953	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
720575940600322965	FlyWire:720575940600322965	VFB_fw134102	flywire783	is_a	lamina monopolar neuron L2	
720575940600623020	FlyWire:720575940600623020	VFB_fw084338	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940600722348	FlyWire:720575940600722348	VFB_fw063429	flywire783	is_a	adult central medulla intrinsic neuron Cm2	FlyBase:FBrf0262545
720575940601423625	FlyWire:720575940601423625	VFB_fw075222	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940601653513	FlyWire:720575940601653513	VFB_fw054099	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940602483424	FlyWire:720575940602483424	VFB_fw029627	flywire783	is_a	adult lobula columnar neuron LC31b	FlyBase:FBrf0262545
720575940602619249	FlyWire:720575940602619249	VFB_fw064345	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940602815200	FlyWire:720575940602815200	VFB_fw008960	flywire783	is_a	alpha/beta Kenyon cell	
720575940602864300	FlyWire:720575940602864300	VFB_fw018798	flywire783	is_a	descending neuron of the posterior brain	
720575940603084972	FlyWire:720575940603084972	VFB_fw042130	flywire783	is_a	alpha/beta Kenyon cell	
720575940603176049	FlyWire:720575940603176049	VFB_fw113903	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940603366112	FlyWire:720575940603366112	VFB_fw067453	flywire783	is_a	distal medullary amacrine neuron Dm8b	
720575940603372460	FlyWire:720575940603372460	VFB_fw048717	flywire783	is_a	adult medulla-tubercle neuron 1	
720575940603408608	FlyWire:720575940603408608	VFB_fw069480	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
720575940603409632	FlyWire:720575940603409632	VFB_fw043475	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
