subject_id	object	relation	pub	subject_name	comment
VFB_fw138205	CP1 ventral hemilineage neuron	is_a	FlyBase:FBrf0260535	SPS.7 (FlyWire:720575940628857210)	FlyWire_783 260417
VFB_fw000010	BLAv1 posterior hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.GOR.33 (FlyWire:720575940643249608)	FlyWire_783 260417
VFB_fw000013	DALl2 lateral hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.1315 (FlyWire:720575940619380485)	FlyWire_783 260417
VFB_fw000020	DALl2 lateral hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.PVLP.19 (FlyWire:720575940611576050)	FlyWire_783 260417
VFB_fw000021	DALl2 lateral hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.730 (FlyWire:720575940644053540)	FlyWire_783 260417
VFB_fw000022	BLVp2 anterior hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.1607 (FlyWire:720575940626812433)	FlyWire_783 260417
VFB_fw000026	BLAv1 medial hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.901 (FlyWire:720575940618183765)	FlyWire_783 260417
VFB_fw000055	BLAvm posterior hemilineage neuron	is_a	FlyBase:FBrf0260535	WED.LAL.25 (FlyWire:720575940630288697)	FlyWire_783 260417
VFB_fw000058	BLAd2 ventral hemilineage neuron	is_a	FlyBase:FBrf0260535	PLP.SMP.77 (FlyWire:720575940631724077)	FlyWire_783 260417
VFB_fw000062	DALcm1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	SMP.MB_ML.10 (FlyWire:720575940608166748)	FlyWire_783 260417
VFB_fw000063	DALcm1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	CRE.MB_ML.8 (FlyWire:720575940617466395)	FlyWire_783 260417
VFB_fw000065	DPLpv anterior hemilineage neuron	is_a	FlyBase:FBrf0260535	PLP.107 (FlyWire:720575940608027915)	FlyWire_783 260417
VFB_fw000067	DPLp2 anterior hemilineage neuron	is_a	FlyBase:FBrf0260535	SLP.330 (FlyWire:720575940630147127)	FlyWire_783 260417
VFB_fw000068	DPLpv anterior hemilineage neuron	is_a	FlyBase:FBrf0260535	PLP.PVLP.15 (FlyWire:720575940622812493)	FlyWire_783 260417
VFB_fw000091	DPLl3 posterior hemilineage neuron	is_a	FlyBase:FBrf0260535	IPS.SIP.1 (FlyWire:720575940611897837)	FlyWire_783 260417
VFB_fw000096	BLD5 lateral hemilineage neuron	is_a	FlyBase:FBrf0260535	LO.750 (FlyWire:720575940619251182)	FlyWire_783 260417
VFB_fw000097	BLD5 lateral hemilineage neuron	is_a	FlyBase:FBrf0260535	LO.341 (FlyWire:720575940622037139)	FlyWire_783 260417
VFB_fw000099	BLAl1 medial hemilineage neuron	is_a	FlyBase:FBrf0260535	SCL.ICL.26 (FlyWire:720575940645607203)	FlyWire_783 260417
VFB_fw000115	BLD5 medial hemilineage neuron	is_a	FlyBase:FBrf0260535	LH.PLP.25 (FlyWire:720575940624540967)	FlyWire_783 260417
VFB_fw000117	BLAvm posterior hemilineage neuron	is_a	FlyBase:FBrf0260535	PLP.385 (FlyWire:720575940631394519)	FlyWire_783 260417
VFB_fw000118	BLP1 posterior hemilineage neuron	is_a	FlyBase:FBrf0260535	PLP.PVLP.6 (FlyWire:720575940604624998)	FlyWire_783 260417
VFB_fw000125	BLD3 anterior hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.323 (FlyWire:720575940626322746)	FlyWire_783 260417
VFB_fw000126	BLAv1 medial hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.1687 (FlyWire:720575940627084905)	FlyWire_783 260417
VFB_fw000127	BLAv1 medial hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.1266 (FlyWire:720575940620625646)	FlyWire_783 260417
VFB_fw000133	BLVp1 anterior hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.1216 (FlyWire:720575940618901231)	FlyWire_783 260417
VFB_fw000165	DPLl2 posterior hemilineage neuron	is_a	FlyBase:FBrf0260535	SMP.661 (FlyWire:720575940612291682)	FlyWire_783 260417
VFB_fw000177	DPLl3 anterior hemilineage neuron	is_a	FlyBase:FBrf0260535	SLP.933 (FlyWire:720575940614186090)	FlyWire_783 260417
VFB_fw000203	DALcm1 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	CRE.LAL.13 (FlyWire:720575940614684822)	FlyWire_783 260417
VFB_fw000213	DALcm1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	MB_ML.80 (FlyWire:720575940621136519)	FlyWire_783 260417
VFB_fw000214	DALcm1 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	AOTU.SPS.10 (FlyWire:720575940637078106)	FlyWire_783 260417
VFB_fw000215	DPLc5 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	SCL.SMP.74 (FlyWire:720575940619347777)	FlyWire_783 260417
VFB_fw000239	BAmv1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	FB.100 (FlyWire:720575940617225565)	FlyWire_783 260417
VFB_fw000256	BAmv1 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	SMP.534 (FlyWire:720575940626571602)	FlyWire_783 260417
VFB_fw000258	BAmv1 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	IPS.GNG.63 (FlyWire:720575940617997396)	FlyWire_783 260417
VFB_fw000272	BAmd1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	MB_ML.228 (FlyWire:720575940620681837)	FlyWire_783 260417
VFB_fw000273	BAmd1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	MB_ML.65 (FlyWire:720575940609414468)	FlyWire_783 260417
VFB_fw000275	CM4 dorsal hemilineage neuron	is_a	FlyBase:FBrf0260535	SMP.975 (FlyWire:720575940625949212)	FlyWire_783 260417
VFB_fw000277	CM4 dorsal hemilineage neuron	is_a	FlyBase:FBrf0260535	SMP.1796 (FlyWire:720575940605307936)	FlyWire_783 260417
VFB_fw000295	BLAl1 medial hemilineage neuron	is_a	FlyBase:FBrf0260535	PLP.SLP.48 (FlyWire:720575940633502618)	FlyWire_783 260417
VFB_fw000297	DALcm1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	MB_ML.85 (FlyWire:720575940633688476)	FlyWire_783 260417
VFB_fw000308	BLAv1 posterior hemilineage neuron	is_a	FlyBase:FBrf0260535	SLP.1245 (FlyWire:720575940606810057)	FlyWire_783 260417
VFB_fw000309	BLAv1 posterior hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.2479 (FlyWire:720575940634523255)	FlyWire_783 260417
VFB_fw000314	BAmv1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	FB.1048 (FlyWire:720575940625604098)	FlyWire_783 260417
VFB_fw000319	DPLal2 dorsal hemilineage neuron	is_a	FlyBase:FBrf0260535	LH.SLP.376 (FlyWire:720575940614525078)	FlyWire_783 260417
VFB_fw000320	DPLal2 ventral hemilineage neuron	is_a	FlyBase:FBrf0260535	AVLP.ICL.199 (FlyWire:720575940639806296)	FlyWire_783 260417
VFB_fw000321	DPLal2 ventral hemilineage neuron	is_a	FlyBase:FBrf0260535	SLP.ICL.86 (FlyWire:720575940630006735)	FlyWire_783 260417
VFB_fw000322	DPLl3 posterior hemilineage neuron	is_a	FlyBase:FBrf0260535	SIP.80 (FlyWire:720575940628820823)	FlyWire_783 260417
VFB_fw000332	BAmv1 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	IPS.610 (FlyWire:720575940627946795)	FlyWire_783 260417
VFB_fw000334	BAmv1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	FB.167 (FlyWire:720575940623861479)	FlyWire_783 260417
VFB_fw000349	DALcm2 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	IPS.GNG.40 (FlyWire:720575940632687770)	FlyWire_783 260417
VFB_fw000367	BAmd1 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	LH.30 (FlyWire:720575940622790271)	FlyWire_783 260417
VFB_fw000375	CM4 ventral hemilineage neuron	is_a	FlyBase:FBrf0260535	IPS.171 (FlyWire:720575940621446309)	FlyWire_783 260417
VFB_fw000376	CM4 dorsal hemilineage neuron	is_a	FlyBase:FBrf0260535	SMP.82 (FlyWire:720575940630901719)	FlyWire_783 260417
VFB_fw000380	DALcm2 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	ICL.IPS.7 (FlyWire:720575940623438992)	FlyWire_783 260417
VFB_fw000381	BAmd1 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	SLP.890 (FlyWire:720575940638792611)	FlyWire_783 260417
VFB_fw000404	DALcm2 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	SPS.255 (FlyWire:720575940616982336)	FlyWire_783 260417
VFB_fw000412	BAlc Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	AL.126 (FlyWire:720575940632007983)	FlyWire_783 260417
VFB_fw000424	BAmv1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	CRE.FB.36 (FlyWire:720575940615921803)	FlyWire_783 260417
VFB_fw000428	DALcm1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	SMP.MB_ML.28 (FlyWire:720575940630166267)	FlyWire_783 260417
VFB_fw000433	BAmd1 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	VES.PLP.2 (FlyWire:720575940621548108)	FlyWire_783 260417
VFB_fw000434	DALcm2 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	CRE.149 (FlyWire:720575940640352334)	FlyWire_783 260417
VFB_fw000446	DALcm1 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	AOTU.IPS.4 (FlyWire:720575940624579100)	FlyWire_783 260417
VFB_fw000448	DALcm2 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	IPS.166 (FlyWire:720575940629198279)	FlyWire_783 260417
VFB_fw000456	BAlc Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	AL.139 (FlyWire:720575940605883569)	FlyWire_783 260417
VFB_fw000459	BAlc Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	AL.12 (FlyWire:720575940630407388)	FlyWire_783 260417
VFB_fw000463	CM4 ventral hemilineage neuron	is_a	FlyBase:FBrf0260535	SAD.IPS.43 (FlyWire:720575940632679727)	FlyWire_783 260417
VFB_fw000471	DALcm2 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	CRE.182 (FlyWire:720575940624392328)	FlyWire_783 260417
VFB_fw000489	DALcm1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	SMP.1856 (FlyWire:720575940636659886)	FlyWire_783 260417
VFB_fw000490	BAmd1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	MB_ML.7 (FlyWire:720575940624661031)	FlyWire_783 260417
VFB_fw000499	BAlc Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	VES.ICL.2 (FlyWire:720575940629464305)	FlyWire_783 260417
VFB_fw000510	BAmv1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	LAL.FB.4 (FlyWire:720575940639861301)	FlyWire_783 260417
VFB_fw000520	BAmv1 Notch OFF hemilineage neuron	is_a	FlyBase:FBrf0260535	LAL.IPS.69 (FlyWire:720575940617671896)	FlyWire_783 260417
VFB_fw000530	BLVp1 posterior hemilineage neuron	is_a	FlyBase:FBrf0260535	WED.AVLP.33 (FlyWire:720575940611292330)	FlyWire_783 260417
VFB_fw000535	CM4 ventral hemilineage neuron	is_a	FlyBase:FBrf0260535	IPS.PLP.77 (FlyWire:720575940615056081)	FlyWire_783 260417
VFB_fw000549	DPLc5 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	ICL.IB.16 (FlyWire:720575940632155207)	FlyWire_783 260417
VFB_fw000554	DPLl3 anterior hemilineage neuron	is_a	FlyBase:FBrf0260535	LH.SLP.784 (FlyWire:720575940624345136)	FlyWire_783 260417
VFB_fw000556	DPLl3 anterior hemilineage neuron	is_a	FlyBase:FBrf0260535	SLP.648 (FlyWire:720575940607091979)	FlyWire_783 260417
VFB_fw000569	BAmd1 Notch ON hemilineage neuron	is_a	FlyBase:FBrf0260535	SMP.MB_ML.57 (FlyWire:720575940618910075)	FlyWire_783 260417
