subject_id	subject_name	DataSet	relation	object	Curator
VFB_00100417	KC (L1EM:14898816)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100199	Thermo PN 3 (L1EM:3991518)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100435	KC (L1EM:15741951)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100258	MBON-n1 (L1EM:6703240)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100077	Multiglomerular PN 7 (L1EM:4119387)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100302	KC (L1EM:8427677)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100307	KC (L1EM:8723397)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100189	Vision PN 1 (L1EM:8111135)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100394	KC (L1EM:11691603)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100396	KC (L1EM:11725127)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100501	KC (L1EM:16850888)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100399	KC (L1EM:11813287)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100293	KC (L1EM:8262503)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100226	MBON-g1 (L1EM:4598363)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100134	13a PN (L1EM:8244823)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100317	KC (L1EM:8835968)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100242	KC (L1EM:4982172)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100339	KC (L1EM:9606354)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100382	MBON-a1 (L1EM:10163418)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100508	KC (L1EM:17147410)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100363	KC (L1EM:7840203)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100194	KC (L1EM:3347708)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100432	KC (L1EM:15734666)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100260	Gustatory PN 3 (L1EM:7020344)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100403	KC (L1EM:12726582)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100353	MBON-e1 (L1EM:7840791)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100359	V1: possible PVL005 - 3 Right (L1EM:2921933)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100170	33a PN (L1EM:13589251)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100082	85c PN (L1EM:4354933)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100119	35a PN (L1EM:7935088)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100305	KC (L1EM:8513389)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100345	KC (L1EM:4414426)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100514	KC (L1EM:17476873)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100197	KC (L1EM:3522293)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100233	KC (L1EM:4412315)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100083	Multiglomerular PN 3 (L1EM:4391978)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100248	KC (L1EM:5835799)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100449	KC (L1EM:16053650)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100466	KC (L1EM:16443536)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100447	KC (L1EM:16026042)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100414	MBIN-e1 (L1EM:14541927)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100445	KC (L1EM:16015738)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100141	47a&33b PN (L1EM:8246750)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100289	KC (L1EM:8260011)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100329	MBON-h1 (L1EM:8338584)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100458	DAN-c1 (L1EM:16240569)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100114	1a PN (L1EM:7865696)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100113	22c PN (L1EM:7865652)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100239	DAN-k1 (L1EM:4884579)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100365	KC (L1EM:9730873)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100362	DAN-i1 (L1EM:7057894)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100338	KC (L1EM:9578602)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100503	MBON-b3 (L1EM:16883909)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100398	KC (L1EM:11785627)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100434	KC (L1EM:15741782)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100241	KC (L1EM:8177991)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100515	KC (L1EM:17476916)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100369	KC (L1EM:9766793)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100471	KC (L1EM:16448926)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100297	KC (L1EM:8274902)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100208	DAN-d1 (L1EM:3886356)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100176	85c PN (L1EM:14604028)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100452	KC (L1EM:16058860)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100438	KC (L1EM:15788431)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100393	OAN-g1 (L1EM:11525714)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100204	Gustatory PN 2 (L1EM:3709977)	Eichler2017	part_of	larval nervous system	cp390
VFB_00100354	MBON-j1 (L1EM:3299214)	Eichler2017	part_of	larval nervous system	cp390
