subject_id	subject_name	DataSet	relation	object	Curator
VFB_00101076	T10a t3l Chair-1 (L1EM:4262125)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00100616	Basin4_a1 (L1EM:4049878)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101074	A09l_a2l Down-and-back-1 (L1EM:3281615)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101083	A09q_a7r classIV-related projection D right (L1EM:734837)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101073	A09a_a2l Basin-2 (L1EM:3056163)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101090	TePn19 classIV-related projection B right (L1EM:14795007)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00100615	Basin1_a1 (L1EM:3282869)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101067	A09e_a5l (L1EM:1370785)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101078	A02o_a2r Wave-1 (L1EM:4717261)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00100671	A10a_a1l Chair-1 (L1EM:6535161)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101080	A09l_t3l Down-and-back-1 (L1EM:7124056)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101068	A08n (L1EM:1927577)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00100877	A09e_a3 (L1EM:14795310)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00100876	A09e_a3 (L1EM:14728550)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00100617	Basin2_a1 (L1EM:3074106)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101088	A09l_a1l (Down-and-back-1) (L1EM:12468812)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101066	TePn05 classIV-related projection C right (L1EM:2558717)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00100621	ppk_ddaC_a1 (L1EM:986460)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101087	A09l_t3r Down-and-back-1 (L1EM:10053642)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101082	T10a t3r Chair-1 (L1EM:6062423)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00100622	A02m_a1r Pseudolooper-3 (L1EM:3546334)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00101065	SelN138 classIV-related descending sog right (L1EM:8067524)	Gerhard2017	part_of	larval nervous system	cp390
VFB_00100612	Basin1_a1 (L1EM:3034133)	Gerhard2017	part_of	larval nervous system	cp390
