subject_external_id	subject_id	subject_name	DataSet	subject_external_db	relation	object	Curator
5890323	VFB_001015ap	CA-LP-2_right1 (L1EM:5890323)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
202973	VFB_0010157k	vdaB_a3l (L1EM:202973)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2871769	VFB_0010159d	vdaB?_a8l (L1EM:2871769)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
6317793	VFB_001015aw	MB2IN-172 (L1EM:6317793)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
1130528	VFB_0010158c	mdIII_t? sensory (L1EM:1130528)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19522149	VFB_001015g7	neuron 19522150 (L1EM:19522149)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2379544	VFB_0010158k	BLP12 claw 1 left (L1EM:2379544)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
12678851	VFB_001015ca	VNC to SEZ a3right (L1EM:12678851)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
6061068	VFB_001015au	AF1 right (L1EM:6061068)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2717701	VFB_0010158r	neuron (L1EM:2717701)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3879467	VFB_0010159x	MB2IN-205 (L1EM:3879467)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297642	VFB_001015eh	neuron 19297643 (L1EM:19297642)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299721	VFB_001015f7	neuron 19299722 (L1EM:19299721)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
7005184	VFB_001015b1	CP1 d 1 left (L1EM:7005184)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297602	VFB_001015eb	neuron 19297603 (L1EM:19297602)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19073076	VFB_001015dk	neuron 19073077 (L1EM:19073076)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
16409132	VFB_001015cv	BLDc LH left (L1EM:16409132)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
23233	VFB_0010157g	putative class III (L1EM:23233)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299782	VFB_001015fe	neuron 19299783 (L1EM:19299782)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
12178825	VFB_001015c7	v\'td_vnc_a6r (L1EM:12178825)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19288801	VFB_001015e2	may be class III or es? a4l (L1EM:19288801)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
6431282	VFB_001015ax	A10? neuron - check gaps_a4r (L1EM:6431282)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
4188290	VFB_001015a9	EH left (L1EM:4188290)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297708	VFB_001015eq	neuron 19297709 (L1EM:19297708)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
