subject_id	subject_name	DataSet	relation	object	Curator
VFB_00101067	A09e_a5l (L1EM:1370785)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100685	chos_lch5-3_a1 (L1EM:8031834)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100676	chos_lch5-1_a1 (L1EM:7732444)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100671	A10a_a1l Chair-1 (L1EM:6535161)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100675	chos_lch5-3_a1 (L1EM:7686464)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101522	Thoracic Ladder-1 t2 (L1EM:20153309)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100594	chos_lch5-24-1_a1 (L1EM:162293)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100677	chos_lch5-5_a1 (L1EM:7694722)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100592	chos_vchAB1_a1 (L1EM:7790597)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100593	chos_lch5-24-2_a1 (L1EM:159280)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100680	chos_lch5-5_a1 (L1EM:7763691)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101096	ddaA a1l class III md (L1EM:722935)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100681	chos_lch5-1_a1 (L1EM:7764785)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101516	A08h2_a2r (Jupiter right, not NB3-3) (L1EM:4228864)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100679	chos_vchAB1_a1 (L1EM:7746883)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101518	drunken-4 a1r (L1EM:7683669)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101127	v'pda a1l (class III) (L1EM:16311520)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101085	A09e_a4 (L1EM:183502)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100678	chos_v'ch_a1 (L1EM:7628068)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101114	ldaB a1r class III md (L1EM:7076835)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101118	vdaD a1l class III md (L1EM:7792781)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101520	A08h2_a2l (Jupiter left, not NB3-3) (L1EM:11024782)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101517	Recliner right; T08v right (L1EM:6144284)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101106	vdaD class III md_a1r or es? (L1EM:2777891)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100663	A10a_a1r Chair-1 (L1EM:5690362)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100674	chos_lch5-24-2_a1 (L1EM:6276557)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101128	ddaA a1r class III md (L1EM:16312925)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101125	ldaB class III a1l (L1EM:14642308)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101070	A09e_a5r (L1EM:2370290)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101117	v'pda a1r class III md (L1EM:7636004)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101519	Drunken-4 a1l (L1EM:7782409)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101064	A09e_a4 (L1EM:627858)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100682	chos_vchAB2_a1 (L1EM:7796832)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00101521	Recliner left; T08v left (L1EM:17435666)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100607	chos_lch5-24-1_a1 (L1EM:7577773)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100691	chos_vchAB2_a1 (L1EM:9771412)	Jovanic2019	part_of	larval nervous system	cp390
VFB_00100683	chos_v'ch_a1 (L1EM:7801255)	Jovanic2019	part_of	larval nervous system	cp390
