subject_id	subject_name	relation	object
VFB_00102761	SMPad1_H15(SP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102760	SMPad1_H14(SP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102759	SMPad1_H13(SP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102758	SMPad1_H12(SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102757	SMPad1_H11(SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102756	SMPad1_H10(SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102755	SMPad1_H09(SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102754	SMPad1_H08(SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102753	SMPad1_H07(SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102752	SMPad1_H06(SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102751	SMPad1_H05(SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102750	SMPad1_H04(SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102749	SMPad1_H03(SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102748	SMPad1_H02(_SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102747	SMPad1_H01(_SMP)_0_2018U	develops_from	neuroblast SMPad1
VFB_00102746	CREa1B_P08(SLP)_0_2018U	develops_from	neuroblast CREa1
VFB_00102745	CREa1B_P07(SLP)_0_2018U	develops_from	neuroblast CREa1
VFB_00102744	CREa1B_P06(SLP)_0_2018U	develops_from	neuroblast CREa1
VFB_00102743	CREa1B_P05(SLP)_0_2018U	develops_from	neuroblast CREa1
VFB_00102742	CREa1B_P04(LH)_0_2018U	develops_from	neuroblast CREa1
VFB_00102741	CREa1B_P03(VLP)_0_2018U	develops_from	neuroblast CREa1
VFB_00102740	CREa1B_P02(VLP)_0_2018U	develops_from	neuroblast CREa1
VFB_00102739	CREa1B_P01(LO)_0_2018U	develops_from	neuroblast CREa1
VFB_00102738	CREa1B_H01(_SLPc)_0_2018U	develops_from	neuroblast CREa1
VFB_00102737	CREa1A_T01(IB)_0_2018U	develops_from	neuroblast CREa1
VFB_00102736	CREa1A_M01(FB)_0_2018U	develops_from	neuroblast CREa1
VFB_00102735	CREa1A_H23(b2b\'2)_0_2018U	develops_from	neuroblast CREa1
VFB_00102734	CREa1A_H22(b2)_0_2018U	develops_from	neuroblast CREa1
VFB_00102733	CREa1A_H21(b\'2m)_0_2018U	develops_from	neuroblast CREa1
VFB_00102732	CREa1A_H20(r5)_0_2018U	develops_from	neuroblast CREa1
VFB_00102731	CREa1A_H19(r4_5)_0_2018U	develops_from	neuroblast CREa1
VFB_00102730	CREa1A_H18(r4_r1r2)_0_2018U	develops_from	neuroblast CREa1
VFB_00102729	CREa1A_H17(r4_r2)_0_2018U	develops_from	neuroblast CREa1
VFB_00102728	CREa1A_H16(r4)_0_2018U	develops_from	neuroblast CREa1
VFB_00102727	CREa1A_H15(r3)_0_2018U	develops_from	neuroblast CREa1
VFB_00102726	CREa1A_H14(b\'1ap)_0_2018U	develops_from	neuroblast CREa1
VFB_00102725	CREa1A_H13(b\'1m)_0_2018U	develops_from	neuroblast CREa1
VFB_00102724	CREa1A_H12(b\'2m)_0_2018U	develops_from	neuroblast CREa1
VFB_00102723	CREa1A_H11(b\'2p)_0_2018U	develops_from	neuroblast CREa1
VFB_00102722	CREa1A_H10(r4)_0_2018U	develops_from	neuroblast CREa1
VFB_00102721	CREa1A_H09(b\'2m)_0_2018U	develops_from	neuroblast CREa1
VFB_00102720	CREa1A_H08(b\'2a)_0_2018U	develops_from	neuroblast CREa1
VFB_00102719	CREa1A_H07(b\'2r5)_0_2018U	develops_from	neuroblast CREa1
VFB_00102718	CREa1A_H06(r5)_0_2018U	develops_from	neuroblast CREa1
VFB_00102717	CREa1A_H05(b2)_0_2018U	develops_from	neuroblast CREa1
VFB_00102716	CREa1A_H04(b2)_0_2018U	develops_from	neuroblast CREa1
VFB_00102715	CREa1A_H03(b1)_0_2018U	develops_from	neuroblast CREa1
VFB_00102714	CREa1A_H02(b1ped)_0_2018U	develops_from	neuroblast CREa1
VFB_00102713	CREa1A_H01(a1)_0_2018U	develops_from	neuroblast CREa1
