subject_external_id	subject_name	object	subject_external_db	relation	pub
29006	Cm-DRA_R (JRC_OpticLobe:29006)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
22529	Cm-DRA_R (JRC_OpticLobe:22529)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
27868	Cm-DRA_R (JRC_OpticLobe:27868)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
140781	Cm1_R (JRC_OpticLobe:140781)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
142300	Cm1_R (JRC_OpticLobe:142300)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
145160	Cm1_R (JRC_OpticLobe:145160)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
141251	Cm1_R (JRC_OpticLobe:141251)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
140618	Cm1_R (JRC_OpticLobe:140618)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
110647	Cm1_R (JRC_OpticLobe:110647)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
116370	Cm1_R (JRC_OpticLobe:116370)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
151166	Cm1_R (JRC_OpticLobe:151166)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
124056	Cm1_R (JRC_OpticLobe:124056)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
136309	Cm1_R (JRC_OpticLobe:136309)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
