subject_external_db	subject_external_id	relation	object
catmaid_fafb	7983275	is_a	adult fudog subesophageal neuron
catmaid_fafb	8952676	is_a	adult FMIn subesophageal neuron
catmaid_fafb	10150139	is_a	adult clavicle subesophageal neuron
catmaid_fafb	14890522	is_a	adult usnea subesophageal neuron
catmaid_fafb	15079937	is_a	adult gustatory second-order neuron type 1
catmaid_fafb	16002203	is_a	adult roundup subesophageal neuron
catmaid_fafb	16238926	is_a	adult rattle subesophageal neuron
catmaid_fafb	16762541	is_a	adult phantom subesophageal neuron
catmaid_fafb	16783943	is_a	adult feeding interneuron
catmaid_fafb	16866694	is_a	proboscis muscle 9 motor neuron
catmaid_fafb	17024882	is_a	adult bract subesophageal neuron
catmaid_fafb	17078636	is_a	adult cleaver subesophageal neuron
catmaid_fafb	17542353	is_a	adult bract subesophageal neuron
