subject_id	object	pub	relation	comment	subject_name
VFB_jrcv07sg	adult IN27X002 neuron		is_a	manc:v1.2.1 240821	IN27X001_T1_R (MANC:10096)
VFB_jrcv07so	adult IN27X002 neuron		is_a	manc:v1.2.1 240821	IN27X001_T3_L (MANC:10104)
VFB_jrcv07st	adult IN27X002 neuron		is_a	manc:v1.2.1 240821	IN27X001_T3_R (MANC:10109)
VFB_jrcv07t3	adult IN27X002 neuron		is_a	manc:v1.2.1 240821	IN27X001_T1_L (MANC:10119)
VFB_jrcv080w	adult AN27X003 neuron		is_a	manc:v1.2.1 240821	AN27X001_T1_R (MANC:10400)
VFB_jrcv0871	descending neuron of the anterior dorsal brain DNa15		is_a	manc:v1.2.1 240821	TBD (MANC:10621)
VFB_jrcv089s	descending neuron of the anterior dorsal brain DNa15		is_a	manc:v1.2.1 240821	TBD (MANC:10720)
VFB_jrcv08gn	descending neuron of the anterior dorsal brain DNa13		is_a	manc:v1.2.1 240821	TBD (MANC:10967)
VFB_jrcv08h7	descending neuron of the anterior dorsal brain DNa16		is_a	manc:v1.2.1 240821	TBD (MANC:10987)
VFB_jrcv08k7	adult AN27X003 neuron		is_a	manc:v1.2.1 240821	AN27X001_T1_L (MANC:11095)
VFB_jrcv08ll	descending neuron of the anterior dorsal brain DNa13		is_a	manc:v1.2.1 240821	TBD (MANC:11145)
VFB_jrcv08m4	descending neuron of the anterior dorsal brain DNa13		is_a	manc:v1.2.1 240821	TBD (MANC:11164)
VFB_jrcv08mr	descending neuron of the anterior dorsal brain DNa16		is_a	manc:v1.2.1 240821	TBD (MANC:11187)
VFB_jrcv08q7	descending neuron of the anterior dorsal brain DNa13		is_a	manc:v1.2.1 240821	TBD (MANC:11311)
VFB_jrcv08xn	descending neuron of the posterior brain DNp69		is_a	manc:v1.2.1 240821	TBD (MANC:11579)
VFB_jrcv08z9	descending neuron of the anterior ventral brain DNb07		is_a	manc:v1.2.1 240821	TBD (MANC:11637)
VFB_jrcv08zw	descending neuron of the anterior ventral brain DNb07		is_a	manc:v1.2.1 240821	TBD (MANC:11660)
VFB_jrcv0927	descending neuron of the posterior brain DNp69		is_a	manc:v1.2.1 240821	TBD (MANC:11743)
VFB_jrcv09d9	descending neuron of the posterior brain DNp55		is_a	manc:v1.2.1 240821	TBD (MANC:12141)
VFB_jrcv09gh	descending neuron of the posterior brain DNp55		is_a	manc:v1.2.1 240821	TBD (MANC:12257)
VFB_jrcv09sq	descending neuron of the posterior brain DNp59		is_a	manc:v1.2.1 240821	TBD (MANC:12698)
VFB_jrcv09uq	descending neuron of the posterior brain DNp53		is_a	manc:v1.2.1 240821	TBD (MANC:12770)
VFB_jrcv09v3	descending neuron of the posterior brain DNp59		is_a	manc:v1.2.1 240821	TBD (MANC:12783)
VFB_jrcv09x3	descending neuron of the posterior brain DNp103		is_a	manc:v1.2.1 240821	TBD (MANC:12855)
VFB_jrcv09ya	descending neuron of the outside anterior cluster DNd05		is_a	manc:v1.2.1 240821	TBD (MANC:12898)
VFB_jrcv0a22	descending neuron of the posterior brain DNp53		is_a	manc:v1.2.1 240821	TBD (MANC:13034)
VFB_jrcv0a3l	descending neuron of the posterior brain DNp103		is_a	manc:v1.2.1 240821	TBD (MANC:13089)
VFB_jrcv0a6r	descending neuron of the posterior brain DNp48		is_a	manc:v1.2.1 240821	TBD (MANC:13203)
VFB_jrcv0a7e	descending neuron of the posterior brain DNp47		is_a	manc:v1.2.1 240821	TBD (MANC:13226)
VFB_jrcv0a7q	descending neuron of the outside anterior cluster DNd05		is_a	manc:v1.2.1 240821	TBD (MANC:13238)
VFB_jrcv0aer	descending neuron of the posterior brain DNp48		is_a	manc:v1.2.1 240821	TBD (MANC:13491)
VFB_jrcv0amc	descending neuron of the posterior brain DNp47		is_a	manc:v1.2.1 240821	TBD (MANC:13764)
VFB_jrcv0apw	descending neuron of the anterior ventral brain DNb08		is_a	manc:v1.2.1 240821	TBD (MANC:13892)
VFB_jrcv0atv	descending neuron of the posterior brain DNp60		is_a	manc:v1.2.1 240821	TBD (MANC:14035)
