subject_external_db	subject_external_id	relation	object
catmaid_fafb	437814	is_a	EB-PB glomerulus 5-Dgall neuron
catmaid_fafb	525851	is_a	P-EN1 neuron of PB glomerulus 6
catmaid_fafb	607812	is_a	P-EN1 neuron of PB glomerulus 6
catmaid_fafb	649823	is_a	P-EN1 neuron of PB glomerulus 5
catmaid_fafb	659759	is_a	P-EN2 neuron of PB glomerulus 6
catmaid_fafb	668576	is_a	P-EN1 neuron of PB glomerulus 5
catmaid_fafb	803916	is_a	protocerebral bridge 18 glomeruli type 1 neuron
catmaid_fafb	806288	is_a	P-EN2 neuron of PB glomerulus 5
catmaid_fafb	827466	is_a	P-EN1 neuron of PB glomerulus 7
catmaid_fafb	828911	is_a	P-EN1 neuron of PB glomerulus 7
catmaid_fafb	861090	is_a	EB-PB glomerulus 5-Dgall neuron
catmaid_fafb	963438	is_a	PB glomerulus 6-EB-Vgall neuron
catmaid_fafb	1032767	is_a	PB glomerulus 5-EB-Dgall neuron
catmaid_fafb	1568214	is_a	EB-PB glomerulus 5-Dgall neuron
catmaid_fafb	1625086	is_a	P-EN2 neuron of PB glomerulus 7
catmaid_fafb	1639675	is_a	P-EN2 neuron of PB glomerulus 7
catmaid_fafb	2703303	is_a	P-EN2 neuron of PB glomerulus 5
catmaid_fafb	3286828	is_a	P-EN2 neuron of PB glomerulus 6
catmaid_fafb	3338987	is_a	P-EN1 neuron of PB glomerulus 6
catmaid_fafb	3349747	is_a	P-EN2 neuron of PB glomerulus 6
catmaid_fafb	3423772	is_a	P-EN1 neuron of PB glomerulus 6
catmaid_fafb	3457743	is_a	EB-PB glomerulus 5-Dgall neuron
catmaid_fafb	3491680	is_a	P-EN2 neuron of PB glomerulus 6
catmaid_fafb	3512247	is_a	PB glomerulus 6-EB-Vgall neuron
catmaid_fafb	3849973	is_a	PB glomerulus 5-EB-Dgall neuron
catmaid_fafb	4087066	is_a	EB-PB glomerulus 5-Dgall neuron
catmaid_fafb	4210786	is_a	EB-PB glomerulus 5-Dgall neuron
