subject_external_db	subject_external_id	subject_name	relation	object		notes
catmaid_l1em	7527710	13a ORN left	is_a	larval olfactory receptor neuron Or13a		
catmaid_l1em	4073353	13a ORN right	is_a	larval olfactory receptor neuron Or13a		
catmaid_l1em	4493199	13a PN left	is_a	larval uniglomerular projection neuron 13a		
catmaid_l1em	8244823	13a PN right	is_a	larval uniglomerular projection neuron 13a		
catmaid_l1em	2611805	1a ORN left	is_a	larval olfactory receptor neuron Or1a		
catmaid_l1em	2582391	1a ORN right	is_a	larval olfactory receptor neuron Or1a		
catmaid_l1em	7865696	1a PN left	is_a	larval uniglomerular projection neuron 1a		
catmaid_l1em	8252067	1a PN right	is_a	larval uniglomerular projection neuron 1a		
catmaid_l1em	40045	22c ORN left	is_a	larval olfactory receptor neuron Or22c		
catmaid_l1em	3954014	22c ORN right	is_a	larval olfactory receptor neuron Or22c		
catmaid_l1em	7865652	22c PN left	is_a	larval uniglomerular projection neuron 22c		
catmaid_l1em	8248631	22c PN right	is_a	larval uniglomerular projection neuron 22c		
catmaid_l1em	3592997	24a ORN left	is_a	larval olfactory receptor neuron Or24a		
catmaid_l1em	3865952	24a ORN right	is_a	larval olfactory receptor neuron Or24a		
catmaid_l1em	7198338	24a PN left	is_a	larval uniglomerular projection neuron 24a		
catmaid_l1em	8245869	24a PN right	is_a	larval uniglomerular projection neuron 24a		
catmaid_l1em	3768025	30a ORN left	is_a	larval olfactory receptor neuron Or30a		
catmaid_l1em	2584838	30a ORN right	is_a	larval olfactory receptor neuron Or30a		
catmaid_l1em	7916593	30a PN left	is_a	larval uniglomerular projection neuron 30a		
catmaid_l1em	8256186	30a PN right	is_a	larval uniglomerular projection neuron 30a		
catmaid_l1em	3708875	33a ORN left	is_a	larval olfactory receptor neuron Or33a		
catmaid_l1em	3872653	33a ORN right	is_a	larval olfactory receptor neuron Or33a		
catmaid_l1em	8021456	33a PN left	is_a	larval uniglomerular projection neuron 33a		
catmaid_l1em	13589251	33a PN right	is_a	larval uniglomerular projection neuron 33a		
catmaid_l1em	3465659	35a ORN left	is_a	larval olfactory receptor neuron Or35a		
catmaid_l1em	3840345	35a ORN right	is_a	larval olfactory receptor neuron Or35a		
catmaid_l1em	7934904	35a PN bilateral left	is_a	larval uniglomerular projection neuron 35a		
catmaid_l1em	7935088	35a PN bilateral right	is_a	larval uniglomerular projection neuron 35a		
catmaid_l1em	3464773	42a ORN left	is_a	larval olfactory receptor neuron Or42a		
catmaid_l1em	3827211	42a ORN right	is_a	larval olfactory receptor neuron Or42a		
catmaid_l1em	3486381	42a PN left	is_a	larval uniglomerular projection neuron 42a		
catmaid_l1em	8244723	42a PN right	is_a	larval uniglomerular projection neuron 42a		
catmaid_l1em	3410499	42b ORN left	is_a	larval olfactory receptor neuron Or42b		
catmaid_l1em	2608843	42b ORN right	is_a	larval olfactory receptor neuron Or42b		
catmaid_l1em	7873135	42b PN left	is_a	larval uniglomerular projection neuron 42b		
catmaid_l1em	8245692	42b PN right	is_a	larval uniglomerular projection neuron 42b		
