is_a	publishing_name
adult PD2f1 neuron	LH2453
adult PV5b1 neuron	LH2456
adult PV5b1 neuron	LH1554
adult AV4b4 neuron	LH2451
adult AV4b4 neuron	LH412
adult WED-PN5 lateral horn input neuron	LH2448
adult WED-PN5 lateral horn input neuron	LH1337
dopaminergic PPL2ab neuron	LH2454
adult AD1d1 neuron	LH2446
adult PV5a3 neuron	LH163
adult PV5a3 neuron	LH123
adult PV5c1 neuron	LH173
adult PV5c1 neuron	LH1293
adult PV3f1 neuron	LH206
adult PV3f1 neuron	LH578
adult PV5k1 neuron	LH528
adult PV5k1 neuron	LH1478
adult WED-PN3 lateral horn input neuron	LH1668
adult WED-PN3 lateral horn input neuron	LH1518
adult PV4b1 neuron	LH1828
adult PV4b2 neuron	LH1828
adult PV4b1 neuron	LH1827
adult PV4b2 neuron	LH1827
adult AV1a1 neuron	LH728
adult AV1a1 neuron	LH1989
adult AV1a1 neuron	LH1990
adult AV1a1 neuron	LH1983
adult WED-PN2 lateral horn input neuron	LH1531
adult AV1a3 neuron	LH1543
adult PV4b3 neuron	LH509
adult WED-PN6 lateral horn input neuron	LH85
adult AVLP-PN1 lateral horn input neuron	LH279
adult AVLP-PN1 lateral horn input neuron	LH2452
adult PD3a1 neuron	LH141
adult PD3a1 neuron	LH1943
adult PV2a1 neuron	LH258
adult PV2b1 neuron	LH258
adult PV2a1 neuron	LH259
adult PV2b1 neuron	LH259
adult AV4b3 neuron	LH1479
adult PD2a1 neuron	LH989
adult PD2b1 neuron	LH989
adult PD2a1 neuron	LH990
adult PD2b1 neuron	LH990
adult PV4a9 neuron	LH1197
adult PV4a9 neuron	LH2223
adult PV5b3 neuron	LH849
adult PV5b3 neuron	LH1727
adult PV4a1 neuron	LH542
adult PV4a2 neuron	LH542
adult PV4a3 neuron	LH542
adult PV4a4 neuron	LH542
adult PV4a5 neuron	LH542
adult PV4a1 neuron	LH1475
adult PV4a2 neuron	LH1475
adult PV4a3 neuron	LH1475
adult PV4a4 neuron	LH1475
adult PV4a5 neuron	LH1475
adult PV4a1 neuron	LH1477
adult PV4a2 neuron	LH1477
adult PV4a3 neuron	LH1477
adult PV4a4 neuron	LH1477
adult PV4a5 neuron	LH1477
adult PV4a1 neuron	LH1354
adult PV4a2 neuron	LH1354
adult PV4a3 neuron	LH1354
adult PV4a4 neuron	LH1354
adult PV4a5 neuron	LH1354
adult PV4d3 neuron	LH979
adult PV4d4 neuron	LH979
adult AV6a1 neuron	LH1129
adult AV6a1 neuron	LH1139
adult AV4c1 neuron	LH421
adult AV4c2 neuron	LH421
adult AD3b1 neuron	LH1284
adult AD3b1 neuron	LH304
adult AV4a1 neuron	LH788
adult AV4a1 neuron	LH1574
adult AV4a3 neuron	LH247
adult AV4a4 neuron	LH247
adult AV4a3 neuron	LH1046
adult AV4a4 neuron	LH1046
adult AV6b3 neuron	LH180
adult PV5a1 neuron	LH166
adult PV5a1 neuron	LH290
adult PV5b2 neuron	LH168
adult PV5b2 neuron	LH263
adult PV4c1 neuron	LH2392
adult PV4c1 neuron	LH2316
adult PLP-PN1 lateral horn input neuron	LH260
adult PLP-PN1 lateral horn input neuron	LH272
adult WED-PN1 lateral horn input neuron	LH1112
adult WED-PN1 lateral horn input neuron	LH770
adult PV6a1 neuron	LH185
adult PV6a1 neuron	LH188
adult AV4b8 neuron	LH191
adult PV2d1 neuron	LH1899
adult PV2d1 neuron	LH1925
adult PV5g1 neuron	LH374
adult PV5g2 neuron	LH374
adult AD1a1 neuron	LH1740
adult AD1f1 neuron	LH1740
adult AD1a1 neuron	LH1744
adult AD1f1 neuron	LH1744
adult AD1e1 neuron	LH1614
adult AD1e1 neuron	LH1591
adult AD1a2 neuron	LH1721
adult AV7a1 neuron	LH2051
adult AV7a1 neuron	LH2001
adult WED-PN4 lateral horn input neuron	LH1940
adult PV12a1 neuron	LH2041
adult PV12a1 neuron	LH2033
adult AV2b1 neuron	LH2087
adult AV2b2 neuron	LH2087
adult AV2b1 neuron	LH2088
adult AV2b2 neuron	LH2088
adult PV4d1 neuron	LH2233
adult PV4d1 neuron	LH2170
adult PV6a3 neuron	LH2185
adult PV6a3 neuron	LH2193
adult AV6c1 neuron	LH2382
adult AV6c1 neuron	LH732
adult VNC-PN1 lateral horn input neuron	LH2387
adult VNC-PN1 lateral horn input neuron	LH2445
adult LO-PN1 lateral horn input neuron	LH2094
adult PV4a12 neuron	LH1893
adult PV4c2 neuron	LH1893
adult PV4a12 neuron	LH1850
adult PV4c2 neuron	LH1850
adult PV6c1 neuron	LH2220
adult PV4c3 neuron	LH1959
adult PV4c3 neuron	LH2047
adult PV2c1 neuron	LH563
adult PV2c1 neuron	LH567
adult AV6b1 neuron	LH1000
adult AD1b1 neuron	LH1538
adult AD1b2 neuron	LH1538
adult AD1b1 neuron	LH1396
adult AD1b2 neuron	LH1396
adult AD1b1 neuron	LH1539
adult AD1b2 neuron	LH1539
adult AV5a1 neuron	LH1594
adult LO-PN2 lateral horn input neuron	LH18
adult GNG-PN1 lateral horn input neuron	LH2201
adult AV2a1 neuron	LH629
adult AV2a4 neuron	LH629
adult PV5c2 neuron	LH808
adult PV5c2 neuron	LH721
mushroom body calyx arborizing neuron 1	LH1900
adult PD3a2 neuron	LH2385
