subject_external_db	subject_external_id	subject_name	relation	object
catmaid_l1em	7952981	5thLN;left	is_a	larval Pdf negative s-LNv neuron
catmaid_l1em	8717219	5thLN;right	is_a	larval Pdf negative s-LNv neuron
catmaid_l1em	7940800	anlagen cell_left	part_of	anlage
catmaid_l1em	2208920	anlagen cell_left	part_of	anlage
catmaid_l1em	8448809	anlagen cell_left	part_of	anlage
catmaid_l1em	8449478	anlagen cell_left	part_of	anlage
catmaid_l1em	8448796	anlagen cell_left	part_of	anlage
catmaid_l1em	8449457	anlagen cell_left	part_of	anlage
catmaid_l1em	8353473	anlagen cell_left	part_of	anlage
catmaid_l1em	8358800	anlagen cell_left	part_of	anlage
catmaid_l1em	8337623	anlagen cell_left	part_of	anlage
catmaid_l1em	8448457	anlagen cell_left	part_of	anlage
catmaid_l1em	8448464	anlagen cell_left	part_of	anlage
catmaid_l1em	8448477	anlagen cell_left	part_of	anlage
catmaid_l1em	8448568	anlagen cell_left	part_of	anlage
catmaid_l1em	8362221	anlagen cell_left	part_of	anlage
catmaid_l1em	1816102	anlagen cell_right	part_of	anlage
catmaid_l1em	8470256	anlagen cell_right	part_of	anlage
catmaid_l1em	8432028	anlagen cell_right	part_of	anlage
catmaid_l1em	8361378	anlagen cell-older_left	part_of	anlage
catmaid_l1em	17414715	ChalOLP;left	is_a	optic lobe pioneer neuron 1
catmaid_l1em	8247641	ChalOLP;right	is_a	optic lobe pioneer neuron 1
catmaid_l1em	8700125	GlulOLP;left	is_a	optic lobe pioneer neuron 2
catmaid_l1em	7897051	GlulOLP;right	is_a	optic lobe pioneer neuron 2
catmaid_l1em	9927082	LN1;left	is_a	larval s-LNv Pdf neuron
catmaid_l1em	7874184	LN1;right	is_a	larval s-LNv Pdf neuron
catmaid_l1em	2204467	LN2;left	is_a	larval s-LNv Pdf neuron
catmaid_l1em	2512602	LN2;right	is_a	larval s-LNv Pdf neuron
catmaid_l1em	8118929	LN3;left	is_a	larval s-LNv Pdf neuron
catmaid_l1em	2775943	LN3;right	is_a	larval s-LNv Pdf neuron
catmaid_l1em	16087799	LN4;left	is_a	larval s-LNv Pdf neuron
catmaid_l1em	2775707	LN4;right	is_a	larval s-LNv Pdf neuron
catmaid_l1em	8111135	nc1;left	is_a	larval non-clock lateral neuron 1
catmaid_l1em	7555968	nc1;right	is_a	larval non-clock lateral neuron 1
catmaid_l1em	8340950	nc2;left	is_a	larval non-clock lateral neuron 2
