subject_external_db	subject_external_id	subject_name	relation	object		notes
catmaid_l1em	11734960	A00g_t1	is_a			later
catmaid_l1em	3722787	A23f2 (= Pre-goro9)_a3l	is_a			not in pub
catmaid_l1em	5860970	A23f2 (= Pre-goro9)_a3r	is_a			not in pub
catmaid_l1em	8748462	A26f_a2l	is_a	larval abdominal 2 A26f neuron		
catmaid_l1em	18520222	A26f_a2r	is_a	larval abdominal 2 A26f neuron		
catmaid_l1em	4780447	A26f_a3l	is_a	larval abdominal 3 A26f neuron		
catmaid_l1em	1711076	A26f_a3r	is_a	larval abdominal 3 A26f neuron		
catmaid_l1em	4179669	A26g_a2l	is_a			not in pub
catmaid_l1em	5607156	A26x_a4r	is_a	larval abdominal 4 A26x neuron		
catmaid_l1em	4785242	AF3 thermo 3rd left	is_a			not in pub
catmaid_l1em	2935198	AF3 thermo 3rd right	is_a			not in pub
catmaid_l1em	17641913	AF4: TOH left	is_a			not in pub
catmaid_l1em	13429045	AF4: TOH right; Large Spider Neuron right	is_a			not in pub
catmaid_l1em	3158085	AF5: Short-presynaptic-D-1L	is_a			not in pub
catmaid_l1em	2597151	AF5: Short-presynaptic-D-1R	is_a			not in pub
catmaid_l1em	9805588	Angler_left	is_a			not in pub
catmaid_l1em	11868260	Angler_right	is_a			not in pub
catmaid_l1em	9793489	BC ; Left	is_a			not in pub
catmaid_l1em	15242799	BC ; Right	is_a			not in pub
catmaid_l1em	10728318	DPMm1 Brain descending into VNC 2 left	is_a			not in pub
catmaid_l1em	3598000	DPMm1 Brain descending into VNC 2 right	is_a			not in pub
catmaid_l1em	10716080	DPMm1 Brain descending into VNC left	is_a			not in pub
catmaid_l1em	3595837	DPMm1 Brain descending into VNC right	is_a			not in pub
catmaid_l1em	7338309	DPMpl12 Brain into SEZ left	is_a			not in pub
catmaid_l1em	4364826	Grumpy_left	is_a			not in pub
catmaid_l1em	16575803	Grumpy_right	is_a			not in pub
catmaid_l1em	5404887	Happy Left 	is_a			not in pub
catmaid_l1em	5349961	Happy Right 	is_a			not in pub
catmaid_l1em	4284106	Holder_left	is_a			not in pub
catmaid_l1em	9758503	Holder_right	is_a			not in pub
catmaid_l1em	7136254	Moggy_left	is_a			not in pub
catmaid_l1em	9748981	Moggy_right	is_a			not in pub
catmaid_l1em	2815572	SEZ local interneuron	is_a			not in pub
catmaid_l1em	2679035	SEZ-IN-15-right	is_a			not in pub
catmaid_l1em	9903957	Sweetness Left SOG neuron	is_a			not in pub
catmaid_l1em	9455820	Sweetness Right 130521_Cand1_OSN2_IN5 Bilateral	is_a			not in pub
