Tbars	downstream	relation	upstream	subject_external_id	subject_external_db	object
232	737	has_presynaptic_terminal_in		5812980768	neuprint_JRC_Hemibrain_1point1	adult mushroom body
		has_postsynaptic_terminal_in	411	5812980768	neuprint_JRC_Hemibrain_1point1	adult mushroom body
120	386	has_presynaptic_terminal_in		5812980768	neuprint_JRC_Hemibrain_1point1	adult mushroom body alpha-lobe
		has_postsynaptic_terminal_in	222	5812980768	neuprint_JRC_Hemibrain_1point1	adult mushroom body alpha-lobe
33	113	has_presynaptic_terminal_in		5812980768	neuprint_JRC_Hemibrain_1point1	mushroom body alpha lobe slice 3
		has_postsynaptic_terminal_in	65	5812980768	neuprint_JRC_Hemibrain_1point1	mushroom body alpha lobe slice 3
232	737	has_presynaptic_terminal_in		5812980768	neuprint_JRC_Hemibrain_1point1	adult mushroom body
		has_postsynaptic_terminal_in	411	5812980768	neuprint_JRC_Hemibrain_1point1	adult mushroom body
23	76	has_presynaptic_terminal_in		5812980768	neuprint_JRC_Hemibrain_1point1	mushroom body alpha lobe slice 2
		has_postsynaptic_terminal_in	55	5812980768	neuprint_JRC_Hemibrain_1point1	mushroom body alpha lobe slice 2
64	197	has_presynaptic_terminal_in		5812980768	neuprint_JRC_Hemibrain_1point1	mushroom body alpha lobe slice 1
		has_postsynaptic_terminal_in	102	5812980768	neuprint_JRC_Hemibrain_1point1	mushroom body alpha lobe slice 1
32	75	has_presynaptic_terminal_in		5812980768	neuprint_JRC_Hemibrain_1point1	pedunculus of adult mushroom body
		has_postsynaptic_terminal_in	56	5812980768	neuprint_JRC_Hemibrain_1point1	pedunculus of adult mushroom body
80	276	has_presynaptic_terminal_in		5812980768	neuprint_JRC_Hemibrain_1point1	adult mushroom body beta-lobe
		has_postsynaptic_terminal_in	133	5812980768	neuprint_JRC_Hemibrain_1point1	adult mushroom body beta-lobe
48	154	has_presynaptic_terminal_in		5812980768	neuprint_JRC_Hemibrain_1point1	mushroom body beta lobe slice 1
		has_postsynaptic_terminal_in	77	5812980768	neuprint_JRC_Hemibrain_1point1	mushroom body beta lobe slice 1
32	122	has_presynaptic_terminal_in		5812980768	neuprint_JRC_Hemibrain_1point1	mushroom body beta lobe slice 2
		has_postsynaptic_terminal_in	56	5812980768	neuprint_JRC_Hemibrain_1point1	mushroom body beta lobe slice 2
		has_postsynaptic_terminal_in	1.0	480918798	neuprint_JRC_Hemibrain_1point1	superior neuropils
		has_postsynaptic_terminal_in	1.0	480918798	neuprint_JRC_Hemibrain_1point1	superior lateral protocerebrum
103	959	has_presynaptic_terminal_in		480918798	neuprint_JRC_Hemibrain_1point1	adult lateral horn
		has_postsynaptic_terminal_in	112	480918798	neuprint_JRC_Hemibrain_1point1	adult lateral horn
2	20	has_presynaptic_terminal_in		387216098	neuprint_JRC_Hemibrain_1point1	superior neuropils
2	20	has_presynaptic_terminal_in		387216098	neuprint_JRC_Hemibrain_1point1	superior lateral protocerebrum
2	3	has_presynaptic_terminal_in		391156020	neuprint_JRC_Hemibrain_1point1	superior neuropils
		has_postsynaptic_terminal_in	1	391156020	neuprint_JRC_Hemibrain_1point1	superior neuropils
2	3	has_presynaptic_terminal_in		391156020	neuprint_JRC_Hemibrain_1point1	superior medial protocerebrum
		has_postsynaptic_terminal_in	1	391156020	neuprint_JRC_Hemibrain_1point1	superior medial protocerebrum
35	205	has_presynaptic_terminal_in		5813077902	neuprint_JRC_Hemibrain_1point1	superior neuropils
		has_postsynaptic_terminal_in	28	5813077902	neuprint_JRC_Hemibrain_1point1	superior neuropils
27	158	has_presynaptic_terminal_in		5813077902	neuprint_JRC_Hemibrain_1point1	superior intermediate protocerebrum
		has_postsynaptic_terminal_in	24	5813077902	neuprint_JRC_Hemibrain_1point1	superior intermediate protocerebrum
8	47	has_presynaptic_terminal_in		5813077902	neuprint_JRC_Hemibrain_1point1	superior medial protocerebrum
		has_postsynaptic_terminal_in	4	5813077902	neuprint_JRC_Hemibrain_1point1	superior medial protocerebrum
