bodyID	subject_name	object	subject_external_db	relation
5813061383	Delta7(PB15)_L1L9R8_R	adult intrinsic protocerebral bridge 18 glomeruli-3 glomeruli neuron	neuprint_JRC_Hemibrain_1point1	is_a
881221166	Delta7(PB15)_L1L9R8_R	adult intrinsic protocerebral bridge 18 glomeruli-3 glomeruli neuron	neuprint_JRC_Hemibrain_1point1	is_a
911574261	Delta7(PB15)_L1L9R8_R	adult intrinsic protocerebral bridge 18 glomeruli-3 glomeruli neuron	neuprint_JRC_Hemibrain_1point1	is_a
911911004	Delta7(PB15)_L1L9R8_R	adult intrinsic protocerebral bridge 18 glomeruli-3 glomeruli neuron	neuprint_JRC_Hemibrain_1point1	is_a
911919917	Delta7(PB15)_L1L9R8_R	adult intrinsic protocerebral bridge 18 glomeruli-3 glomeruli neuron	neuprint_JRC_Hemibrain_1point1	is_a
911470352	Delta7(PB15)_L2R7_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 7 and 2 neuron	neuprint_JRC_Hemibrain_1point1	is_a
911574041	Delta7(PB15)_L2R7_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 7 and 2 neuron	neuprint_JRC_Hemibrain_1point1	is_a
911578496	Delta7(PB15)_L2R7_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 7 and 2 neuron	neuprint_JRC_Hemibrain_1point1	is_a
911911699	Delta7(PB15)_L2R7_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 7 and 2 neuron	neuprint_JRC_Hemibrain_1point1	is_a
942522378	Delta7(PB15)_L2R7_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 7 and 2 neuron	neuprint_JRC_Hemibrain_1point1	is_a
911565419	Delta7(PB15)_L3R6_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 6 and 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
911906936	Delta7(PB15)_L3R6_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 6 and 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
910783961	Delta7(PB15)_L3R6_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 6 and 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
941469087	Delta7(PB15)_L3R6_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 6 and 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
880880259	Delta7(PB15)_L4R5_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 5 and 4 neuron	neuprint_JRC_Hemibrain_1point1	is_a
910442723	Delta7(PB15)_L4R5_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 5 and 4 neuron	neuprint_JRC_Hemibrain_1point1	is_a
911129339	Delta7(PB15)_L4R5_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 5 and 4 neuron	neuprint_JRC_Hemibrain_1point1	is_a
911134009	Delta7(PB15)_L4R5_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 5 and 4 neuron	neuprint_JRC_Hemibrain_1point1	is_a
911138168	Delta7(PB15)_L4R5_R	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 5 and 4 neuron	neuprint_JRC_Hemibrain_1point1	is_a
911901802	Delta7(PB15)_L4R6_R	adult intrinsic protocerebral bridge 18 glomeruli-2 glomeruli neuron	neuprint_JRC_Hemibrain_1point1	is_a
910442782	Delta7(PB15)_L4R6_R	adult intrinsic protocerebral bridge 18 glomeruli-2 glomeruli neuron	neuprint_JRC_Hemibrain_1point1	is_a
5813048042	Delta7(PB15)_L5R4_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 5 and 4 neuron	neuprint_JRC_Hemibrain_1point1	is_a
880530613	Delta7(PB15)_L5R4_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 5 and 4 neuron	neuprint_JRC_Hemibrain_1point1	is_a
880875736	Delta7(PB15)_L5R4_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 5 and 4 neuron	neuprint_JRC_Hemibrain_1point1	is_a
910796989	Delta7(PB15)_L5R4_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 5 and 4 neuron	neuprint_JRC_Hemibrain_1point1	is_a
910801332	Delta7(PB15)_L5R4_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 5 and 4 neuron	neuprint_JRC_Hemibrain_1point1	is_a
734581598	Delta7(PB15)_L6R3_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 6 and 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
911919044	Delta7(PB15)_L6R3_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 6 and 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
941482720	Delta7(PB15)_L6R3_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 6 and 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
941814787	Delta7(PB15)_L6R3_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 6 and 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
973959177	Delta7(PB15)_L6R3_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 6 and 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
911211196	Delta7(PB15)_L6R4_L	adult intrinsic protocerebral bridge 18 glomeruli-2 glomeruli neuron	neuprint_JRC_Hemibrain_1point1	is_a
911241750	Delta7(PB15)_L6R4_L	adult intrinsic protocerebral bridge 18 glomeruli-2 glomeruli neuron	neuprint_JRC_Hemibrain_1point1	is_a
1158747783	Delta7(PB15)_L7R2_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 7 and 2 neuron	neuprint_JRC_Hemibrain_1point1	is_a
912243353	Delta7(PB15)_L7R2_L	adult intrinsic protocerebral bridge 18 glomeruli-glomeruli 7 and 2 neuron	neuprint_JRC_Hemibrain_1point1	is_a
