subject_external_db	subject_external_id	relation	pub	object
catmaid_fafb	204498	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	204622	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	3027230	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8370334	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8379909	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8387679	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8395029	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8396796	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8398660	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8398870	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8409714	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8410988	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8411125	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8413082	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8419995	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8420057	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8421369	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8423134	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8426264	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8429008	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8429356	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8430509	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8439172	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8439289	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8441187	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8442544	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8446417	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8447731	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8448574	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8449714	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8456586	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8460662	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8462524	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8463672	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8465140	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8473714	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8484737	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
catmaid_fafb	8652603	is_a	doi:10.1101/2020.04.17.047167	Kenyon cell
