subject_external_db	subject_external_id	subject_name	relation	object		notes
catmaid_l1em	13122056	A00g_a1  (RF: assym)	is_a	larval abdominal 1 A00g neuron		
catmaid_l1em	4113533	A01c1_a1l	is_a			later
catmaid_l1em	4936149	A01c1_a1r	is_a			later
catmaid_l1em	5084467	A01c2_a1l (ipsi_dendrite)	is_a			later
catmaid_l1em	16226512	A01c2_a1r (ipsi_dendrite)	is_a			later
catmaid_l1em	4071032	A02f_a1l 	is_a	larval abdominal 1 A02f neuron		
catmaid_l1em	12953345	A02f_a1r	is_a	larval abdominal 1 A02f neuron		
catmaid_l1em	14242929	A03a3_t3l (was T03a1)	is_a			later
catmaid_l1em	4538681	A03a3_t3r (was T03a1)	is_a			later
catmaid_l1em	8688631	A03a4_a1l	is_a	larval abdominal 1 A03a4 neuron		
catmaid_l1em	4543281	A03a4_a1r	is_a	larval abdominal 1 A03a4 neuron		
catmaid_l1em	10855206	A03g_a1r	is_a	larval abdominal 1 A03g neuron		
catmaid_l1em	12820277	A14a_a1l	is_a	larval abdominal 1 A14a neuron		
catmaid_l1em	5298032	A14a_a1r	is_a	larval abdominal 1 A14a neuron		
catmaid_l1em	5078760	A18j_a1l	is_a	larval abdominal 1 A18j neuron		
catmaid_l1em	16690920	A18j_a1r	is_a	larval abdominal 1 A18j neuron		
catmaid_l1em	5358138	A19l_a1l	is_a	larval abdominal 1 A19l neuron		
catmaid_l1em	4978454	A19l_a1r	is_a	larval abdominal 1 A19l neuron		
catmaid_l1em	4538738	A23a_a1l	is_a	larval abdominal 1 A23a neuron		
catmaid_l1em	4729046	A23a_a1r	is_a	larval abdominal 1 A23a neuron		
catmaid_l1em	13258642	A26f_a1l	is_a	larval abdominal 1 A26f neuron		
catmaid_l1em	17071666	A26f_a1r	is_a	larval abdominal 1 A26f neuron		
catmaid_l1em	10090269	A27e(2)_a1l	is_a	larval abdominal 1 A27e neuron		
catmaid_l1em	15290335	A27e(2)_a1r	is_a	larval abdominal 1 A27e neuron		
catmaid_l1em	4038808	A27k_a2l	is_a	larval abdominal 1 A27k neuron		
catmaid_l1em	4113612	A27k_a2r	is_a	larval abdominal 1 A27k neuron		
catmaid_l1em	7934159	A27n_a1l	is_a	larval abdominal 1 A27n neuron		
catmaid_l1em	4124563	A27n_a1r	is_a	larval abdominal 1 A27n neuron		
catmaid_l1em	6467481	MN21/22 (RF:LT1/LT2) LT2_a1l	is_a			can't map yet
catmaid_l1em	16713121	MN21/22 (RF:LT1/LT2) LT2_a1r  	is_a			can't map yet
catmaid_l1em	4042315	MN22/23 (RF:LT2/LT3) LT1_a1l	is_a			can't map yet
catmaid_l1em	4102728	MN22/23 (RF:LT2/LT3) LT1_a1r  	is_a			can't map yet
catmaid_l1em	4289773	MN23/24 (RF: LT3/LT4) LT4_a1l	is_a			can't map yet
catmaid_l1em	4121534	MN23/24 (RF: LT3/LT4) LT4_a1r  	is_a			can't map yet
catmaid_l1em	4028114	MN5 LO1_a1l	is_a	larval abdominal 1 LO1 motor neuron		
catmaid_l1em	4535767	MN5 LO1_a1r	is_a	larval abdominal 1 LO1 motor neuron		
catmaid_l1em	4326468	MN8 (RF:SBM) LT3_a1l	is_a			can't map yet
catmaid_l1em	4881629	MN8 (RF:SBM) LT3_a1r 	is_a			can't map yet
catmaid_l1em	4104476	T01d1_t3l	is_a	larval metathoracic T01d1 neuron		
catmaid_l1em	10185585	T01d1_t3r	is_a	larval metathoracic T01d1 neuron		
